,index,value
0,HD,"Home Depot, Inc. (The)"
1,ADS,Alliance Data Systems Corporati
2,DS,Drive Shack Inc.
3,DDS,"Dillard's, Inc."
4,HAS,"Hasbro, Inc."
5,SDS,ProShares UltraShort S&P500
6,TDS,"Telephone and Data Systems, Inc"
7,HDV,iShares Core High Dividend ETF
8,HES,Hess Corporation
9,HDSN,"Hudson Technologies, Inc."
10,PDS,Precision Drilling Corporation
11,HTDS,HARD TO TREAT DISEASES INC
12,HDB,HDFC Bank Limited
13,GDS,GDS Holdings Limited
14,FDS,FactSet Research Systems Inc.
15,DHS,WisdomTree U.S. High Dividend F
16,HPS,John Hancock Preferred Income F
17,HYS,PIMCO 0-5 Year High Yield Corpo
18,HHDS,HIGHLANDS REIT INC
19,HDG,ProShares Hedge Replication ETF
20,HDS,"HD Supply Holdings, Inc."
21,HOS,HOS
