,index,value
0,CX,"Cemex, S.A.B. de C.V. Sponsored"
1,CXW,"CoreCivic, Inc."
2,CEO,CNOOC Limited
3,CMO,Capstead Mortgage Corporation
4,CCO,"Clear Channel Outdoor Holdings,"
5,COO,"The Cooper Companies, Inc."
6,CTO,"CTO Realty Growth, Inc."
7,CO,Global Cord Blood Corporation
8,CIO,"City Office REIT, Inc."
9,CXDO,"Crexendo, Inc."
10,CNO,"CNO Financial Group, Inc."
11,CXP,"Columbia Property Trust, Inc."
12,CGO,Calamos Global Total Return Fun
13,FXO,First Trust Financials AlphaDEX
14,CXE,MFS High Income Municipal Trust
15,CXO,Concho Resources Inc.
16,AXO,"Axos Financial, Inc. 6.25% Subo"
17,CFO,VictoryShares US 500 Enhanced V
18,CXH,MFS Investment Grade Municipal 
19,XCO,XCO
20,CVO,CVO
