,index,value
0,LI,Li Auto Inc.
1,LU,Lufax Holding Ltd
2,ON,ON Semiconductor Corporation
3,LB,"L Brands, Inc."
4,LIN,Linde plc
5,LX,LexinFintech Holdings Ltd.
6,LNC,Lincoln National Corporation
7,LEN,Lennar Corporation
8,LC,LendingClub Corporation
9,OLN,Olin Corporation
10,LL,"Lumber Liquidators Holdings, In"
11,LH,Laboratory Corporation of Ameri
12,LNG,"Cheniere Energy, Inc."
13,LRN,"Stride, Inc."
14,KN,Knowles Corporation
15,GLNG,Golar LNG Limited
16,L,Loews Corporation
17,AN,"AutoNation, Inc."
18,LE,"Lands' End, Inc."
19,TGP,Teekay LNG Partners L.P.
20,LNT,Alliant Energy Corporation
21,GMLP,Golar LNG Partners LP
22,HMLP,Hoegh LNG Partners LP
23,FN,Fabrinet
24,LW,"Lamb Weston Holdings, Inc."
