,index,value
0,SCCO,Southern Copper Corporation
1,CCO,"Clear Channel Outdoor Holdings,"
2,ACCO,Acco Brands Corporation
3,TCCO,Technical Communications Corpor
4,HCC,"Warrior Met Coal, Inc."
5,HCCI,"Heritage-Crystal Clean, Inc."
6,CHCO,City Holding Company
7,FCCO,First Community Corporation
8,HSCO,HI SCORE CORPORATION
9,HMCO,HumanCo Acquisition Corp.
10,QCCO,QC HLDGS INC
11,HCCH,HL Acquisitions Corp.
12,HTCO,HTCO
13,HECO,HECO
14,HCCA,HEALTHCARE CORPORATION OF AMERI
15,GCCO,GARDEN CITY CO COLORADO
16,ICCO,INTERCARE DX INC
17,HGCO,HGCO
18,HFCO,HFCO
19,HCCC,HCCC
20,HCCOW,HCCOW
21,HCCOU,HCCOU
22,HCCO,HCCO
