,index,value
0,FMAC,FirstMark Horizon Acquisition C
1,SEAC,"SeaChange International, Inc."
2,FCAC,Falcon Capital Acquisition Corp
3,FPAC,Far Peak Acquisition Corporatio
4,FENC,Fennec Pharmaceuticals Inc.
5,FEAC,Flying Eagle Acquisition Corp.
6,FSAC,FSAC
7,FEDC,FEDERAL CASTERS CORP
8,FEIC,FEIC
9,EAC,EAC
10,FAC,FAC
11,FRAC,FRAC
12,REAC,REAC GROUP INC
13,VEAC,VEAC
14,FVAC,FVAC
15,DEAC,DEAC
16,FTAC,FTAC
