,index,value
0,BAC,Bank of America Corporation
1,LAC,Lithium Americas Corp.
2,MAC,Macerich Company (The)
3,IAC,IAC/InterActiveCorp
4,DAC,Danaos Corporation
5,ORC,"Orchid Island Capital, Inc."
6,SOAC,Sustainable Opportunities Acqui
7,OAS,Oasis Petroleum Inc.
8,OMC,Omnicom Group Inc.
9,VAC,Marriott Vacations Worldwide Co
10,BOAC,Bluescape Opportunities Acquisi
11,LOAC,Longevity Acquisition Corporati
12,OC,Owens Corning Inc
13,AC,"Associated Capital Group, Inc."
14,OCC,Optical Cable Corporation
15,OACB,Oaktree Acquisition Corp. II
16,NOAC,Natural Order Acquisition Corp.
17,OEC,Orion Engineered Carbons S.A
18,OFC,Corporate Office Properties Tru
19,OCA,Omnichannel Acquisition Corp.
20,GOAC,GO Acquisition Corp.
21,NAC,Nuveen California Quality Munic
22,PAC,Grupo Aeroportuario Del Pacific
23,TAC,TransAlta Corporation
24,ODC,Oil-Dri Corporation Of America
