,index,value
0,RELI,RELIANCE GLOBAL GROUP INC
1,NRZ,New Residential Investment Corp
2,RESN,Resonant Inc.
3,RSI,"Rush Street Interactive, Inc."
4,REI,"Ring Energy, Inc."
5,REGI,"Renewable Energy Group, Inc."
6,ARR,"ARMOUR Residential REIT, Inc."
7,EQR,Equity Residential
8,REZI,"Resideo Technologies, Inc."
9,RES,"RPC, Inc."
10,BRG,Bluerock Residential Growth REI
11,ESI,Element Solutions Inc.
12,PESI,Perma-Fix Environmental Service
13,REZ,iShares Residential and Multise
14,SESI,SES SOLAR INC
15,EARN,Ellington Residential Mortgage 
16,CSH-UN.TO,CHARTWELL RETIREMENT RESIDENCES
17,NXRT,"NexPoint Residential Trust, Inc"
18,NRZ-PA,New Residential Investment Corp
19,TCN.TO,TRICON RESIDENTIAL INC
20,NRZ-PB,New Residential Investment Corp
21,RESS,RENEWABLE ENERGY SOLUTION SYS I
22,NRZ-PC,New Residential Investment Corp
23,MRG-UN.TO,MORGUARD NA RESIDENTIAL REIT UN
24,ARR-PC,"ARMOUR Residential REIT, Inc. 7"
