,index,value
0,LIN,Linde plc
1,KIN,"Kindred Biosciences, Inc."
2,YINN,Direxion Daily FTSE China Bull 
3,DIN,"Dine Brands Global, Inc. Common"
4,PIN,Invesco India ETF
5,YI,"111, Inc."
6,XIN,Xinyuan Real Estate Co Ltd
7,IIN,IntriCon Corporation
8,MIN,MFS Intermediate Income Trust
9,AIN,Albany International Corporatio
10,5DM.SI,Ying Li Intl
11,603308.SS,ANHUI YINGLIU ELECTROMECHANICAL
12,SIB.SG,Ying Li Intl Real Estate Ltd. R
13,42F.SI,$ Yinda Infocomm
14,159992.SZ,YINHUA FUND MANAGE
15,159822.SZ,YINHUA FUND MANAGE
16,000975.SZ,YINTAI GOLD CO LTD
17,300457.SZ,SHENZHEN YINGHE TE
18,1741.HK,RI YING HLDGS
19,600517.SS,STATE GRID YINGDA CO LTD
20,7293.KL,YINSON
21,516880.SS,YINHUA FUND MANAGEMENT CO LTD C
22,SIN,SIN
23,161812.SZ,YINHUA FUND MANAGE
24,603198.SS,ANHUI YINGJIA DISTILLERY CO
