,index,value
0,OCFT,OneConnect Financial Technology
1,HCAT,"Health Catalyst, Inc"
2,MCFT,"MasterCraft Boat Holdings, Inc."
3,HOFT,Hooker Furniture Corporation
4,HCKT,"The Hackett Group, Inc."
5,HCYT,H CYTE INC
6,HCFT,"Hunt Companies Finance Trust, I"
7,CFT,CFT
8,HCFL,HCFL
9,NCFT,NCFT
