,index,value
0,RAD,Rite Aid Corporation
1,DRVD,DRIVEN DELIVERIES INC
2,DRD,DRDGOLD Limited
3,DLAD,DEALERADVANCE INC
4,MRAD,SmartETFs Advertising & Marketi
5,DRAD,Digirad Corporation
6,MRAD,MRAD
