,index,value
0,CCL,Carnival Corporation
1,CCI,Crown Castle International Corp
2,CZR,"Caesars Entertainment, Inc."
3,CCJ,Cameco Corporation
4,CLR,"Continental Resources, Inc."
5,CAR,"Avis Budget Group, Inc."
6,CCX,Churchill Capital Corp II
7,CC,Chemours Company (The)
8,NCR,NCR Corporation
9,VCR,Vanguard Consumer Discretion ET
10,COR,CoreSite Realty Corporation
11,CCS,"Century Communities, Inc."
12,CCO,"Clear Channel Outdoor Holdings,"
13,CNR,"Cornerstone Building Brands, In"
14,CCC,Clarivate Plc
15,CCK,"Crown Holdings, Inc."
16,CDR,"Cedar Realty Trust, Inc."
17,CRC,California Resources Corporatio
18,CFR,"Cullen/Frost Bankers, Inc."
19,CCM,Concord Medical Services Holdin
20,CR,Crane Co.
21,CCRC,China Customer Relations Center
22,CCTR,CHINA CRESCENT ENTERPRISES INC
23,CCD,Calamos Dynamic Convertible & I
24,CSR,D/B/A Centerspace
