,index,value
0,AMCIU,AMCI Acquisition Corp.
1,FMCIX,FOUNDRY MICRO CAP VALUE FD CLAS
2,FMCIW,FMCIW
3,FMCIR,FMCIR
4,FMCIU,FMCIU
5,FMCI,FMCI
