"","date","CSLT"
"1","2014-03-14",39.799999
"2","2014-03-17",37.25
"3","2014-03-18",33.650002
"4","2014-03-19",31.5
"5","2014-03-20",31.99
"6","2014-03-21",29.35
"7","2014-03-24",27.33
"8","2014-03-25",25.9
"9","2014-03-26",24.77
"10","2014-03-27",23.459999
"11","2014-03-28",21.42
"12","2014-03-31",21.219999
"13","2014-04-01",23.969999
"14","2014-04-02",24.780001
"15","2014-04-03",22.540001
"16","2014-04-04",21.57
"17","2014-04-07",19.49
"18","2014-04-08",18.09
"19","2014-04-09",19.27
"20","2014-04-10",18.309999
"21","2014-04-11",17.08
"22","2014-04-14",16.200001
"23","2014-04-15",17.440001
"24","2014-04-16",18.549999
"25","2014-04-17",19.85
"26","2014-04-21",18.059999
"27","2014-04-22",16.74
"28","2014-04-23",15.7
"29","2014-04-24",14.02
"30","2014-04-25",14.06
"31","2014-04-28",14.66
"32","2014-04-29",15.47
"33","2014-04-30",15.02
"34","2014-05-01",15.59
"35","2014-05-02",15.27
"36","2014-05-05",14.09
"37","2014-05-06",13.88
"38","2014-05-07",11.8
"39","2014-05-08",10.5
"40","2014-05-09",11.54
"41","2014-05-12",13.56
"42","2014-05-13",14.76
"43","2014-05-14",15.6
"44","2014-05-15",15.03
"45","2014-05-16",15.6
"46","2014-05-19",17.030001
"47","2014-05-20",16.790001
"48","2014-05-21",17.299999
"49","2014-05-22",17.83
"50","2014-05-23",17.23
"51","2014-05-27",17.110001
"52","2014-05-28",15.88
"53","2014-05-29",16.27
"54","2014-05-30",15.18
"55","2014-06-02",14
"56","2014-06-03",13.8
"57","2014-06-04",13.32
"58","2014-06-05",14.1
"59","2014-06-06",15.18
"60","2014-06-09",16.35
"61","2014-06-10",16.860001
"62","2014-06-11",17.139999
"63","2014-06-12",16.870001
"64","2014-06-13",17.16
"65","2014-06-16",17.43
"66","2014-06-17",16.01
"67","2014-06-18",14.98
"68","2014-06-19",15.85
"69","2014-06-20",15.17
"70","2014-06-23",15.33
"71","2014-06-24",15.17
"72","2014-06-25",14.98
"73","2014-06-26",15.09
"74","2014-06-27",15.12
"75","2014-06-30",15.2
"76","2014-07-01",15.28
"77","2014-07-02",15.13
"78","2014-07-03",14.95
"79","2014-07-07",14.15
"80","2014-07-08",13.95
"81","2014-07-09",14.01
"82","2014-07-10",13.84
"83","2014-07-11",14.1
"84","2014-07-14",14.89
"85","2014-07-15",15.05
"86","2014-07-16",15.52
"87","2014-07-17",15.4
"88","2014-07-18",16.5
"89","2014-07-21",15
"90","2014-07-22",14.37
"91","2014-07-23",14.54
"92","2014-07-24",14.24
"93","2014-07-25",14.3
"94","2014-07-28",14.12
"95","2014-07-29",14.81
"96","2014-07-30",14.11
"97","2014-07-31",13.41
"98","2014-08-01",12.23
"99","2014-08-04",11.7
"100","2014-08-05",11.85
"101","2014-08-06",11.94
"102","2014-08-07",12.13
"103","2014-08-08",12.1
"104","2014-08-11",12.18
"105","2014-08-12",12.05
"106","2014-08-13",12.06
"107","2014-08-14",12.03
"108","2014-08-15",11.93
"109","2014-08-18",11.73
"110","2014-08-19",11.35
"111","2014-08-20",11.12
"112","2014-08-21",11.18
"113","2014-08-22",11.04
"114","2014-08-25",10.71
"115","2014-08-26",10.67
"116","2014-08-27",11.38
"117","2014-08-28",11.77
"118","2014-08-29",11.91
"119","2014-09-02",13.4
"120","2014-09-03",13.38
"121","2014-09-04",13.66
"122","2014-09-05",12.98
"123","2014-09-08",12.75
"124","2014-09-09",13.8
"125","2014-09-10",14.1
"126","2014-09-11",14.63
"127","2014-09-12",14.08
"128","2014-09-15",13.33
"129","2014-09-16",13.24
"130","2014-09-17",13
"131","2014-09-18",13.02
"132","2014-09-19",12.99
"133","2014-09-22",12.1
"134","2014-09-23",12.4
"135","2014-09-24",12.81
"136","2014-09-25",12.86
"137","2014-09-26",13.01
"138","2014-09-29",13.14
"139","2014-09-30",12.94
"140","2014-10-01",11.91
"141","2014-10-02",11.85
"142","2014-10-03",12.09
"143","2014-10-06",11.83
"144","2014-10-07",11.68
"145","2014-10-08",12.21
"146","2014-10-09",11.96
"147","2014-10-10",11.66
"148","2014-10-13",11.66
"149","2014-10-14",11.67
"150","2014-10-15",11.93
"151","2014-10-16",12.05
"152","2014-10-17",11.63
"153","2014-10-20",11.41
"154","2014-10-21",11.32
"155","2014-10-22",10.96
"156","2014-10-23",11.23
"157","2014-10-24",11.69
"158","2014-10-27",12.02
"159","2014-10-28",12.25
"160","2014-10-29",12.81
"161","2014-10-30",13
"162","2014-10-31",12.51
"163","2014-11-03",11.99
"164","2014-11-04",12.21
"165","2014-11-05",12.04
"166","2014-11-06",11.95
"167","2014-11-07",11.97
"168","2014-11-10",11.41
"169","2014-11-11",11.77
"170","2014-11-12",12.15
"171","2014-11-13",11.83
"172","2014-11-14",11.86
"173","2014-11-17",11.06
"174","2014-11-18",11.1
"175","2014-11-19",11.19
"176","2014-11-20",11.37
"177","2014-11-21",11.45
"178","2014-11-24",11.84
"179","2014-11-25",12.42
"180","2014-11-26",12.57
"181","2014-11-28",12.43
"182","2014-12-01",12.49
"183","2014-12-02",12.58
"184","2014-12-03",12.34
"185","2014-12-04",11.69
"186","2014-12-05",12
"187","2014-12-08",13.06
"188","2014-12-09",13.15
"189","2014-12-10",13.2
"190","2014-12-11",12.9
"191","2014-12-12",12.17
"192","2014-12-15",11.67
"193","2014-12-16",11.23
"194","2014-12-17",11.26
"195","2014-12-18",11.9
"196","2014-12-19",11.61
"197","2014-12-22",11.71
"198","2014-12-23",11.84
"199","2014-12-24",12.14
"200","2014-12-26",12.21
"201","2014-12-29",11.65
"202","2014-12-30",11.46
"203","2014-12-31",11.7
"204","2015-01-02",11.67
"205","2015-01-05",11.23
"206","2015-01-06",10.8
"207","2015-01-07",11.09
"208","2015-01-08",11.15
"209","2015-01-09",10.7
"210","2015-01-12",9.93
"211","2015-01-13",9.31
"212","2015-01-14",9.56
"213","2015-01-15",8.91
"214","2015-01-16",8.78
"215","2015-01-20",8.41
"216","2015-01-21",8.57
"217","2015-01-22",9.1
"218","2015-01-23",8.81
"219","2015-01-26",8.97
"220","2015-01-27",9.08
"221","2015-01-28",9.04
"222","2015-01-29",9.18
"223","2015-01-30",8.88
"224","2015-02-02",8.61
"225","2015-02-03",8.48
"226","2015-02-04",8.51
"227","2015-02-05",8.64
"228","2015-02-06",8.73
"229","2015-02-09",8.5
"230","2015-02-10",8.61
"231","2015-02-11",8.6
"232","2015-02-12",9.06
"233","2015-02-13",9.19
"234","2015-02-17",9.13
"235","2015-02-18",9.46
"236","2015-02-19",6.54
"237","2015-02-20",7.16
"238","2015-02-23",7.01
"239","2015-02-24",6.96
"240","2015-02-25",7.36
"241","2015-02-26",7.5
"242","2015-02-27",7.29
"243","2015-03-02",7.56
"244","2015-03-03",7.41
"245","2015-03-04",7.49
"246","2015-03-05",7.35
"247","2015-03-06",7.17
"248","2015-03-09",7.16
"249","2015-03-10",7.22
"250","2015-03-11",7.28
"251","2015-03-12",7.42
"252","2015-03-13",7.85
"253","2015-03-16",7.88
"254","2015-03-17",8.31
"255","2015-03-18",8.97
"256","2015-03-19",9.38
"257","2015-03-20",8.82
"258","2015-03-23",8.36
"259","2015-03-24",8.29
"260","2015-03-25",8.12
"261","2015-03-26",7.96
"262","2015-03-27",7.9
"263","2015-03-30",7.81
"264","2015-03-31",7.76
"265","2015-04-01",7.5
"266","2015-04-02",7.68
"267","2015-04-06",7.81
"268","2015-04-07",7.71
"269","2015-04-08",7.79
"270","2015-04-09",7.71
"271","2015-04-10",7.6
"272","2015-04-13",7.52
"273","2015-04-14",7.46
"274","2015-04-15",7.54
"275","2015-04-16",7.87
"276","2015-04-17",7.69
"277","2015-04-20",7.45
"278","2015-04-21",7.49
"279","2015-04-22",7.85
"280","2015-04-23",7.92
"281","2015-04-24",7.99
"282","2015-04-27",7.77
"283","2015-04-28",7.54
"284","2015-04-29",7.7
"285","2015-04-30",7.53
"286","2015-05-01",7.26
"287","2015-05-04",7.28
"288","2015-05-05",7.36
"289","2015-05-06",7.08
"290","2015-05-07",7.93
"291","2015-05-08",7.77
"292","2015-05-11",7.84
"293","2015-05-12",8.21
"294","2015-05-13",9.06
"295","2015-05-14",8.68
"296","2015-05-15",8.49
"297","2015-05-18",8.55
"298","2015-05-19",8.65
"299","2015-05-20",8.54
"300","2015-05-21",8.47
"301","2015-05-22",8.4
"302","2015-05-26",8.86
"303","2015-05-27",9.03
"304","2015-05-28",8.85
"305","2015-05-29",8.73
"306","2015-06-01",8.76
"307","2015-06-02",9.04
"308","2015-06-03",9.11
"309","2015-06-04",9.1
"310","2015-06-05",9.26
"311","2015-06-08",9.52
"312","2015-06-09",9.38
"313","2015-06-10",9.77
"314","2015-06-11",9.78
"315","2015-06-12",9.74
"316","2015-06-15",10.28
"317","2015-06-16",9.7
"318","2015-06-17",9.05
"319","2015-06-18",8.81
"320","2015-06-19",8.55
"321","2015-06-22",8.57
"322","2015-06-23",8.66
"323","2015-06-24",8.62
"324","2015-06-25",8.66
"325","2015-06-26",8.24
"326","2015-06-29",8.14
"327","2015-06-30",8.14
"328","2015-07-01",7.95
"329","2015-07-02",7.82
"330","2015-07-06",7.77
"331","2015-07-07",7.41
"332","2015-07-08",7.25
"333","2015-07-09",7.45
"334","2015-07-10",7.58
"335","2015-07-13",7.59
"336","2015-07-14",8.01
"337","2015-07-15",7.97
