"","date","FRO"
"219","2007-11-13",199.800003
"220","2007-11-14",194.600006
"221","2007-11-15",196.100006
"222","2007-11-16",199.800003
"223","2007-11-19",203.100006
"224","2007-11-20",204
"225","2007-11-21",211.899994
"226","2007-11-23",230
"227","2007-11-26",225.050003
"228","2007-11-27",228.75
"229","2007-11-28",235.300003
"230","2007-11-29",239.899994
"231","2007-11-30",232.75
"232","2007-12-03",223.149994
"233","2007-12-04",214.350006
"234","2007-12-05",216.949997
"235","2007-12-06",223.149994
"236","2007-12-07",237.199997
"237","2007-12-10",239.949997
"238","2007-12-11",229
"239","2007-12-12",240.550003
"240","2007-12-13",239.199997
"241","2007-12-14",242.600006
"242","2007-12-17",240.25
"243","2007-12-18",238.300003
"244","2007-12-19",237.600006
"245","2007-12-20",232.800003
"246","2007-12-21",232.75
"247","2007-12-24",234.899994
"248","2007-12-26",237.550003
"249","2007-12-27",237.949997
"250","2007-12-28",242.699997
"251","2007-12-31",240
"252","2008-01-02",243.75
"253","2008-01-03",244.699997
"254","2008-01-04",229.399994
"255","2008-01-07",215.899994
"256","2008-01-08",221.699997
"257","2008-01-09",215.350006
"258","2008-01-10",210.149994
"259","2008-01-11",208.25
"260","2008-01-14",210.399994
"261","2008-01-15",203.149994
"262","2008-01-16",184.649994
"263","2008-01-17",181.25
"264","2008-01-18",184.149994
"265","2008-01-22",180.800003
"266","2008-01-23",187.5
"267","2008-01-24",199.050003
"268","2008-01-25",197.5
"269","2008-01-28",207.5
"270","2008-01-29",208.75
"271","2008-01-30",213.75
"272","2008-01-31",213.050003
"273","2008-02-01",209.199997
"274","2008-02-04",212.149994
"275","2008-02-05",203.449997
"276","2008-02-06",204.600006
"277","2008-02-07",212.399994
"278","2008-02-08",211.649994
"279","2008-02-11",219.149994
"280","2008-02-12",215.800003
"281","2008-02-13",226.300003
"282","2008-02-14",234.899994
"283","2008-02-15",231.100006
"284","2008-02-19",237.800003
"285","2008-02-20",242.300003
"286","2008-02-21",240.550003
"287","2008-02-22",228.5
"288","2008-02-25",229.75
"289","2008-02-26",233.899994
"290","2008-02-27",236.75
"291","2008-02-28",236.5
"292","2008-02-29",225.699997
"293","2008-03-03",221.399994
"294","2008-03-04",224.350006
"295","2008-03-05",231.25
"296","2008-03-06",223.100006
"297","2008-03-07",220.25
"298","2008-03-10",205.75
"299","2008-03-11",218.75
"300","2008-03-12",214.899994
"301","2008-03-13",223.25
"302","2008-03-14",219.199997
"303","2008-03-17",213.649994
"304","2008-03-18",219.399994
"305","2008-03-19",215.649994
"306","2008-03-20",224.300003
"307","2008-03-24",223.550003
"308","2008-03-25",228.25
"309","2008-03-26",227.399994
"310","2008-03-27",232.25
"311","2008-03-28",228.850006
"312","2008-03-31",230.100006
"313","2008-04-01",235.350006
"314","2008-04-02",236.899994
"315","2008-04-03",235.649994
"316","2008-04-04",233.949997
"317","2008-04-07",234.399994
"318","2008-04-08",240.449997
"319","2008-04-09",235.899994
"320","2008-04-10",240.850006
"321","2008-04-11",240.399994
"322","2008-04-14",243.5
"323","2008-04-15",251.75
"324","2008-04-16",264.100006
"325","2008-04-17",266.299988
"326","2008-04-18",268.850006
"327","2008-04-21",275.100006
"328","2008-04-22",275.5
"329","2008-04-23",269.299988
"330","2008-04-24",269.450012
"331","2008-04-25",275
"332","2008-04-28",282.75
"333","2008-04-29",270.549988
"334","2008-04-30",280.299988
"335","2008-05-01",278.950012
"336","2008-05-02",291.200012
"337","2008-05-05",292.25
"338","2008-05-06",301.399994
"339","2008-05-07",300.5
"340","2008-05-08",294.299988
"341","2008-05-09",305.350006
"342","2008-05-12",306.149994
"343","2008-05-13",309.700012
"344","2008-05-14",305.25
"345","2008-05-15",307.799988
"346","2008-05-16",312.950012
"347","2008-05-19",329.799988
"348","2008-05-20",337.649994
"349","2008-05-21",339.450012
"350","2008-05-22",337.600006
"351","2008-05-23",322.399994
"352","2008-05-27",317.149994
"353","2008-05-28",321.299988
"354","2008-05-29",316.100006
"355","2008-05-30",318.700012
"356","2008-06-02",298.5
"357","2008-06-03",301.399994
"358","2008-06-04",298.25
"359","2008-06-05",300.950012
"360","2008-06-06",314.799988
"361","2008-06-09",331.549988
"362","2008-06-10",316.25
"363","2008-06-11",306.200012
"364","2008-06-12",308.100006
"365","2008-06-13",315.049988
"366","2008-06-16",331.75
"367","2008-06-17",348.850006
"368","2008-06-18",344.950012
"369","2008-06-19",342.799988
"370","2008-06-20",348.5
"371","2008-06-23",358.799988
"372","2008-06-24",349
"373","2008-06-25",354.350006
"374","2008-06-26",347.049988
"375","2008-06-27",356.200012
"376","2008-06-30",348.899994
"377","2008-07-01",343.450012
"378","2008-07-02",321.700012
"379","2008-07-03",319.149994
"380","2008-07-07",303.299988
"381","2008-07-08",306.049988
"382","2008-07-09",310.649994
"383","2008-07-10",312.350006
"384","2008-07-11",326.299988
"385","2008-07-14",322.450012
"386","2008-07-15",309.100006
"387","2008-07-16",313.350006
"388","2008-07-17",318.149994
"389","2008-07-18",311.149994
"390","2008-07-21",326.5
"391","2008-07-22",324.149994
"392","2008-07-23",339
"393","2008-07-24",318.600006
"394","2008-07-25",320.700012
"395","2008-07-28",330.5
"396","2008-07-29",331.25
"397","2008-07-30",323.950012
"398","2008-07-31",320.850006
"399","2008-08-01",305.399994
"400","2008-08-04",281.25
"401","2008-08-05",280.549988
"402","2008-08-06",292.450012
"403","2008-08-07",279.5
"404","2008-08-08",278.649994
"405","2008-08-11",285.75
"406","2008-08-12",280.350006
"407","2008-08-13",288.299988
"408","2008-08-14",296.5
"409","2008-08-15",289.700012
"410","2008-08-18",294.549988
"411","2008-08-19",289
"412","2008-08-20",291.600006
"413","2008-08-21",281.649994
"414","2008-08-22",275.25
"415","2008-08-25",283.850006
"416","2008-08-26",283
"417","2008-08-27",300
"418","2008-08-28",300.100006
"419","2008-08-29",302.049988
"420","2008-09-02",258.649994
"421","2008-09-03",265.899994
"422","2008-09-04",261.5
"423","2008-09-05",250.550003
"424","2008-09-08",251.550003
"425","2008-09-09",232.449997
"426","2008-09-10",249.949997
"427","2008-09-11",246.100006
"428","2008-09-12",249.800003
"429","2008-09-15",226.600006
"430","2008-09-16",236.399994
"431","2008-09-17",223.75
"432","2008-09-18",240.5
"433","2008-09-19",263.600006
"434","2008-09-22",264
"435","2008-09-23",245.199997
"436","2008-09-24",255.300003
"437","2008-09-25",254.800003
"438","2008-09-26",245.550003
"439","2008-09-29",221.899994
"440","2008-09-30",240.350006
"441","2008-10-01",230.649994
"442","2008-10-02",210.25
"443","2008-10-03",210
"444","2008-10-06",199.050003
"445","2008-10-07",183.25
"446","2008-10-08",180.25
"447","2008-10-09",163.899994
"448","2008-10-10",155.149994
"449","2008-10-13",184
"450","2008-10-14",187
"451","2008-10-15",162.449997
"452","2008-10-16",167.350006
"453","2008-10-17",162.350006
"454","2008-10-20",174.350006
"455","2008-10-21",165.350006
"456","2008-10-22",150.350006
"457","2008-10-23",145.5
"458","2008-10-24",133.149994
"459","2008-10-27",141.300003
"460","2008-10-28",142.5
"461","2008-10-29",150.800003
"462","2008-10-30",149.75
"463","2008-10-31",159
"464","2008-11-03",167.149994
"465","2008-11-04",192.5
"466","2008-11-05",170.949997
"467","2008-11-06",152.449997
"468","2008-11-07",165
"469","2008-11-10",161.699997
"470","2008-11-11",157.899994
"471","2008-11-12",144.149994
"472","2008-11-13",162.800003
"473","2008-11-14",147.75
"474","2008-11-17",149.300003
"475","2008-11-18",146.949997
"476","2008-11-19",143.5
"477","2008-11-20",125.949997
"478","2008-11-21",132.600006
"479","2008-11-24",145.050003
"480","2008-11-25",147.25
"481","2008-11-26",165.050003
"482","2008-11-28",147.699997
"483","2008-12-01",125.5
"484","2008-12-02",131.600006
"485","2008-12-03",132.600006
"486","2008-12-04",133.5
"487","2008-12-05",140
"488","2008-12-08",154.899994
"489","2008-12-09",151.25
"490","2008-12-10",157.050003
"491","2008-12-11",143.399994
"492","2008-12-12",145.25
"493","2008-12-15",140.100006
"494","2008-12-16",145.199997
"495","2008-12-17",153
"496","2008-12-18",148.550003
"497","2008-12-19",149
"498","2008-12-22",143.25
"499","2008-12-23",144
"500","2008-12-24",144.050003
"501","2008-12-26",146.25
"502","2008-12-29",143.949997
"503","2008-12-30",142.449997
"504","2008-12-31",148.050003
"505","2009-01-02",155.100006
"506","2009-01-05",158.100006
"507","2009-01-06",165.199997
"508","2009-01-07",154.5
"509","2009-01-08",158.5
"510","2009-01-09",154.449997
"511","2009-01-12",151.75
"512","2009-01-13",149.550003
"513","2009-01-14",148.699997
"514","2009-01-15",153.600006
"515","2009-01-16",157.449997
"516","2009-01-20",147.050003
"517","2009-01-21",150.649994
"518","2009-01-22",139.5
"519","2009-01-23",140.550003
"520","2009-01-26",138.25
"521","2009-01-27",140.75
"522","2009-01-28",149.949997
"523","2009-01-29",145.75
"524","2009-01-30",142.550003
"525","2009-02-02",140
"526","2009-02-03",140.25
"527","2009-02-04",140
"528","2009-02-05",140.449997
"529","2009-02-06",142.75
"530","2009-02-09",145.550003
"531","2009-02-10",140.300003
"532","2009-02-11",139.25
"533","2009-02-12",139.449997
"534","2009-02-13",137
"535","2009-02-17",127.699997
"536","2009-02-18",122.650002
"537","2009-02-19",121.650002
"538","2009-02-20",120.550003
"539","2009-02-23",111.699997
"540","2009-02-24",117.849998
"541","2009-02-25",116.699997
"542","2009-02-26",104.400002
"543","2009-02-27",101.449997
"544","2009-03-02",87.449997
"545","2009-03-03",82
"546","2009-03-04",93.75
"547","2009-03-05",84.550003
"548","2009-03-06",83.300003
"549","2009-03-09",83.349998
"550","2009-03-10",87.800003
"551","2009-03-11",84.849998
"552","2009-03-12",87.449997
"553","2009-03-13",87.300003
"554","2009-03-16",84.75
"555","2009-03-17",88.5
