"","date","TRUP"
"1","2014-07-18",11.4
"2","2014-07-21",11.6
"3","2014-07-22",11.2
"4","2014-07-23",11.16
"5","2014-07-24",10.67
"6","2014-07-25",10.52
"7","2014-07-28",10.17
"8","2014-07-29",10.3
"9","2014-07-30",10.21
"10","2014-07-31",10
"11","2014-08-01",9.9
"12","2014-08-04",10.03
"13","2014-08-05",9.71
"14","2014-08-06",9.69
"15","2014-08-07",10.05
"16","2014-08-08",10.21
"17","2014-08-11",10.14
"18","2014-08-12",9.8
"19","2014-08-13",9.54
"20","2014-08-14",9.53
"21","2014-08-15",9.05
"22","2014-08-18",8.66
"23","2014-08-19",8.58
"24","2014-08-20",8.79
"25","2014-08-21",9.12
"26","2014-08-22",9.1
"27","2014-08-25",9.17
"28","2014-08-26",9.02
"29","2014-08-27",9.07
"30","2014-08-28",8.88
"31","2014-08-29",8.95
"32","2014-09-02",8.7
"33","2014-09-03",8.56
"34","2014-09-04",8.5
"35","2014-09-05",8.63
"36","2014-09-08",8.57
"37","2014-09-09",8.5
"38","2014-09-10",8.71
"39","2014-09-11",8.74
"40","2014-09-12",8.53
"41","2014-09-15",8.58
"42","2014-09-16",8.46
"43","2014-09-17",8.45
"44","2014-09-18",8.06
"45","2014-09-19",7.85
"46","2014-09-22",7.8
"47","2014-09-23",8.17
"48","2014-09-24",8.54
"49","2014-09-25",8.29
"50","2014-09-26",8.74
"51","2014-09-29",8.58
"52","2014-09-30",8.5
"53","2014-10-01",8.1
"54","2014-10-02",8.08
"55","2014-10-03",8.05
"56","2014-10-06",7.65
"57","2014-10-07",7.51
"58","2014-10-08",7.43
"59","2014-10-09",7.37
"60","2014-10-10",6.79
"61","2014-10-13",6.85
"62","2014-10-14",6.9
"63","2014-10-15",6.82
"64","2014-10-16",6.97
"65","2014-10-17",6.99
"66","2014-10-20",7.02
"67","2014-10-21",7.1
"68","2014-10-22",7.19
"69","2014-10-23",6.9
"70","2014-10-24",7.05
"71","2014-10-27",7.09
"72","2014-10-28",7.18
"73","2014-10-29",7.1
"74","2014-10-30",7.01
"75","2014-10-31",6.66
"76","2014-11-03",6.66
"77","2014-11-04",6.58
"78","2014-11-05",6.51
"79","2014-11-06",6.75
"80","2014-11-07",6.54
"81","2014-11-10",6.35
"82","2014-11-11",6.07
"83","2014-11-12",6.5
"84","2014-11-13",6.7
"85","2014-11-14",6.42
"86","2014-11-17",6.3
"87","2014-11-18",6.31
"88","2014-11-19",6.3
"89","2014-11-20",6.24
"90","2014-11-21",6.27
"91","2014-11-24",6.26
"92","2014-11-25",6.2
"93","2014-11-26",6.15
"94","2014-11-28",6.07
"95","2014-12-01",5.76
"96","2014-12-02",5.93
"97","2014-12-03",5.91
"98","2014-12-04",5.83
"99","2014-12-05",5.84
"100","2014-12-08",5.66
"101","2014-12-09",5.65
"102","2014-12-10",5.51
"103","2014-12-11",5.52
"104","2014-12-12",5.37
"105","2014-12-15",5.36
"106","2014-12-16",5.35
"107","2014-12-17",5.56
"108","2014-12-18",5.79
"109","2014-12-19",6.23
"110","2014-12-22",6.51
"111","2014-12-23",6.8
"112","2014-12-24",6.79
"113","2014-12-26",6.86
"114","2014-12-29",6.98
"115","2014-12-30",6.83
"116","2014-12-31",6.93
"117","2015-01-02",7.18
"118","2015-01-05",6.86
"119","2015-01-06",6.76
"120","2015-01-07",6.96
"121","2015-01-08",7.07
"122","2015-01-09",7.24
"123","2015-01-12",7.44
"124","2015-01-13",7.55
"125","2015-01-14",7.39
"126","2015-01-15",7.47
"127","2015-01-16",7.39
"128","2015-01-20",7.57
"129","2015-01-21",7.49
"130","2015-01-22",7.59
"131","2015-01-23",7.52
"132","2015-01-26",7.36
"133","2015-01-27",7.23
"134","2015-01-28",7.22
"135","2015-01-29",7.25
"136","2015-01-30",7.1
"137","2015-02-02",6.94
"138","2015-02-03",6.78
"139","2015-02-04",6.94
"140","2015-02-05",7.26
"141","2015-02-06",7.07
"142","2015-02-09",6.7
"143","2015-02-10",6.91
"144","2015-02-11",7.09
"145","2015-02-12",7.21
"146","2015-02-13",7.17
"147","2015-02-17",7.26
"148","2015-02-18",7.73
"149","2015-02-19",7.89
"150","2015-02-20",7.99
"151","2015-02-23",7.91
"152","2015-02-24",7.88
"153","2015-02-25",7.79
"154","2015-02-26",7.72
"155","2015-02-27",7.61
