"","date","AI"
"1","2007-01-03",162.199997
"2","2007-01-04",163
"3","2007-01-05",160
"4","2007-01-08",159.800003
"5","2007-01-09",161.600006
"6","2007-01-10",167.399994
"7","2007-01-11",165
"8","2007-01-12",165.399994
"9","2007-01-16",162.800003
"10","2007-01-17",160.399994
"11","2007-01-18",158.399994
"12","2007-01-19",161
"13","2007-01-22",160.199997
"14","2007-01-23",155.600006
"15","2007-01-24",158.399994
"16","2007-01-25",153.800003
"17","2007-01-26",154.199997
"18","2007-01-29",152.199997
"19","2007-01-30",153.800003
"20","2007-01-31",157.199997
"21","2007-02-01",156.399994
"22","2007-02-02",156.199997
"23","2007-02-05",155.199997
"24","2007-02-06",156
"25","2007-02-07",161.600006
"26","2007-02-08",152.800003
"27","2007-02-09",146.800003
"28","2007-02-12",146
"29","2007-02-13",146
"30","2007-02-14",144.800003
"31","2007-02-15",144.800003
"32","2007-02-16",141.800003
"33","2007-02-20",141.199997
"34","2007-02-21",138.199997
"35","2007-02-22",151.800003
"36","2007-02-23",145.600006
"37","2007-02-26",143
"38","2007-02-27",135.800003
"39","2007-02-28",135.600006
"40","2007-03-01",136.199997
"41","2007-03-02",130.399994
"42","2007-03-05",119.599998
"43","2007-03-06",122.800003
"44","2007-03-07",123.199997
"45","2007-03-08",121.199997
"46","2007-03-09",118.400002
"47","2007-03-12",110.800003
"48","2007-03-13",92.800003
"49","2007-03-14",99.400002
"50","2007-03-15",107.199997
"51","2007-03-16",102.800003
"52","2007-03-19",104.199997
"53","2007-03-20",108.400002
"54","2007-03-21",116
"55","2007-03-22",117.599998
"56","2007-03-23",112.199997
"57","2007-03-26",109.800003
"58","2007-03-27",108.400002
"59","2007-03-28",110.400002
"60","2007-03-29",110.199997
"61","2007-03-30",110.400002
"62","2007-04-02",110.599998
"63","2007-04-03",111.400002
"64","2007-04-04",110.199997
"65","2007-04-05",112.599998
"66","2007-04-09",110.199997
"67","2007-04-10",111.400002
"68","2007-04-11",109.800003
"69","2007-04-12",114.599998
"70","2007-04-13",114
"71","2007-04-16",118
"72","2007-04-17",118.599998
"73","2007-04-18",118.400002
"74","2007-04-19",119.199997
"75","2007-04-20",122.400002
"76","2007-04-23",122.199997
"77","2007-04-24",121.400002
"78","2007-04-25",117.599998
"79","2007-04-26",118.599998
"80","2007-04-27",115.599998
"81","2007-04-30",111
"82","2007-05-01",111.599998
"83","2007-05-02",110.599998
"84","2007-05-03",110.800003
"85","2007-05-04",110.599998
"86","2007-05-07",111.599998
"87","2007-05-08",113.800003
"88","2007-05-09",115.400002
"89","2007-05-10",112.599998
"90","2007-05-11",115.800003
"91","2007-05-14",113.599998
"92","2007-05-15",110
"93","2007-05-16",112.400002
"94","2007-05-17",111.199997
"95","2007-05-18",111
"96","2007-05-21",114
"97","2007-05-22",119.400002
"98","2007-05-23",125.199997
"99","2007-05-24",126.199997
"100","2007-05-25",128
"101","2007-05-29",126.599998
"102","2007-05-30",126.199997
"103","2007-05-31",125.400002
"104","2007-06-01",126.400002
"105","2007-06-04",129
"106","2007-06-05",125
"107","2007-06-06",125
"108","2007-06-07",128.199997
"109","2007-06-08",130
"110","2007-06-11",125.599998
"111","2007-06-12",121.400002
"112","2007-06-13",123.400002
"113","2007-06-14",125.599998
"114","2007-06-15",128.199997
"115","2007-06-18",128.199997
"116","2007-06-19",125.800003
"117","2007-06-20",121
"118","2007-06-21",120.400002
"119","2007-06-22",115.599998
"120","2007-06-25",114.199997
"121","2007-06-26",110.199997
"122","2007-06-27",110.199997
"123","2007-06-28",112
"124","2007-06-29",109.199997
"125","2007-07-02",108
"126","2007-07-03",110
"127","2007-07-05",107.400002
"128","2007-07-06",107.800003
"129","2007-07-09",108.199997
"130","2007-07-10",104.199997
"131","2007-07-11",101.800003
"132","2007-07-12",102.400002
"133","2007-07-13",103.400002
"134","2007-07-16",104.199997
"135","2007-07-17",102.400002
"136","2007-07-18",102
"137","2007-07-19",101.800003
"138","2007-07-20",99.800003
"139","2007-07-23",98.800003
"140","2007-07-24",92.800003
"141","2007-07-25",98
"142","2007-07-26",110
"143","2007-07-27",107
"144","2007-07-30",104.599998
"145","2007-07-31",98.400002
"146","2007-08-01",91.599998
"147","2007-08-02",95.199997
"148","2007-08-03",88.400002
"149","2007-08-06",92.400002
