"","date","ADBE"
"1","2007-01-03",39.919998
"2","2007-01-04",40.82
"3","2007-01-05",40.619999
"4","2007-01-08",40.450001
"5","2007-01-09",39.630001
"6","2007-01-10",39.220001
"7","2007-01-11",39.880001
"8","2007-01-12",39.959999
"9","2007-01-16",40.049999
"10","2007-01-17",40.200001
"11","2007-01-18",38.57
"12","2007-01-19",38.400002
"13","2007-01-22",37.830002
"14","2007-01-23",37.52
"15","2007-01-24",39.689999
"16","2007-01-25",39.130001
"17","2007-01-26",39.259998
"18","2007-01-29",39.349998
"19","2007-01-30",39.009998
"20","2007-01-31",38.869999
"21","2007-02-01",38.759998
"22","2007-02-02",38.970001
"23","2007-02-05",38.439999
"24","2007-02-06",38.459999
"25","2007-02-07",38.150002
"26","2007-02-08",38.049999
"27","2007-02-09",37.68
"28","2007-02-12",38.09
"29","2007-02-13",38.43
"30","2007-02-14",38.599998
"31","2007-02-15",39.25
"32","2007-02-16",40.27
"33","2007-02-20",40.740002
"34","2007-02-21",40.950001
"35","2007-02-22",40.810001
"36","2007-02-23",40.630001
"37","2007-02-26",40.740002
"38","2007-02-27",38.919998
"39","2007-02-28",39.25
"40","2007-03-01",39.259998
"41","2007-03-02",38.66
"42","2007-03-05",38.52
"43","2007-03-06",39.040001
"44","2007-03-07",38.740002
"45","2007-03-08",39.080002
"46","2007-03-09",39.169998
"47","2007-03-12",39.639999
"48","2007-03-13",38.650002
"49","2007-03-14",39.299999
"50","2007-03-15",38.619999
"51","2007-03-16",39.169998
"52","2007-03-19",40.240002
"53","2007-03-20",40.740002
"54","2007-03-21",43.299999
"55","2007-03-22",42.860001
"56","2007-03-23",42.790001
"57","2007-03-26",43.16
"58","2007-03-27",42.900002
"59","2007-03-28",41.580002
"60","2007-03-29",41.529999
"61","2007-03-30",41.700001
"62","2007-04-02",41.650002
"63","2007-04-03",42.349998
"64","2007-04-04",42.700001
"65","2007-04-05",42.610001
"66","2007-04-09",42.700001
"67","2007-04-10",43
"68","2007-04-11",42.099998
"69","2007-04-12",42.400002
"70","2007-04-13",41.639999
"71","2007-04-16",42.400002
"72","2007-04-17",43
"73","2007-04-18",42.970001
"74","2007-04-19",42.389999
"75","2007-04-20",42.139999
"76","2007-04-23",42.16
"77","2007-04-24",42.5
"78","2007-04-25",42.709999
"79","2007-04-26",43.259998
"80","2007-04-27",42.889999
"81","2007-04-30",41.560001
"82","2007-05-01",41.73
"83","2007-05-02",41.509998
"84","2007-05-03",41.200001
"85","2007-05-04",41.330002
"86","2007-05-07",41.310001
"87","2007-05-08",41.369999
"88","2007-05-09",41.259998
"89","2007-05-10",40.66
"90","2007-05-11",41.700001
"91","2007-05-14",41.810001
"92","2007-05-15",41.369999
"93","2007-05-16",42.290001
"94","2007-05-17",42.419998
"95","2007-05-18",43.59
"96","2007-05-21",43.25
"97","2007-05-22",43.59
"98","2007-05-23",43.23
"99","2007-05-24",41.990002
"100","2007-05-25",42.380001
"101","2007-05-29",42.869999
"102","2007-05-30",43.220001
"103","2007-05-31",44.060001
"104","2007-06-01",44.529999
"105","2007-06-04",44.580002
"106","2007-06-05",44.34
"107","2007-06-06",43.639999
"108","2007-06-07",42.720001
"109","2007-06-08",43.040001
"110","2007-06-11",42.990002
"111","2007-06-12",42.73
"112","2007-06-13",44.110001
"113","2007-06-14",43.959999
"114","2007-06-15",42.75
"115","2007-06-18",42.669998
