"","date","LIVE"
"1","2007-01-03",218
"2","2007-01-04",214
"3","2007-01-05",206
"4","2007-01-08",198
"5","2007-01-09",210
"6","2007-01-10",214
"7","2007-01-11",208
"8","2007-01-12",192
"9","2007-01-16",186
"10","2007-01-17",184
"11","2007-01-18",174
"12","2007-01-19",176
"13","2007-01-22",172
"14","2007-01-23",168
"15","2007-01-24",172
"16","2007-01-25",184
"17","2007-01-26",198
"18","2007-01-29",198
"19","2007-01-30",204
"20","2007-01-31",206
"21","2007-02-01",212
"22","2007-02-02",214
"23","2007-02-05",210
"24","2007-02-06",210
"25","2007-02-07",202
"26","2007-02-08",200
"27","2007-02-09",200
"28","2007-02-12",204
"29","2007-02-13",200
"30","2007-02-14",196
"31","2007-02-15",204
"32","2007-02-16",206
"33","2007-02-20",180
"34","2007-02-21",178
"35","2007-02-22",180
"36","2007-02-23",188
"37","2007-02-26",182
"38","2007-02-27",172
"39","2007-02-28",168
"40","2007-03-01",166
"41","2007-03-02",166
"42","2007-03-05",162
"43","2007-03-06",166
"44","2007-03-07",164
"45","2007-03-08",164
"46","2007-03-09",158
"47","2007-03-12",164
"48","2007-03-13",158
"49","2007-03-14",160
"50","2007-03-15",160
"51","2007-03-16",156
"52","2007-03-19",160
"53","2007-03-20",160
"54","2007-03-21",160
"55","2007-03-22",160
"56","2007-03-23",156
"57","2007-03-26",158
"58","2007-03-27",158
"59","2007-03-28",158
"60","2007-03-29",158
"61","2007-03-30",158
"62","2007-04-02",150
"63","2007-04-03",152
"64","2007-04-04",152
"65","2007-04-05",154
"66","2007-04-09",146
"67","2007-04-10",146
"68","2007-04-11",138
"69","2007-04-12",142
"70","2007-04-13",144
"71","2007-04-16",148
"72","2007-04-17",144
"73","2007-04-18",148
"74","2007-04-19",148
"75","2007-04-20",148
"76","2007-04-23",148
"77","2007-04-24",146
"78","2007-04-25",146
"79","2007-04-26",144
"80","2007-04-27",144
"81","2007-04-30",142
"82","2007-05-01",144
"83","2007-05-02",142
"84","2007-05-03",142
"85","2007-05-04",142
"86","2007-05-07",142
"87","2007-05-08",140
"88","2007-05-09",140
"89","2007-05-10",138
"90","2007-05-11",136
"91","2007-05-14",134
"92","2007-05-15",140
"93","2007-05-16",140
"94","2007-05-17",138
"95","2007-05-18",138
"96","2007-05-21",134
"97","2007-05-22",136
"98","2007-05-23",140
"99","2007-05-24",138
"100","2007-05-25",138
"101","2007-05-29",144
"102","2007-05-30",142
"103","2007-05-31",146
"104","2007-06-01",140
"105","2007-06-04",140
"106","2007-06-05",138
"107","2007-06-06",138
"108","2007-06-07",160
"109","2007-06-08",160
"110","2007-06-11",156
"111","2007-06-12",154
"112","2007-06-13",156
"113","2007-06-14",154
"114","2007-06-15",146
"115","2007-06-18",144
"116","2007-06-19",148
"117","2007-06-20",148
"118","2007-06-21",148
"119","2007-06-22",150
"120","2007-06-25",152
"121","2007-06-26",146
"122","2007-06-27",150
"123","2007-06-28",148
"124","2007-06-29",150
"125","2007-07-02",152
"126","2007-07-03",150
"127","2007-07-05",144
"128","2007-07-06",148
"129","2007-07-09",146
"130","2007-07-10",144
"131","2007-07-11",144
"132","2007-07-12",144
"133","2007-07-13",148
"134","2007-07-16",152
"135","2007-07-17",154
"136","2007-07-18",152
"137","2007-07-19",152
"138","2007-07-20",154
"139","2007-07-23",154
"140","2007-07-24",152
"141","2007-07-25",152
"142","2007-07-26",146
"143","2007-07-27",144
"144","2007-07-30",144
"145","2007-07-31",144
"146","2007-08-01",144
"147","2007-08-02",146
"148","2007-08-03",138
"149","2007-08-06",134
"150","2007-08-07",130
"151","2007-08-08",130
"152","2007-08-09",128
"153","2007-08-10",126
"154","2007-08-13",130
"155","2007-08-14",138
"156","2007-08-15",140
"157","2007-08-16",140
"158","2007-08-17",130
"159","2007-08-20",132
"160","2007-08-21",136
"161","2007-08-22",130
"162","2007-08-23",130
"163","2007-08-24",132
"164","2007-08-27",140
"165","2007-08-28",140
"166","2007-08-29",133
"167","2007-08-30",133
"168","2007-08-31",140
"169","2007-09-04",133.399994
"170","2007-09-05",140
"171","2007-09-06",142
"172","2007-09-07",140
"173","2007-09-10",140
"174","2007-09-11",134
"175","2007-09-12",134
"176","2007-09-13",138
"177","2007-09-14",135
"178","2007-09-17",139
"179","2007-09-18",138.600006
"180","2007-09-19",135
"181","2007-09-20",135
"182","2007-09-21",142
"183","2007-09-24",142
"184","2007-09-25",132.199997
"185","2007-09-26",139
"186","2007-09-27",134.199997
"187","2007-09-28",139.800003
"188","2007-10-01",134
"189","2007-10-02",134
"190","2007-10-03",135
"191","2007-10-04",132
"192","2007-10-05",132.600006
"193","2007-10-08",140
"194","2007-10-09",138
"195","2007-10-10",138
"196","2007-10-11",135
"197","2007-10-12",134
"198","2007-10-15",134
"199","2007-10-16",125
"200","2007-10-17",124
"201","2007-10-18",125
"202","2007-10-19",126
"203","2007-10-22",126
"204","2007-10-23",120.199997
"205","2007-10-24",115
"206","2007-10-25",120
"207","2007-10-26",120
"208","2007-10-29",98
"209","2007-10-30",94
"210","2007-10-31",90
"211","2007-11-01",94
"212","2007-11-02",98
"213","2007-11-05",98
"214","2007-11-06",97
"215","2007-11-07",92
"216","2007-11-08",93
"217","2007-11-09",90
"218","2007-11-12",80
"219","2007-11-13",76
"220","2007-11-14",80
"221","2007-11-15",80
"222","2007-11-16",80
"223","2007-11-19",72.199997
"224","2007-11-20",75
"225","2007-11-21",75.800003
"226","2007-11-23",75.800003
"227","2007-11-26",70
"228","2007-11-27",70
"229","2007-11-28",75
"230","2007-11-29",75
"231","2007-11-30",77
"232","2007-12-03",77
"233","2007-12-04",71
"234","2007-12-05",75
"235","2007-12-06",74
"236","2007-12-07",70.599998
"237","2007-12-10",70
"238","2007-12-11",74
"239","2007-12-12",67
"240","2007-12-13",67
"241","2007-12-14",76
"242","2007-12-17",69
"243","2007-12-18",82
"244","2007-12-19",82
"245","2007-12-20",76
"246","2007-12-21",78
"247","2007-12-24",74
"248","2007-12-26",69
"249","2007-12-27",77
"250","2007-12-28",78
"251","2007-12-31",86
"252","2008-01-02",84.800003
"253","2008-01-03",84
"254","2008-01-04",83
"255","2008-01-07",82.599998
"256","2008-01-08",82
"257","2008-01-09",79.199997
"258","2008-01-10",79
"259","2008-01-11",81.199997
"260","2008-01-14",91
"261","2008-01-15",84
"262","2008-01-16",80
"263","2008-01-17",79.599998
"264","2008-01-18",81
"265","2008-01-22",79
"266","2008-01-23",79.199997
"267","2008-01-24",81.400002
"268","2008-01-25",81.800003
"269","2008-01-28",81.599998
"270","2008-01-29",81
"271","2008-01-30",97
"272","2008-01-31",100
"273","2008-02-01",105
"274","2008-02-04",100
"275","2008-02-05",100
"276","2008-02-06",99.800003
"277","2008-02-07",99.800003
"278","2008-02-08",99.800003
"279","2008-02-11",90
"280","2008-02-12",83
"281","2008-02-13",83
"282","2008-02-14",84
"283","2008-02-15",83
"284","2008-02-19",85
"285","2008-02-20",85.199997
"286","2008-02-21",86.199997
"287","2008-02-22",86.199997
"288","2008-02-25",86.599998
"289","2008-02-26",86
"290","2008-02-27",86
"291","2008-02-28",86
"292","2008-02-29",83.800003
"293","2008-03-03",83
"294","2008-03-04",82.599998
"295","2008-03-05",79.800003
"296","2008-03-06",76
"297","2008-03-07",78
"298","2008-03-10",76.199997
"299","2008-03-11",75.199997
"300","2008-03-12",75.199997
"301","2008-03-13",75.199997
"302","2008-03-14",76
"303","2008-03-17",77.599998
"304","2008-03-18",70
"305","2008-03-19",70.599998
"306","2008-03-20",70
"307","2008-03-24",70
"308","2008-03-25",70
"309","2008-03-26",70
"310","2008-03-27",68
"311","2008-03-28",68
"312","2008-03-31",67
"313","2008-04-01",70
"314","2008-04-02",66
"315","2008-04-03",66.400002
"316","2008-04-04",66.400002
"317","2008-04-07",66
"318","2008-04-08",66
"319","2008-04-09",66
"320","2008-04-10",66
"321","2008-04-11",66
"322","2008-04-14",64
"323","2008-04-15",62
"324","2008-04-16",61.400002
"325","2008-04-17",62
"326","2008-04-18",64
"327","2008-04-21",64
"328","2008-04-22",63
"329","2008-04-23",62
"330","2008-04-24",60
"331","2008-04-25",58
"332","2008-04-28",60
"333","2008-04-29",60
"334","2008-04-30",60
"335","2008-05-01",61
"336","2008-05-02",61
"337","2008-05-05",61
