"","date","TTM"
"1","2007-01-03",21.690001
"2","2007-01-04",21.6
"3","2007-01-05",20.860001
"4","2007-01-08",20.860001
"5","2007-01-09",20.530001
"6","2007-01-10",20.309999
"7","2007-01-11",21.1
"8","2007-01-12",21.42
"9","2007-01-16",22.1
"10","2007-01-17",22.1
"11","2007-01-18",21.93
"12","2007-01-19",21.75
"13","2007-01-22",22.02
"14","2007-01-23",21.780001
"15","2007-01-24",21.18
"16","2007-01-25",20.790001
"17","2007-01-26",20.85
"18","2007-01-29",20.51
"19","2007-01-30",20.59
"20","2007-01-31",20.299999
"21","2007-02-01",20.620001
"22","2007-02-02",20.75
"23","2007-02-05",20.690001
"24","2007-02-06",20.799999
"25","2007-02-07",20.52
"26","2007-02-08",20.27
"27","2007-02-09",20.4
"28","2007-02-12",19.870001
"29","2007-02-13",19.450001
"30","2007-02-14",19.870001
"31","2007-02-15",20.129999
"32","2007-02-16",20.15
"33","2007-02-20",19.700001
"34","2007-02-21",19.74
"35","2007-02-22",19.379999
"36","2007-02-23",19
"37","2007-02-26",19.09
"38","2007-02-27",18.049999
"39","2007-02-28",18.51
"40","2007-03-01",18.110001
"41","2007-03-02",17.85
"42","2007-03-05",17.200001
"43","2007-03-06",17.15
"44","2007-03-07",16.959999
"45","2007-03-08",17.58
"46","2007-03-09",17.49
"47","2007-03-12",17.610001
"48","2007-03-13",17.129999
"49","2007-03-14",17.09
"50","2007-03-15",17
"51","2007-03-16",16.99
"52","2007-03-19",17.59
"53","2007-03-20",17.66
"54","2007-03-21",18.18
"55","2007-03-22",18.4
"56","2007-03-23",18.1
"57","2007-03-26",17.82
"58","2007-03-27",17.5
"59","2007-03-28",16.92
"60","2007-03-29",16.860001
"61","2007-03-30",16.209999
"62","2007-04-02",15.94
"63","2007-04-03",16.290001
"64","2007-04-04",16.120001
"65","2007-04-05",16.27
"66","2007-04-09",16.59
"67","2007-04-10",16.85
"68","2007-04-11",16.77
"69","2007-04-12",16.85
"70","2007-04-13",17.23
"71","2007-04-16",17.76
"72","2007-04-17",17.559999
"73","2007-04-18",17.48
"74","2007-04-19",17.35
"75","2007-04-20",17.540001
"76","2007-04-23",18
"77","2007-04-24",18.809999
"78","2007-04-25",18.85
"79","2007-04-26",19.09
"80","2007-04-27",18.450001
"81","2007-04-30",18.280001
"82","2007-05-01",18.34
"83","2007-05-02",18.299999
"84","2007-05-03",18.02
"85","2007-05-04",18.139999
"86","2007-05-07",17.93
"87","2007-05-08",17.940001
"88","2007-05-09",17.860001
"89","2007-05-10",17.33
"90","2007-05-11",17.639999
"91","2007-05-14",17.5
"92","2007-05-15",17.540001
"93","2007-05-16",18.18
"94","2007-05-17",18.16
"95","2007-05-18",18.290001
"96","2007-05-21",17.809999
"97","2007-05-22",18.07
"98","2007-05-23",17.6
"99","2007-05-24",17.459999
"100","2007-05-25",17.99
"101","2007-05-29",18.309999
"102","2007-05-30",18.42
"103","2007-05-31",18.639999
"104","2007-06-01",18.780001
"105","2007-06-04",17.889999
"106","2007-06-05",17.66
"107","2007-06-06",16.83
"108","2007-06-07",16.51
"109","2007-06-08",16.469999
"110","2007-06-11",16.27
"111","2007-06-12",16
"112","2007-06-13",16.07
"113","2007-06-14",16.120001
"114","2007-06-15",16.25
"115","2007-06-18",16.190001
"116","2007-06-19",16.540001
"117","2007-06-20",16.809999
"118","2007-06-21",16.690001
"119","2007-06-22",16.459999
"120","2007-06-25",16.530001
"121","2007-06-26",16.549999
"122","2007-06-27",16.49
"123","2007-06-28",16.51
"124","2007-06-29",16.42
"125","2007-07-02",16.639999
"126","2007-07-03",17
"127","2007-07-05",17.25
"128","2007-07-06",17.59
"129","2007-07-09",17.73
"130","2007-07-10",17.940001
"131","2007-07-11",18.02
