"","date","CRVS"
"1","2016-03-23",14.25
"2","2016-03-24",14.25
"3","2016-03-28",13.8
"4","2016-03-29",14.53
"5","2016-03-30",14.76
"6","2016-03-31",14.5
"7","2016-04-01",14.25
"8","2016-04-04",14.4
"9","2016-04-05",14.75
"10","2016-04-06",14.91
"11","2016-04-07",14.75
"12","2016-04-08",14.75
"13","2016-04-11",14.52
"14","2016-04-12",14.76
"15","2016-04-13",15.01
"16","2016-04-14",15.32
"17","2016-04-15",15.61
"18","2016-04-18",15.03
"19","2016-04-19",15.19
"20","2016-04-20",15
"21","2016-04-21",15.01
"22","2016-04-22",15.13
"23","2016-04-25",14.86
"24","2016-04-26",14.39
"25","2016-04-27",13.82
"26","2016-04-28",12.78
"27","2016-04-29",12.24
"28","2016-05-02",12.06
"29","2016-05-03",12.31
"30","2016-05-04",12.78
"31","2016-05-05",12.42
"32","2016-05-06",12.09
"33","2016-05-09",12.46
"34","2016-05-10",12.39
"35","2016-05-11",10.76
"36","2016-05-12",10.11
"37","2016-05-13",10.66
"38","2016-05-16",11.65
"39","2016-05-17",11.3
"40","2016-05-18",11.62
"41","2016-05-19",12.66
"42","2016-05-20",14.03
"43","2016-05-23",14.36
"44","2016-05-24",14.19
"45","2016-05-25",14.21
"46","2016-05-26",14.31
"47","2016-05-27",14.41
"48","2016-05-31",14.05
"49","2016-06-01",14.32
"50","2016-06-02",14.33
"51","2016-06-03",14.49
"52","2016-06-06",14.24
"53","2016-06-07",13.54
"54","2016-06-08",13.34
"55","2016-06-09",12.99
"56","2016-06-10",12.83
"57","2016-06-13",12.7
"58","2016-06-14",11.86
"59","2016-06-15",11.85
"60","2016-06-16",12.08
"61","2016-06-17",12.39
"62","2016-06-20",12.87
"63","2016-06-21",13.16
"64","2016-06-22",13.41
"65","2016-06-23",13.46
"66","2016-06-24",13.29
"67","2016-06-27",13.35
"68","2016-06-28",13.96
"69","2016-06-29",14.44
"70","2016-06-30",14.26
"71","2016-07-01",14.42
"72","2016-07-05",14.35
"73","2016-07-06",14.14
"74","2016-07-07",14.97
"75","2016-07-08",14.65
"76","2016-07-11",14.73
"77","2016-07-12",15.03
"78","2016-07-13",14.41
"79","2016-07-14",14.31
"80","2016-07-15",14.04
"81","2016-07-18",14.37
"82","2016-07-19",14.2
"83","2016-07-20",14.08
