"","date","OC"
"1","2007-01-03",29.09
"2","2007-01-04",28.120001
"3","2007-01-05",27.32
"4","2007-01-08",27.15
"5","2007-01-09",27
"6","2007-01-10",26.950001
"7","2007-01-11",27.110001
"8","2007-01-12",27.389999
"9","2007-01-16",27.5
"10","2007-01-17",28.27
"11","2007-01-18",28.33
"12","2007-01-19",28.540001
"13","2007-01-22",28.57
"14","2007-01-23",28.74
"15","2007-01-24",28.99
"16","2007-01-25",29
"17","2007-01-26",29.15
"18","2007-01-29",28.700001
"19","2007-01-30",28.5
"20","2007-01-31",28.639999
"21","2007-02-01",28.700001
"22","2007-02-02",28.85
"23","2007-02-05",28.99
"24","2007-02-06",29.27
"25","2007-02-07",30.02
"26","2007-02-08",29.77
"27","2007-02-09",29.77
"28","2007-02-12",30.040001
"29","2007-02-13",30.030001
"30","2007-02-14",30.1
"31","2007-02-15",31.799999
"32","2007-02-16",31.5
"33","2007-02-20",31.610001
"34","2007-02-21",33.110001
"35","2007-02-22",32.450001
"36","2007-02-23",31.790001
"37","2007-02-26",32.889999
"38","2007-02-27",32.029999
"39","2007-02-28",32.009998
"40","2007-03-01",31.709999
"41","2007-03-02",30.35
"42","2007-03-05",29.58
"43","2007-03-06",30.01
"44","2007-03-07",29.799999
"45","2007-03-08",31.049999
"46","2007-03-09",31.379999
"47","2007-03-12",31.35
"48","2007-03-13",30.25
"49","2007-03-14",29.790001
"50","2007-03-15",29.9
"51","2007-03-16",31.15
"52","2007-03-19",31.25
"53","2007-03-20",31.540001
"54","2007-03-21",31.799999
"55","2007-03-22",32
"56","2007-03-23",32.34
"57","2007-03-26",31.889999
"58","2007-03-27",31.870001
"59","2007-03-28",31.51
"60","2007-03-29",31.76
"61","2007-03-30",31.860001
"62","2007-04-02",31.799999
"63","2007-04-03",31.780001
"64","2007-04-04",31.65
"65","2007-04-05",32
"66","2007-04-09",32.52
"67","2007-04-10",33
"68","2007-04-11",33.049999
"69","2007-04-12",33.330002
"70","2007-04-13",33.529999
"71","2007-04-16",33.490002
"72","2007-04-17",33.470001
"73","2007-04-18",33.43
"74","2007-04-19",32.68
"75","2007-04-20",33.080002
"76","2007-04-23",32.959999
"77","2007-04-24",32.330002
"78","2007-04-25",32.150002
"79","2007-04-26",32
"80","2007-04-27",31.52
"81","2007-04-30",30.65
"82","2007-05-01",31.780001
"83","2007-05-02",32.299999
"84","2007-05-03",32.549999
"85","2007-05-04",31.99
"86","2007-05-07",31.700001
"87","2007-05-08",31.57
"88","2007-05-09",31.540001
"89","2007-05-10",31.690001
"90","2007-05-11",32.200001
"91","2007-05-14",33.400002
"92","2007-05-15",33.889999
"93","2007-05-16",34
"94","2007-05-17",34.099998
"95","2007-05-18",33.299999
"96","2007-05-21",34.5
"97","2007-05-22",34.950001
"98","2007-05-23",35.540001
"99","2007-05-24",35.389999
"100","2007-05-25",35.43
"101","2007-05-29",35.799999
"102","2007-05-30",36.009998
"103","2007-05-31",35.900002
"104","2007-06-01",35.799999
"105","2007-06-04",36.060001
"106","2007-06-05",35.900002
"107","2007-06-06",35.52
"108","2007-06-07",34.91
"109","2007-06-08",35.5
"110","2007-06-11",35.66
"111","2007-06-12",34.700001
"112","2007-06-13",34.990002
"113","2007-06-14",35.18
"114","2007-06-15",35.360001
"115","2007-06-18",35.130001
"116","2007-06-19",34.860001
"117","2007-06-20",34.060001
"118","2007-06-21",33.889999
"119","2007-06-22",34.5
"120","2007-06-25",34.700001
"121","2007-06-26",34.240002
"122","2007-06-27",34.259998
"123","2007-06-28",34
"124","2007-06-29",33.630001
"125","2007-07-02",33.439999
"126","2007-07-03",33.34
"127","2007-07-05",33.209999
"128","2007-07-06",33.509998
"129","2007-07-09",33.5
"130","2007-07-10",32.799999
"131","2007-07-11",32.18
"132","2007-07-12",32.400002
"133","2007-07-13",32
"134","2007-07-16",32.490002
"135","2007-07-17",32.59
"136","2007-07-18",32.669998
"137","2007-07-19",33.23
"138","2007-07-20",33
"139","2007-07-23",33.18
"140","2007-07-24",32.110001
"141","2007-07-25",31.620001
"142","2007-07-26",30.99
"143","2007-07-27",30.51
"144","2007-07-30",30.799999
"145","2007-07-31",30.43
"146","2007-08-01",30.120001
"147","2007-08-02",30.9
"148","2007-08-03",29.77
"149","2007-08-06",28.700001
"150","2007-08-07",28.68
"151","2007-08-08",28.959999
"152","2007-08-09",27.82
"153","2007-08-10",27.43
"154","2007-08-13",27.43
"155","2007-08-14",26.99
"156","2007-08-15",26.25
"157","2007-08-16",25.049999
"158","2007-08-17",24.799999
"159","2007-08-20",24.93
"160","2007-08-21",25.15
"161","2007-08-22",26.08
"162","2007-08-23",25.17
"163","2007-08-24",25.27
"164","2007-08-27",25.280001
"165","2007-08-28",24.5
"166","2007-08-29",25.549999
"167","2007-08-30",25.059999
"168","2007-08-31",24.959999
"169","2007-09-04",24.83
"170","2007-09-05",24.59
"171","2007-09-06",24.75
"172","2007-09-07",24.59
"173","2007-09-10",24.469999
"174","2007-09-11",24.74
"175","2007-09-12",25.32
"176","2007-09-13",26.52
"177","2007-09-14",26.540001
"178","2007-09-17",26.35
"179","2007-09-18",27.200001
"180","2007-09-19",26.59
"181","2007-09-20",26.16
"182","2007-09-21",26.049999
"183","2007-09-24",26.120001
"184","2007-09-25",25.139999
"185","2007-09-26",25.85
"186","2007-09-27",25.4
"187","2007-09-28",25.049999
"188","2007-10-01",24.809999
"189","2007-10-02",26.040001
"190","2007-10-03",26.23
"191","2007-10-04",26.440001
"192","2007-10-05",26.75
"193","2007-10-08",26.41
"194","2007-10-09",26.48
"195","2007-10-10",26
"196","2007-10-11",25.35
"197","2007-10-12",25.23
"198","2007-10-15",24.940001
"199","2007-10-16",24.690001
"200","2007-10-17",24.59
"201","2007-10-18",24.469999
"202","2007-10-19",23.83
"203","2007-10-22",23.77
"204","2007-10-23",24.18
