"","date","AEP"
"1","2007-01-03",42.849998
"2","2007-01-04",42.84
"3","2007-01-05",42.040001
"4","2007-01-08",42.009998
"5","2007-01-09",42.41
"6","2007-01-10",42.330002
"7","2007-01-11",42.720001
"8","2007-01-12",41.860001
"9","2007-01-16",42.110001
"10","2007-01-17",42.07
"11","2007-01-18",41.93
"12","2007-01-19",41.939999
"13","2007-01-22",42.25
"14","2007-01-23",42.610001
"15","2007-01-24",43.110001
"16","2007-01-25",42.950001
"17","2007-01-26",43.259998
"18","2007-01-29",43.369999
"19","2007-01-30",43.759998
"20","2007-01-31",43.529999
"21","2007-02-01",43.700001
"22","2007-02-02",44.259998
"23","2007-02-05",44.66
"24","2007-02-06",45.049999
"25","2007-02-07",45
"26","2007-02-08",45.299999
"27","2007-02-09",45.450001
"28","2007-02-12",45.669998
"29","2007-02-13",45.779999
"30","2007-02-14",45.950001
"31","2007-02-15",45.709999
"32","2007-02-16",45.889999
"33","2007-02-20",45.950001
"34","2007-02-21",45.700001
"35","2007-02-22",45.52
"36","2007-02-23",45.75
"37","2007-02-26",46.220001
"38","2007-02-27",44.970001
"39","2007-02-28",44.900002
"40","2007-03-01",45.470001
"41","2007-03-02",44.869999
"42","2007-03-05",44.299999
"43","2007-03-06",45.330002
"44","2007-03-07",45.169998
"45","2007-03-08",45.139999
"46","2007-03-09",45.150002
"47","2007-03-12",46.119999
"48","2007-03-13",45.27
"49","2007-03-14",45.610001
"50","2007-03-15",46.349998
"51","2007-03-16",45.970001
"52","2007-03-19",46.400002
"53","2007-03-20",47.259998
"54","2007-03-21",48.040001
"55","2007-03-22",48.380001
"56","2007-03-23",49.16
"57","2007-03-26",49.299999
"58","2007-03-27",48.93
"59","2007-03-28",48.830002
"60","2007-03-29",49.029999
"61","2007-03-30",48.75
"62","2007-04-02",49.810001
"63","2007-04-03",49.389999
"64","2007-04-04",48.799999
"65","2007-04-05",48.84
"66","2007-04-09",49.57
"67","2007-04-10",49.380001
"68","2007-04-11",48.77
"69","2007-04-12",48.599998
"70","2007-04-13",48.66
"71","2007-04-16",49.040001
"72","2007-04-17",49.490002
"73","2007-04-18",49.77
"74","2007-04-19",49.880001
"75","2007-04-20",50.34
"76","2007-04-23",50.599998
"77","2007-04-24",50.950001
"78","2007-04-25",50.709999
"79","2007-04-26",50.25
"80","2007-04-27",50.349998
"81","2007-04-30",50.220001
"82","2007-05-01",50.66
"83","2007-05-02",50.619999
"84","2007-05-03",50.630001
"85","2007-05-04",50.400002
