"","date","GPC"
"1","2007-01-03",47.549999
"2","2007-01-04",47.369999
"3","2007-01-05",46.860001
"4","2007-01-08",46.75
"5","2007-01-09",47.150002
"6","2007-01-10",47.290001
"7","2007-01-11",47.57
"8","2007-01-12",47.950001
"9","2007-01-16",48.380001
"10","2007-01-17",48.25
"11","2007-01-18",47.900002
"12","2007-01-19",47.5
"13","2007-01-22",47.48
"14","2007-01-23",47.369999
"15","2007-01-24",47.490002
"16","2007-01-25",46.68
"17","2007-01-26",46.369999
"18","2007-01-29",46.439999
"19","2007-01-30",46.700001
"20","2007-01-31",47.52
"21","2007-02-01",48.09
"22","2007-02-02",48.189999
"23","2007-02-05",48.25
"24","2007-02-06",48.650002
"25","2007-02-07",49.139999
"26","2007-02-08",48.869999
"27","2007-02-09",48.959999
"28","2007-02-12",48.82
"29","2007-02-13",49.200001
"30","2007-02-14",49.459999
"31","2007-02-15",49.509998
"32","2007-02-16",49.77
"33","2007-02-20",49.75
"34","2007-02-21",50.09
"35","2007-02-22",50.439999
"36","2007-02-23",50.560001
"37","2007-02-26",50.169998
"38","2007-02-27",48.330002
"39","2007-02-28",48.73
"40","2007-03-01",48.509998
"41","2007-03-02",48.209999
"42","2007-03-05",48.049999
"43","2007-03-06",48.459999
"44","2007-03-07",48.25
"45","2007-03-08",48.630001
"46","2007-03-09",48.669998
"47","2007-03-12",48.810001
"48","2007-03-13",48.23
"49","2007-03-14",48.529999
"50","2007-03-15",48.720001
"51","2007-03-16",48.419998
"52","2007-03-19",49.060001
"53","2007-03-20",49.52
"54","2007-03-21",49.900002
"55","2007-03-22",49.560001
"56","2007-03-23",49.68
"57","2007-03-26",49.68
"58","2007-03-27",49.16
"59","2007-03-28",48.59
"60","2007-03-29",48.75
"61","2007-03-30",49
"62","2007-04-02",49.290001
"63","2007-04-03",49.889999
"64","2007-04-04",49.68
"65","2007-04-05",49.619999
"66","2007-04-09",49.810001
"67","2007-04-10",49.82
"68","2007-04-11",49.07
"69","2007-04-12",49.25
"70","2007-04-13",49.150002
"71","2007-04-16",50
"72","2007-04-17",49.799999
"73","2007-04-18",49.889999
"74","2007-04-19",49.439999
"75","2007-04-20",49.860001
"76","2007-04-23",49.919998
"77","2007-04-24",49.880001
"78","2007-04-25",50.299999
"79","2007-04-26",50.299999
"80","2007-04-27",49.959999
"81","2007-04-30",49.41
"82","2007-05-01",49.599998
"83","2007-05-02",49.880001
"84","2007-05-03",49.869999
"85","2007-05-04",49.27
"86","2007-05-07",49.450001
"87","2007-05-08",49.400002
"88","2007-05-09",49.779999
"89","2007-05-10",49.299999
"90","2007-05-11",49.389999
