"","date","HIMX"
"1","2007-01-03",4.71
"2","2007-01-04",4.77
"3","2007-01-05",4.59
"4","2007-01-08",4.58
"5","2007-01-09",4.67
"6","2007-01-10",4.61
"7","2007-01-11",4.69
"8","2007-01-12",4.66
"9","2007-01-16",5
"10","2007-01-17",5.15
"11","2007-01-18",5.2
"12","2007-01-19",5.12
"13","2007-01-22",5.14
"14","2007-01-23",4.97
"15","2007-01-24",5.1
"16","2007-01-25",5.1
"17","2007-01-26",5.19
"18","2007-01-29",5.19
"19","2007-01-30",5.17
"20","2007-01-31",5.08
"21","2007-02-01",5.08
"22","2007-02-02",5.25
"23","2007-02-05",5.2
"24","2007-02-06",5.04
"25","2007-02-07",5.05
"26","2007-02-08",4.9
"27","2007-02-09",4.89
"28","2007-02-12",4.81
"29","2007-02-13",5.47
"30","2007-02-14",5.83
"31","2007-02-15",5.7
"32","2007-02-16",5.64
"33","2007-02-20",5.8
"34","2007-02-21",6.05
"35","2007-02-22",5.96
"36","2007-02-23",5.98
"37","2007-02-26",6.06
"38","2007-02-27",5.65
"39","2007-02-28",5.72
"40","2007-03-01",5.33
"41","2007-03-02",5.35
"42","2007-03-05",5.22
"43","2007-03-06",5.17
"44","2007-03-07",5.1
"45","2007-03-08",5.28
"46","2007-03-09",5.25
"47","2007-03-12",5.3
"48","2007-03-13",5.32
"49","2007-03-14",5.27
"50","2007-03-15",5.29
"51","2007-03-16",5.29
"52","2007-03-19",5.21
"53","2007-03-20",5.18
"54","2007-03-21",5.13
"55","2007-03-22",5.11
"56","2007-03-23",5.04
"57","2007-03-26",5.17
"58","2007-03-27",5.05
"59","2007-03-28",5.02
"60","2007-03-29",5.03
"61","2007-03-30",5.36
"62","2007-04-02",5.39
"63","2007-04-03",5.49
"64","2007-04-04",5.4
"65","2007-04-05",5.38
"66","2007-04-09",5.25
"67","2007-04-10",5.51
"68","2007-04-11",5.8
"69","2007-04-12",5.75
"70","2007-04-13",5.74
"71","2007-04-16",5.66
"72","2007-04-17",5.7
"73","2007-04-18",5.58
"74","2007-04-19",5.64
"75","2007-04-20",5.71
"76","2007-04-23",5.99
"77","2007-04-24",5.86
"78","2007-04-25",5.99
"79","2007-04-26",6.03
"80","2007-04-27",6.01
"81","2007-04-30",5.87
"82","2007-05-01",5.79
"83","2007-05-02",5.76
"84","2007-05-03",5.78
"85","2007-05-04",5.99
"86","2007-05-07",5.95
"87","2007-05-08",5.9
"88","2007-05-09",5.96
"89","2007-05-10",5.65
"90","2007-05-11",5.46
"91","2007-05-14",5.28
"92","2007-05-15",5.05
"93","2007-05-16",5.12
"94","2007-05-17",5.24
"95","2007-05-18",5.15
"96","2007-05-21",5.26
"97","2007-05-22",5.34
"98","2007-05-23",5.13
"99","2007-05-24",5.03
"100","2007-05-25",5.14
"101","2007-05-29",5.17
"102","2007-05-30",5.05
"103","2007-05-31",5.06
"104","2007-06-01",5.03
"105","2007-06-04",4.97
"106","2007-06-05",5
"107","2007-06-06",5.13
"108","2007-06-07",5.16
"109","2007-06-08",5.28
"110","2007-06-11",5.61
"111","2007-06-12",5.74
"112","2007-06-13",5.82
"113","2007-06-14",5.65
"114","2007-06-15",5.78
"115","2007-06-18",5.86
"116","2007-06-19",5.8
"117","2007-06-20",5.74
"118","2007-06-21",5.83
"119","2007-06-22",5.8
"120","2007-06-25",5.74
"121","2007-06-26",5.74
"122","2007-06-27",5.73
"123","2007-06-28",5.77
"124","2007-06-29",5.77
"125","2007-07-02",5.59
"126","2007-07-03",5.51
"127","2007-07-05",5.49
"128","2007-07-06",5.47
"129","2007-07-09",5.69
"130","2007-07-10",5.65
"131","2007-07-11",5.54
"132","2007-07-12",5.53
"133","2007-07-13",5.54
"134","2007-07-16",5.45
"135","2007-07-17",5.36
"136","2007-07-18",5.25
"137","2007-07-19",5.27
"138","2007-07-20",5.44
"139","2007-07-23",5.24
"140","2007-07-24",5.25
"141","2007-07-25",5.25
"142","2007-07-26",5.04
"143","2007-07-27",5.13
"144","2007-07-30",5.09
"145","2007-07-31",5.11
"146","2007-08-01",4.9
"147","2007-08-02",4.73
"148","2007-08-03",4.76
"149","2007-08-06",4.96
"150","2007-08-07",5.11
"151","2007-08-08",5.13
"152","2007-08-09",4.98
"153","2007-08-10",4.95
"154","2007-08-13",5.08
"155","2007-08-14",5.07
"156","2007-08-15",5
"157","2007-08-16",4.71
"158","2007-08-17",4.62
"159","2007-08-20",4.53
"160","2007-08-21",4.4
"161","2007-08-22",4.4
"162","2007-08-23",4.3
"163","2007-08-24",4.38
"164","2007-08-27",4.48
"165","2007-08-28",4.44
"166","2007-08-29",4.45
"167","2007-08-30",4.37
"168","2007-08-31",4.39
"169","2007-09-04",4.35
"170","2007-09-05",4.26
"171","2007-09-06",4.28
"172","2007-09-07",4.18
"173","2007-09-10",3.9
"174","2007-09-11",3.77
"175","2007-09-12",4.18
"176","2007-09-13",4.12
"177","2007-09-14",4.08
"178","2007-09-17",4.02
"179","2007-09-18",4.07
"180","2007-09-19",4.03
"181","2007-09-20",3.9
"182","2007-09-21",3.84
"183","2007-09-24",3.8
"184","2007-09-25",3.79
"185","2007-09-26",3.95
"186","2007-09-27",4.04
"187","2007-09-28",4.06
"188","2007-10-01",4.1
"189","2007-10-02",4.14
"190","2007-10-03",4.07
"191","2007-10-04",4.03
"192","2007-10-05",4.08
"193","2007-10-08",4.14
"194","2007-10-09",4.1
"195","2007-10-10",4.12
"196","2007-10-11",4.1
"197","2007-10-12",4.15
"198","2007-10-15",4.11
"199","2007-10-16",4.14
"200","2007-10-17",3.99
"201","2007-10-18",3.88
"202","2007-10-19",3.94
"203","2007-10-22",3.99
"204","2007-10-23",3.95
"205","2007-10-24",3.86
"206","2007-10-25",3.82
"207","2007-10-26",3.8
"208","2007-10-29",3.79
"209","2007-10-30",3.82
"210","2007-10-31",3.8
"211","2007-11-01",3.87
"212","2007-11-02",4.12
"213","2007-11-05",4.36
"214","2007-11-06",4.34
"215","2007-11-07",4.35
"216","2007-11-08",4.29
"217","2007-11-09",4.32
"218","2007-11-12",4.45
"219","2007-11-13",4.35
"220","2007-11-14",4.33
"221","2007-11-15",4.39
"222","2007-11-16",4.44
"223","2007-11-19",4.45
"224","2007-11-20",4.47
"225","2007-11-21",4.37
"226","2007-11-23",4.35
"227","2007-11-26",4.26
"228","2007-11-27",4.12
"229","2007-11-28",4.25
"230","2007-11-29",4.28
"231","2007-11-30",4.38
"232","2007-12-03",4.38
"233","2007-12-04",4.36
"234","2007-12-05",4.45
"235","2007-12-06",4.36
"236","2007-12-07",4.41
"237","2007-12-10",4.42
"238","2007-12-11",4.34
"239","2007-12-12",4.29
"240","2007-12-13",4.23
"241","2007-12-14",4.22
"242","2007-12-17",4.02
"243","2007-12-18",4.03
"244","2007-12-19",4.1
"245","2007-12-20",4.04
"246","2007-12-21",4.03
"247","2007-12-24",4.25
"248","2007-12-26",4.28
"249","2007-12-27",4.2
"250","2007-12-28",4.21
"251","2007-12-31",4.27
"252","2008-01-02",4.27
"253","2008-01-03",4.42
"254","2008-01-04",4.2
"255","2008-01-07",4.2
"256","2008-01-08",4.12
"257","2008-01-09",4.07
"258","2008-01-10",4.39
"259","2008-01-11",4.97
"260","2008-01-14",5.43
"261","2008-01-15",5.17
"262","2008-01-16",5.24
"263","2008-01-17",5.1
"264","2008-01-18",5.18
