"","date","FHI"
"1","2007-01-03",34.189999
"2","2007-01-04",34.290001
"3","2007-01-05",33.959999
"4","2007-01-08",34.07
"5","2007-01-09",34.040001
"6","2007-01-10",34.080002
"7","2007-01-11",34.400002
"8","2007-01-12",34.68
"9","2007-01-16",34.68
"10","2007-01-17",34.970001
"11","2007-01-18",34.779999
"12","2007-01-19",34.400002
"13","2007-01-22",34.52
"14","2007-01-23",34.299999
"15","2007-01-24",34.529999
"16","2007-01-25",33.389999
"17","2007-01-26",35.34
"18","2007-01-29",34.880001
"19","2007-01-30",35.299999
"20","2007-01-31",35.310001
"21","2007-02-01",35.509998
"22","2007-02-02",35.540001
"23","2007-02-05",35.549999
"24","2007-02-06",35.599998
"25","2007-02-07",35.700001
"26","2007-02-08",35.599998
"27","2007-02-09",35.34
"28","2007-02-12",35.150002
"29","2007-02-13",35.490002
"30","2007-02-14",35.900002
"31","2007-02-15",36.060001
"32","2007-02-16",36.150002
"33","2007-02-20",37
"34","2007-02-21",37.049999
"35","2007-02-22",36.75
"36","2007-02-23",37.25
"37","2007-02-26",36.880001
"38","2007-02-27",36.009998
"39","2007-02-28",35.77
"40","2007-03-01",36.139999
"41","2007-03-02",35.799999
"42","2007-03-05",35.200001
"43","2007-03-06",35.93
"44","2007-03-07",35.799999
"45","2007-03-08",35.98
"46","2007-03-09",36.040001
"47","2007-03-12",36.209999
"48","2007-03-13",35.009998
"49","2007-03-14",35.669998
"50","2007-03-15",35.93
"51","2007-03-16",35.779999
"52","2007-03-19",36.189999
"53","2007-03-20",36.439999
"54","2007-03-21",37.529999
"55","2007-03-22",37.360001
"56","2007-03-23",37.490002
"57","2007-03-26",37.360001
"58","2007-03-27",37.490002
"59","2007-03-28",36.66
"60","2007-03-29",36.779999
"61","2007-03-30",36.720001
"62","2007-04-02",37
"63","2007-04-03",37.59
"64","2007-04-04",37.599998
"65","2007-04-05",37.16
"66","2007-04-09",37.080002
"67","2007-04-10",36.970001
"68","2007-04-11",36.98
"69","2007-04-12",37.099998
