"","date","NAT"
"1","2007-01-03",33.176403
"2","2007-01-04",33.019863
"3","2007-01-05",32.286091
"4","2007-01-08",32.442627
"5","2007-01-09",32.031715
"6","2007-01-10",32.129551
"7","2007-01-11",31.99258
"8","2007-01-12",32.452412
"9","2007-01-16",32.638302
"10","2007-01-17",33.068783
"11","2007-01-18",32.922028
"12","2007-01-19",33.215538
"13","2007-01-22",33.362293
"14","2007-01-23",33.96888
"15","2007-01-24",33.802559
"16","2007-01-25",33.655804
"17","2007-01-26",33.910179
"18","2007-01-29",34.428711
"19","2007-01-30",34.947247
"20","2007-01-31",34.663521
"21","2007-02-01",35.064651
"22","2007-02-02",35.230972
"23","2007-02-05",35.602753
"24","2007-02-06",35.573402
"25","2007-02-07",36.140854
"26","2007-02-08",36.062584
"27","2007-02-09",36.297394
"28","2007-02-12",36.336525
"29","2007-02-13",36.71809
"30","2007-02-14",34.673306
"31","2007-02-15",35.221188
"32","2007-02-16",35.710373
"33","2007-02-20",35.005947
"34","2007-02-21",34.242825
"35","2007-02-22",34.585251
"36","2007-02-23",33.949314
"37","2007-02-26",32.755707
"38","2007-02-27",31.963228
"39","2007-02-28",32.305656
"40","2007-03-01",32.511116
"41","2007-03-02",32.608952
"42","2007-03-05",31.601234
"43","2007-03-06",32.266521
"44","2007-03-07",32.648087
"45","2007-03-08",33.235104
"46","2007-03-09",33.362293
"47","2007-03-12",33.616669
"48","2007-03-13",32.843758
"49","2007-03-14",32.755707
"50","2007-03-15",32.755707
"51","2007-03-16",33.058998
"52","2007-03-19",33.430779
"53","2007-03-20",33.636234
"54","2007-03-21",34.15477
"55","2007-03-22",34.272175
"56","2007-03-23",34.115635
"57","2007-03-26",35.299458
"58","2007-03-27",34.957031
"59","2007-03-28",35.416862
"60","2007-03-29",35.641888
"61","2007-03-30",35.465782
"62","2007-04-02",35.367943
"63","2007-04-03",35.221188
"64","2007-04-04",35.387512
"65","2007-04-05",35.338593
"66","2007-04-09",35.455997
"67","2007-04-10",35.514698
"68","2007-04-11",35.348377
"69","2007-04-12",35.201622
"70","2007-04-13",35.387512
"71","2007-04-16",35.573402
"72","2007-04-17",36.463715
"73","2007-04-18",36.913761
"74","2007-04-19",36.76701
"75","2007-04-20",36.933331
"76","2007-04-23",36.933331
"77","2007-04-24",37.099651
"78","2007-04-25",37.265976
"79","2007-04-26",37.295326
"80","2007-04-27",37.627972
"81","2007-04-30",37.686672
"82","2007-05-01",37.422512
"83","2007-05-02",36.493065
"84","2007-05-03",37.226841
"85","2007-05-04",37.314892
"86","2007-05-07",37.412731
"87","2007-05-08",37.960613
