"","date","ASC"
"1","2013-08-01",13.5
"2","2013-08-02",13.75
"3","2013-08-05",13.75
"4","2013-08-06",13.84
"5","2013-08-07",13.75
"6","2013-08-08",13.75
"7","2013-08-09",13.8
"8","2013-08-12",13.8
"9","2013-08-13",13.92
"10","2013-08-14",13.85
"11","2013-08-15",13.97
"12","2013-08-16",13.95
"13","2013-08-19",13.84
"14","2013-08-20",13.85
"15","2013-08-21",13.85
"16","2013-08-22",14
"17","2013-08-23",13.71
"18","2013-08-26",13.78
"19","2013-08-27",13.82
"20","2013-08-28",13.88
"21","2013-08-29",13.74
"22","2013-08-30",13.66
"23","2013-09-03",13.51
"24","2013-09-04",13.46
"25","2013-09-05",13.51
"26","2013-09-06",13.41
"27","2013-09-09",13.4
"28","2013-09-10",13.5
"29","2013-09-11",13.59
"30","2013-09-12",13.58
"31","2013-09-13",13.55
"32","2013-09-16",13.48
"33","2013-09-17",13.29
"34","2013-09-18",12.9
"35","2013-09-19",12.65
"36","2013-09-20",12.51
"37","2013-09-23",12.55
"38","2013-09-24",12.45
"39","2013-09-25",12.15
"40","2013-09-26",12.08
"41","2013-09-27",12.1
"42","2013-09-30",12.14
"43","2013-10-01",12.45
"44","2013-10-02",12.26
"45","2013-10-03",12.05
"46","2013-10-04",12.09
"47","2013-10-07",11.95
"48","2013-10-08",11.69
"49","2013-10-09",12.01
"50","2013-10-10",12.9
"51","2013-10-11",12.74
"52","2013-10-14",12.97
"53","2013-10-15",12.99
"54","2013-10-16",13
"55","2013-10-17",13
"56","2013-10-18",13.33
"57","2013-10-21",13.23
"58","2013-10-22",13.3
"59","2013-10-23",13.19
"60","2013-10-24",13.17
"61","2013-10-25",13.11
"62","2013-10-28",13.16
"63","2013-10-29",13.39
"64","2013-10-30",13.1
"65","2013-10-31",13.08
"66","2013-11-01",13.17
"67","2013-11-04",13.29
"68","2013-11-05",13.2
"69","2013-11-06",13.12
"70","2013-11-07",13.16
"71","2013-11-08",13.35
"72","2013-11-11",13.25
"73","2013-11-12",13.34
"74","2013-11-13",13.26
"75","2013-11-14",13
"76","2013-11-15",13.13
"77","2013-11-18",13.07
"78","2013-11-19",13.1
"79","2013-11-20",12.96
"80","2013-11-21",12.82
"81","2013-11-22",12.74
"82","2013-11-25",12.75
"83","2013-11-26",12.67
"84","2013-11-27",12.63
"85","2013-11-29",12.79
"86","2013-12-02",12.21
"87","2013-12-03",12.39
"88","2013-12-04",12.52
"89","2013-12-05",12.45
"90","2013-12-06",12.42
"91","2013-12-09",12.46
"92","2013-12-10",12.72
"93","2013-12-11",13.05
"94","2013-12-12",13
"95","2013-12-13",13.18
"96","2013-12-16",13.05
"97","2013-12-17",13.15
"98","2013-12-18",13.84
"99","2013-12-19",14.25
"100","2013-12-20",14.29
"101","2013-12-23",14.73
"102","2013-12-24",14.75
"103","2013-12-26",15.33
"104","2013-12-27",15.32
"105","2013-12-30",15.16
"106","2013-12-31",15.56
"107","2014-01-02",15.16
"108","2014-01-03",15.01
"109","2014-01-06",14.94
"110","2014-01-07",14.85
"111","2014-01-08",14.75
"112","2014-01-09",14.48
"113","2014-01-10",14.44
"114","2014-01-13",14.27
"115","2014-01-14",14.19
"116","2014-01-15",14.63
"117","2014-01-16",14.6
"118","2014-01-17",14.75
"119","2014-01-21",14.7
"120","2014-01-22",14.89
"121","2014-01-23",14.8
"122","2014-01-24",14.4
"123","2014-01-27",14.15
"124","2014-01-28",14.43
"125","2014-01-29",14.33
"126","2014-01-30",14.3
"127","2014-01-31",14.76
"128","2014-02-03",14.58
"129","2014-02-04",14.39
"130","2014-02-05",14
"131","2014-02-06",14
"132","2014-02-07",14.17
"133","2014-02-10",14.13
"134","2014-02-11",14.02
"135","2014-02-12",13.96
"136","2014-02-13",13.97
"137","2014-02-14",13.97
"138","2014-02-18",13.87
"139","2014-02-19",13.4
