"","date","RGLS"
"1","2012-10-09",52.560001
"2","2012-10-10",49.799999
"3","2012-10-11",49.799999
"4","2012-10-12",50.880001
"5","2012-10-15",50.880001
"6","2012-10-16",50.400002
"7","2012-10-17",50.279999
"8","2012-10-18",53.52
"9","2012-10-19",56.639999
"10","2012-10-22",57.599998
"11","2012-10-23",58.080002
"12","2012-10-24",61.439999
"13","2012-10-25",61.68
"14","2012-10-26",61.32
"15","2012-10-31",57.360001
"16","2012-11-01",59.880001
"17","2012-11-02",57.119999
"18","2012-11-05",60.360001
"19","2012-11-06",60
"20","2012-11-07",59.639999
"21","2012-11-08",57
"22","2012-11-09",58.919998
"23","2012-11-12",58.799999
"24","2012-11-13",56.400002
"25","2012-11-14",58.439999
"26","2012-11-15",56.880001
"27","2012-11-16",56.279999
"28","2012-11-19",55.68
"29","2012-11-20",52.200001
"30","2012-11-21",54.119999
"31","2012-11-23",57.48
"32","2012-11-26",56.400002
"33","2012-11-27",56.880001
"34","2012-11-28",52.080002
"35","2012-11-29",57
"36","2012-11-30",57
"37","2012-12-03",57.720001
"38","2012-12-04",56.279999
"39","2012-12-05",55.200001
"40","2012-12-06",56.400002
"41","2012-12-07",53.639999
"42","2012-12-10",55.68
"43","2012-12-11",53.279999
"44","2012-12-12",55.200001
"45","2012-12-13",55.200001
"46","2012-12-14",51.959999
"47","2012-12-17",54.240002
"48","2012-12-18",59.400002
"49","2012-12-19",61.799999
"50","2012-12-20",62.400002
"51","2012-12-21",62.400002
"52","2012-12-24",61.799999
"53","2012-12-26",62.16
"54","2012-12-27",68.639999
"55","2012-12-28",72
"56","2012-12-31",75.599998
"57","2013-01-02",76.68
"58","2013-01-03",75.239998
"59","2013-01-04",71.519997
"60","2013-01-07",70.919998
"61","2013-01-08",72.720001
"62","2013-01-09",71.879997
"63","2013-01-10",68.160004
"64","2013-01-11",61.919998
"65","2013-01-14",56.759998
"66","2013-01-15",58.200001
"67","2013-01-16",60.720001
"68","2013-01-17",63.48
"69","2013-01-18",64.68
"70","2013-01-22",66.839996
"71","2013-01-23",69.599998
"72","2013-01-24",70.440002
"73","2013-01-25",69
"74","2013-01-28",68.879997
"75","2013-01-29",70.080002
"76","2013-01-30",71.760002
"77","2013-01-31",72.120003
"78","2013-02-01",71.879997
