"","date","SXTC"
"1","2019-01-04",5.74
"2","2019-01-07",6.11
"3","2019-01-08",6.51
"4","2019-01-09",11.95
"5","2019-01-10",7.75
"6","2019-01-11",6.2
"7","2019-01-14",5.55
"8","2019-01-15",5
"9","2019-01-16",4.76
"10","2019-01-17",5
"11","2019-01-18",4.7
"12","2019-01-22",4.37
"13","2019-01-23",3.94
"14","2019-01-24",3.88
"15","2019-01-25",3.796
"16","2019-01-28",3.79
"17","2019-01-29",4.2
"18","2019-01-30",6.04
"19","2019-01-31",7.11
"20","2019-02-01",6.66
"21","2019-02-04",5.76
"22","2019-02-05",6.26
"23","2019-02-06",5.92
"24","2019-02-07",5.88
"25","2019-02-08",5.71
"26","2019-02-11",5.81
"27","2019-02-12",5.61
"28","2019-02-13",5.35
"29","2019-02-14",5.24
"30","2019-02-15",5.25
"31","2019-02-19",5.33
"32","2019-02-20",5.15
"33","2019-02-21",5.2
"34","2019-02-22",5.03
"35","2019-02-25",6.3
"36","2019-02-26",6.45
"37","2019-02-27",5.81
"38","2019-02-28",6.21
"39","2019-03-01",7.056
"40","2019-03-04",7.34
"41","2019-03-05",7.79
"42","2019-03-06",7.12
"43","2019-03-07",6.19
"44","2019-03-08",6.74
"45","2019-03-11",6.75
"46","2019-03-12",6.44
"47","2019-03-13",6.39
"48","2019-03-14",6.38
"49","2019-03-15",6.3
"50","2019-03-18",6.96
"51","2019-03-19",6.42
"52","2019-03-20",6.16
"53","2019-03-21",6.15
"54","2019-03-22",6.13
"55","2019-03-25",6.32
"56","2019-03-26",6.38
"57","2019-03-27",6.65
"58","2019-03-28",6.6
"59","2019-03-29",6.82
"60","2019-04-01",6.57
"61","2019-04-02",6.37
"62","2019-04-03",6.29
"63","2019-04-04",6.42
"64","2019-04-05",6.5
"65","2019-04-08",6.3
"66","2019-04-09",6.32
"67","2019-04-10",6.41
"68","2019-04-11",6.21
"69","2019-04-12",6.12
"70","2019-04-15",6.13
"71","2019-04-16",6.23
"72","2019-04-17",5.5
"73","2019-04-18",5.3
"74","2019-04-22",5.28
"75","2019-04-23",5.32
"76","2019-04-24",5.01
"77","2019-04-25",4.85
"78","2019-04-26",4.91
"79","2019-04-29",5.2
"80","2019-04-30",5.22
"81","2019-05-01",4.71
"82","2019-05-02",4.77
"83","2019-05-03",4.84
"84","2019-05-06",4.95
"85","2019-05-07",4.85
"86","2019-05-08",4.82
"87","2019-05-09",4.52
"88","2019-05-10",4.51
"89","2019-05-13",4.24
"90","2019-05-14",4.05
"91","2019-05-15",4.31
"92","2019-05-16",4.17
"93","2019-05-17",4.38
"94","2019-05-20",4.01
"95","2019-05-21",4.12
"96","2019-05-22",4.115
"97","2019-05-23",3.96
"98","2019-05-24",4.12
