"","date","WHLR"
"1","2012-11-19",48
"2","2012-11-20",48.880001
"3","2012-11-21",48.959999
"4","2012-11-23",48
"5","2012-11-26",47.52
"6","2012-11-27",46.799999
"7","2012-11-28",48
"8","2012-11-29",47.832001
"9","2012-11-30",48
"10","2012-12-03",47.439999
"11","2012-12-04",48
"12","2012-12-05",46.880001
"13","2012-12-06",46.400002
"14","2012-12-07",47.751999
"15","2012-12-10",47.279999
"16","2012-12-11",47.52
"17","2012-12-12",46.799999
"18","2012-12-13",46.560001
"19","2012-12-14",46.639999
"20","2012-12-17",46.400002
"21","2012-12-18",46.400002
"22","2012-12-19",47.599998
"23","2012-12-20",47.200001
"24","2012-12-21",46.400002
"25","2012-12-24",46.48
"26","2012-12-26",46.48
"27","2012-12-27",47.200001
"28","2012-12-28",47.279999
"29","2012-12-31",49.279999
"30","2013-01-02",49.279999
"31","2013-01-03",48
"32","2013-01-04",47.84
"33","2013-01-07",48.240002
"34","2013-01-08",48
"35","2013-01-09",48.007999
"36","2013-01-10",47.84
"37","2013-01-11",48.400002
"38","2013-01-14",48.080002
"39","2013-01-15",48.080002
"40","2013-01-16",49.52
"41","2013-01-17",48.16
"42","2013-01-18",48.400002
"43","2013-01-22",48.240002
"44","2013-01-23",48.560001
"45","2013-01-24",48.32
"46","2013-01-25",48.400002
"47","2013-01-28",48.400002
"48","2013-01-29",48.48
"49","2013-01-30",48.639999
"50","2013-01-31",48.240002
"51","2013-02-01",48.400002
"52","2013-02-04",48.799999
"53","2013-02-05",48.560001
"54","2013-02-06",48.080002
"55","2013-02-07",48.16
"56","2013-02-08",48.16
"57","2013-02-11",48.32
"58","2013-02-12",48.48
"59","2013-02-13",48.400002
"60","2013-02-14",48.400002
"61","2013-02-15",48.799999
"62","2013-02-19",48.799999
"63","2013-02-20",48.639999
"64","2013-02-21",48.16
"65","2013-02-22",48.16
"66","2013-02-25",47.84
"67","2013-02-26",48
"68","2013-02-27",48.080002
"69","2013-02-28",48
"70","2013-03-01",48
"71","2013-03-04",48.080002
"72","2013-03-05",48.080002
"73","2013-03-06",48.400002
"74","2013-03-07",48.400002
"75","2013-03-08",48.16
"76","2013-03-11",48.16
"77","2013-03-12",48.560001
"78","2013-03-13",48.16
"79","2013-03-14",48.16
"80","2013-03-15",48
"81","2013-03-18",48.080002
"82","2013-03-19",48.080002
"83","2013-03-20",48.639999
"84","2013-03-21",48.104
"85","2013-03-22",48
"86","2013-03-25",48.080002
"87","2013-03-26",48
"88","2013-03-27",48.48
"89","2013-03-28",48
"90","2013-04-01",48.144001
"91","2013-04-02",48
"92","2013-04-03",48.080002
"93","2013-04-04",48.16
"94","2013-04-05",48.400002
"95","2013-04-08",48.560001
"96","2013-04-09",48.240002
"97","2013-04-10",48.080002
"98","2013-04-11",48.080002
