"","date","GB"
"1","2020-03-02",10.49
"2","2020-03-03",10.45
"3","2020-03-04",10.44
"4","2020-03-05",10.43
"5","2020-03-06",10.4
"6","2020-03-09",10.35
"7","2020-03-10",10.32
"8","2020-03-11",10.27
"9","2020-03-12",10.15
"10","2020-03-13",10.18
"11","2020-03-16",10.07
"12","2020-03-17",10.02
"13","2020-03-18",9.89
"14","2020-03-19",9.94
"15","2020-03-20",9.95
"16","2020-03-23",9.92
"17","2020-03-24",9.98
"18","2020-03-25",10.03
"19","2020-03-26",10.04
"20","2020-03-27",10.06
"21","2020-03-30",10.13
"22","2020-03-31",10.12
"23","2020-04-01",10.12
"24","2020-04-02",10.13
"25","2020-04-03",10.17
"26","2020-04-06",10.13
"27","2020-04-07",10.19
"28","2020-04-08",10.16
"29","2020-04-09",10.17
"30","2020-04-13",10.2
"31","2020-04-14",10.16
"32","2020-04-15",10.2
"33","2020-04-16",10.16
"34","2020-04-17",10.19
"35","2020-04-20",10.19
"36","2020-04-21",10.19
"37","2020-04-22",10.2
"38","2020-04-23",10.19
"39","2020-04-24",10.17
"40","2020-04-27",10.19
"41","2020-04-28",10.17
"42","2020-04-29",10.16
"43","2020-04-30",10.19
"44","2020-05-01",10.16
"45","2020-05-04",10.18
"46","2020-05-05",10.23
"47","2020-05-06",10.19
"48","2020-05-07",10.18
"49","2020-05-08",10.17
"50","2020-05-11",10.17
"51","2020-05-12",10.17
"52","2020-05-13",10.16
"53","2020-05-14",10.16
"54","2020-05-15",10.18
"55","2020-05-18",10.17
"56","2020-05-19",10.19
"57","2020-05-20",10.21
"58","2020-05-21",10.23
"59","2020-05-22",10.24
"60","2020-05-26",10.23
"61","2020-05-27",10.27
"62","2020-05-28",10.25
"63","2020-05-29",NA
"64","2020-06-01",NA
"65","2020-06-02",NA
"66","2020-06-03",NA
"67","2020-06-04",NA
"68","2020-06-05",NA
"69","2020-06-08",NA
"70","2020-06-09",NA
"71","2020-06-10",NA
"72","2020-06-11",NA
"73","2020-06-12",NA
"74","2020-06-15",NA
"75","2020-06-16",NA
"76","2020-06-17",NA
"77","2020-06-18",NA
"78","2020-06-19",NA
"79","2020-06-22",NA
"80","2020-06-23",NA
"81","2020-06-24",NA
"82","2020-06-25",NA
"83","2020-06-26",NA
"84","2020-06-29",NA
"85","2020-06-30",NA
"86","2020-07-01",NA
"87","2020-07-02",NA
"88","2020-07-06",NA
"89","2020-07-07",NA
"90","2020-07-08",NA
"91","2020-07-09",NA
"92","2020-07-10",NA
"93","2020-07-13",NA
"94","2020-07-14",NA
"95","2020-07-15",NA
"96","2020-07-16",NA
"97","2020-07-17",NA
"98","2020-07-20",NA
"99","2020-07-21",NA
"100","2020-07-22",NA
"101","2020-07-23",NA
"102","2020-07-24",NA
"103","2020-07-27",NA
"104","2020-07-28",NA
"105","2020-07-29",NA
"106","2020-07-30",NA
"107","2020-07-31",NA
"108","2020-08-03",NA
"109","2020-08-04",NA
"110","2020-08-05",NA
"111","2020-08-06",NA
"112","2020-08-07",NA
"113","2020-08-10",NA
"114","2020-08-11",NA
"115","2020-08-12",NA
"116","2020-08-13",NA
"117","2020-08-14",NA
"118","2020-08-17",NA
"119","2020-08-18",NA
"120","2020-08-19",NA
"121","2020-08-20",NA
"122","2020-08-21",NA
"123","2020-08-24",NA
"124","2020-08-25",NA
"125","2020-08-26",NA
"126","2020-08-27",NA
"127","2020-08-28",NA
"128","2020-08-31",9.77
"129","2020-09-01",8.55
"130","2020-09-02",7.63
"131","2020-09-03",7.21
"132","2020-09-04",6.88
"133","2020-09-08",7.09
"134","2020-09-09",7.26
"135","2020-09-10",7.07
"136","2020-09-11",7.31
"137","2020-09-14",7.62
"138","2020-09-15",7.08
"139","2020-09-16",7.97
"140","2020-09-17",7.83
"141","2020-09-18",7.43
"142","2020-09-21",7.18
"143","2020-09-22",7.26
"144","2020-09-23",7.07
"145","2020-09-24",6.82
"146","2020-09-25",6.945
"147","2020-09-28",7.01
"148","2020-09-29",7.15
"149","2020-09-30",6.95
"150","2020-10-01",7.72
"151","2020-10-02",7.33
"152","2020-10-05",8.15
"153","2020-10-06",8.26
"154","2020-10-07",8.32
"155","2020-10-08",8.77
"156","2020-10-09",8.9
"157","2020-10-12",8.58
"158","2020-10-13",8.11
"159","2020-10-14",8.6
"160","2020-10-15",8.41
"161","2020-10-16",8.56
"162","2020-10-19",8.77
"163","2020-10-20",8.95
"164","2020-10-21",8.41
"165","2020-10-22",9.12
"166","2020-10-23",8.64
"167","2020-10-26",8.37
"168","2020-10-27",8.58
"169","2020-10-28",8.1
"170","2020-10-29",8.61
"171","2020-10-30",7.92
"172","2020-11-02",7.5
"173","2020-11-03",7.36
"174","2020-11-04",7.74
"175","2020-11-05",8.34
"176","2020-11-06",8.48
"177","2020-11-09",9.48
"178","2020-11-10",10.26
"179","2020-11-11",10.3
"180","2020-11-12",10.34
"181","2020-11-13",10.3
"182","2020-11-16",11.04
"183","2020-11-17",10.8
"184","2020-11-18",10.98
"185","2020-11-19",11
"186","2020-11-20",11.17
"187","2020-11-23",11.02
"188","2020-11-24",11.1
"189","2020-11-25",11.26
"190","2020-11-27",11.65
