"","date","XRAY"
"1","2007-01-03",29.99
"2","2007-01-04",30.08
"3","2007-01-05",30.08
"4","2007-01-08",30.25
"5","2007-01-09",30.26
"6","2007-01-10",30.41
"7","2007-01-11",30.82
"8","2007-01-12",32.169998
"9","2007-01-16",31.83
"10","2007-01-17",31.99
"11","2007-01-18",31.67
"12","2007-01-19",30.940001
"13","2007-01-22",29.969999
"14","2007-01-23",29.790001
"15","2007-01-24",30.17
"16","2007-01-25",29.809999
"17","2007-01-26",30.290001
"18","2007-01-29",30.530001
"19","2007-01-30",30.68
"20","2007-01-31",30.84
"21","2007-02-01",30.809999
"22","2007-02-02",30.870001
"23","2007-02-05",30.76
"24","2007-02-06",30.83
"25","2007-02-07",32.139999
"26","2007-02-08",32.73
"27","2007-02-09",32.439999
"28","2007-02-12",32.349998
"29","2007-02-13",32.82
"30","2007-02-14",33.029999
"31","2007-02-15",32.939999
"32","2007-02-16",32.82
"33","2007-02-20",32.639999
"34","2007-02-21",32.720001
"35","2007-02-22",32.529999
"36","2007-02-23",32.57
"37","2007-02-26",32.759998
"38","2007-02-27",31.950001
"39","2007-02-28",31.540001
"40","2007-03-01",31.309999
"41","2007-03-02",30.799999
"42","2007-03-05",30.559999
"43","2007-03-06",31.07
"44","2007-03-07",30.709999
"45","2007-03-08",31.219999
"46","2007-03-09",31.280001
"47","2007-03-12",31.49
"48","2007-03-13",31.110001
"49","2007-03-14",31.58
"50","2007-03-15",31.9
"51","2007-03-16",31.76
"52","2007-03-19",32.279999
"53","2007-03-20",32.389999
"54","2007-03-21",33.139999
"55","2007-03-22",33.009998
"56","2007-03-23",33.009998
"57","2007-03-26",32.98
"58","2007-03-27",32.75
"59","2007-03-28",32.830002
"60","2007-03-29",32.919998
"61","2007-03-30",32.75
"62","2007-04-02",33.060001
"63","2007-04-03",33.279999
"64","2007-04-04",33.130001
"65","2007-04-05",33.23
"66","2007-04-09",32.959999
"67","2007-04-10",33.07
"68","2007-04-11",32.98
"69","2007-04-12",33.34
"70","2007-04-13",33.290001
"71","2007-04-16",33.540001
"72","2007-04-17",33.459999
"73","2007-04-18",33.209999
"74","2007-04-19",32.830002
"75","2007-04-20",33.09
"76","2007-04-23",33.049999
"77","2007-04-24",33.080002
"78","2007-04-25",33.25
"79","2007-04-26",33.34
"80","2007-04-27",33.459999
"81","2007-04-30",33.41
"82","2007-05-01",36.040001
"83","2007-05-02",37.060001
"84","2007-05-03",36.73
"85","2007-05-04",36.75
"86","2007-05-07",36.470001
"87","2007-05-08",36.560001
"88","2007-05-09",36.119999
"89","2007-05-10",35.939999
"90","2007-05-11",35.900002
"91","2007-05-14",35.970001
"92","2007-05-15",35.790001
"93","2007-05-16",36.099998
"94","2007-05-17",35.66
"95","2007-05-18",35.869999
