"","date","ALKS"
"1","2007-01-03",13.09
"2","2007-01-04",13.58
"3","2007-01-05",13.58
"4","2007-01-08",13.8
"5","2007-01-09",13.92
"6","2007-01-10",14.16
"7","2007-01-11",14.17
"8","2007-01-12",15.37
"9","2007-01-16",15.04
"10","2007-01-17",14.96
"11","2007-01-18",14.85
"12","2007-01-19",15
"13","2007-01-22",14.59
"14","2007-01-23",14.66
"15","2007-01-24",14.58
"16","2007-01-25",14.99
"17","2007-01-26",15.19
"18","2007-01-29",15.04
"19","2007-01-30",15
"20","2007-01-31",14.92
"21","2007-02-01",14.93
"22","2007-02-02",14.81
"23","2007-02-05",15
"24","2007-02-06",14.85
"25","2007-02-07",15
"26","2007-02-08",17.01
"27","2007-02-09",16.84
"28","2007-02-12",16.469999
"29","2007-02-13",16.889999
"30","2007-02-14",17.01
"31","2007-02-15",17.07
"32","2007-02-16",17.620001
"33","2007-02-20",17.66
"34","2007-02-21",17.82
"35","2007-02-22",17.83
"36","2007-02-23",17.42
"37","2007-02-26",17.450001
"38","2007-02-27",16.74
"39","2007-02-28",16.4
"40","2007-03-01",16.18
"41","2007-03-02",15.38
"42","2007-03-05",15.31
"43","2007-03-06",15.81
"44","2007-03-07",15.75
"45","2007-03-08",15.63
"46","2007-03-09",15.68
"47","2007-03-12",15.77
"48","2007-03-13",15.21
"49","2007-03-14",15.06
"50","2007-03-15",15.29
"51","2007-03-16",15.05
"52","2007-03-19",15.38
"53","2007-03-20",15.5
"54","2007-03-21",15.75
"55","2007-03-22",15.64
"56","2007-03-23",15.58
"57","2007-03-26",15.39
"58","2007-03-27",15.35
"59","2007-03-28",15.5
"60","2007-03-29",15.27
"61","2007-03-30",15.44
"62","2007-04-02",15.35
"63","2007-04-03",15.68
"64","2007-04-04",15.61
"65","2007-04-05",15.8
"66","2007-04-09",15.7
"67","2007-04-10",15.56
"68","2007-04-11",15.45
"69","2007-04-12",15.41
"70","2007-04-13",15.47
"71","2007-04-16",16.66
"72","2007-04-17",16.799999
"73","2007-04-18",16.690001
"74","2007-04-19",16.48
"75","2007-04-20",16.959999
"76","2007-04-23",17.17
"77","2007-04-24",16.75
"78","2007-04-25",16.959999
"79","2007-04-26",16.950001
"80","2007-04-27",16.790001
"81","2007-04-30",16.43
"82","2007-05-01",16.57
"83","2007-05-02",16.950001
"84","2007-05-03",17.059999
"85","2007-05-04",17.059999
"86","2007-05-07",16.799999
"87","2007-05-08",16.73
"88","2007-05-09",16.620001
"89","2007-05-10",16.24
"90","2007-05-11",16.549999
"91","2007-05-14",16.450001
"92","2007-05-15",16.530001
"93","2007-05-16",16.76
"94","2007-05-17",16.809999
"95","2007-05-18",17.08
"96","2007-05-21",17.49
