"","date","SUPV"
"1","2016-05-19",11.5
"2","2016-05-20",11.5
"3","2016-05-23",11.2
"4","2016-05-24",11.52
"5","2016-05-25",11.39
"6","2016-05-26",11.4
"7","2016-05-27",11.42
"8","2016-05-31",11.39
"9","2016-06-01",11.35
"10","2016-06-02",11.41
"11","2016-06-03",11.71
"12","2016-06-06",11.82
"13","2016-06-07",12.13
"14","2016-06-08",12.25
"15","2016-06-09",12.25
"16","2016-06-10",12.07
"17","2016-06-13",12.25
"18","2016-06-14",11.91
"19","2016-06-15",11.97
"20","2016-06-16",12.15
"21","2016-06-17",12.16
"22","2016-06-20",12.88
"23","2016-06-21",12.85
"24","2016-06-22",12.77
"25","2016-06-23",12.71
"26","2016-06-24",12.27
"27","2016-06-27",11.94
"28","2016-06-28",12.28
"29","2016-06-29",12.63
"30","2016-06-30",12.79
"31","2016-07-01",13.07
"32","2016-07-05",12.95
"33","2016-07-06",12.74
"34","2016-07-07",12.7
"35","2016-07-08",12.7
"36","2016-07-11",12.68
"37","2016-07-12",12.8
"38","2016-07-13",12.55
"39","2016-07-14",12.85
"40","2016-07-15",13.14
"41","2016-07-18",13.12
"42","2016-07-19",13.54
"43","2016-07-20",13.39
"44","2016-07-21",13.3
"45","2016-07-22",13.52
"46","2016-07-25",13.5
"47","2016-07-26",13.4
"48","2016-07-27",13.39
"49","2016-07-28",13.27
"50","2016-07-29",13.55
"51","2016-08-01",13.32
"52","2016-08-02",13.26
"53","2016-08-03",13.25
"54","2016-08-04",13.25
"55","2016-08-05",13.53
"56","2016-08-08",13.63
"57","2016-08-09",13.48
"58","2016-08-10",13.35
"59","2016-08-11",13.55
"60","2016-08-12",13.52
"61","2016-08-15",13.51
"62","2016-08-16",13.16
"63","2016-08-17",13.04
"64","2016-08-18",13.42
"65","2016-08-19",13.5
"66","2016-08-22",13.38
"67","2016-08-23",13.47
"68","2016-08-24",13.3
"69","2016-08-25",13.36
"70","2016-08-26",13.39
"71","2016-08-29",13.545
"72","2016-08-30",13.88
"73","2016-08-31",14.06
"74","2016-09-01",13.85
"75","2016-09-02",14
"76","2016-09-06",14.36
"77","2016-09-07",14.43
"78","2016-09-08",14.38
"79","2016-09-09",14.4
"80","2016-09-12",14.16
"81","2016-09-13",14.05
"82","2016-09-14",14.24
"83","2016-09-15",14.64
"84","2016-09-16",14.8
"85","2016-09-19",15.4
"86","2016-09-20",15.4
"87","2016-09-21",14.97
"88","2016-09-22",14.95
"89","2016-09-23",15.15
"90","2016-09-26",14.93
"91","2016-09-27",14.74
"92","2016-09-28",14.76
"93","2016-09-29",14.8
"94","2016-09-30",14.81
"95","2016-10-03",15.03
"96","2016-10-04",15.04
"97","2016-10-05",15.15
"98","2016-10-06",15.26
"99","2016-10-07",14.86
"100","2016-10-10",14.78
"101","2016-10-11",14.76
"102","2016-10-12",14.65
"103","2016-10-13",14.71
"104","2016-10-14",14.75
"105","2016-10-17",14.85
"106","2016-10-18",15.07
"107","2016-10-19",15.01
"108","2016-10-20",15.12
"109","2016-10-21",15.1
"110","2016-10-24",15.09
"111","2016-10-25",14.99
"112","2016-10-26",14.82
"113","2016-10-27",14.85
"114","2016-10-28",15.07
"115","2016-10-31",15.18
"116","2016-11-01",15.02
"117","2016-11-02",14.8
"118","2016-11-03",14.61
"119","2016-11-04",14.63
"120","2016-11-07",14.96
"121","2016-11-08",14.95
"122","2016-11-09",15.171
"123","2016-11-10",14.67
"124","2016-11-11",14.37
"125","2016-11-14",14.48
"126","2016-11-15",14.6
"127","2016-11-16",14.48
"128","2016-11-17",14.45
"129","2016-11-18",14.409
"130","2016-11-21",14.5
"131","2016-11-22",14.5
"132","2016-11-23",14.53
"133","2016-11-25",14.5
"134","2016-11-28",14.46
"135","2016-11-29",14.3
"136","2016-11-30",14.22
"137","2016-12-01",13.99
"138","2016-12-02",13.77
"139","2016-12-05",14.11
"140","2016-12-06",14.15
"141","2016-12-07",13.99
"142","2016-12-08",14.01
"143","2016-12-09",13.9
"144","2016-12-12",13.92
"145","2016-12-13",14
"146","2016-12-14",13.55
"147","2016-12-15",13.65
"148","2016-12-16",13.55
"149","2016-12-19",13.29
"150","2016-12-20",12.95
"151","2016-12-21",12.54
"152","2016-12-22",12.1
"153","2016-12-23",12.5
"154","2016-12-27",12.63
"155","2016-12-28",12.7
"156","2016-12-29",13.02
"157","2016-12-30",13.14
"158","2017-01-03",13.4
"159","2017-01-04",13.56
"160","2017-01-05",13.89
"161","2017-01-06",14.09
"162","2017-01-09",13.95
"163","2017-01-10",14.1
"164","2017-01-11",14.03
"165","2017-01-12",14.3
"166","2017-01-13",14.4
"167","2017-01-17",14.11
"168","2017-01-18",13.87
"169","2017-01-19",13.6
"170","2017-01-20",13.46
"171","2017-01-23",13.7
"172","2017-01-24",14.02
"173","2017-01-25",14.04
"174","2017-01-26",14.27
"175","2017-01-27",14.3
"176","2017-01-30",14.24
"177","2017-01-31",14.73
"178","2017-02-01",14.72
"179","2017-02-02",14.56
"180","2017-02-03",14.46
