"","date","TOTA"
"1","2018-10-18",9.75
"2","2018-10-19",9.75
"3","2018-10-22",9.7
"4","2018-10-23",9.7
"5","2018-10-24",9.75
"6","2018-10-25",9.75
"7","2018-10-26",9.75
"8","2018-10-29",9.75
"9","2018-10-30",9.75
"10","2018-10-31",9.75
"11","2018-11-01",9.75
"12","2018-11-02",9.75
"13","2018-11-05",9.75
"14","2018-11-06",9.75
"15","2018-11-07",9.75
"16","2018-11-08",9.75
"17","2018-11-09",9.75
"18","2018-11-12",9.78
"19","2018-11-13",9.78
"20","2018-11-14",9.78
"21","2018-11-15",9.78
"22","2018-11-16",9.78
"23","2018-11-19",9.77
"24","2018-11-20",9.77
"25","2018-11-21",9.77
"26","2018-11-23",9.77
"27","2018-11-26",9.82
"28","2018-11-27",9.85
"29","2018-11-28",9.85
"30","2018-11-29",9.85
"31","2018-11-30",9.85
"32","2018-12-03",9.9
"33","2018-12-04",9.9
"34","2018-12-06",9.9
"35","2018-12-07",9.9
"36","2018-12-10",9.9
"37","2018-12-11",9.9
"38","2018-12-12",9.9
"39","2018-12-13",9.9
"40","2018-12-14",9.9
"41","2018-12-17",9.93
"42","2018-12-18",9.93
"43","2018-12-19",9.93
"44","2018-12-20",9.93
"45","2018-12-21",9.93
"46","2018-12-24",9.93
"47","2018-12-26",9.85
"48","2018-12-27",9.9
"49","2018-12-28",9.9
"50","2018-12-31",9.9
"51","2019-01-02",9.9
"52","2019-01-03",9.9
"53","2019-01-04",9.9
"54","2019-01-07",9.9
"55","2019-01-08",9.93
"56","2019-01-09",9.93
"57","2019-01-10",9.93
"58","2019-01-11",9.93
"59","2019-01-14",9.93
"60","2019-01-15",9.93
"61","2019-01-16",9.93
"62","2019-01-17",9.93
"63","2019-01-18",9.93
"64","2019-01-22",9.93
"65","2019-01-23",9.93
"66","2019-01-24",9.93
"67","2019-01-25",9.93
"68","2019-01-28",9.95
"69","2019-01-29",9.95
"70","2019-01-30",9.95
"71","2019-01-31",9.95
"72","2019-02-01",9.95
"73","2019-02-04",9.95
"74","2019-02-05",9.95
"75","2019-02-06",9.95
"76","2019-02-07",9.95
"77","2019-02-08",10
"78","2019-02-11",10
"79","2019-02-12",10.02
"80","2019-02-13",10.02
"81","2019-02-14",10.02
"82","2019-02-15",10.02
"83","2019-02-19",10.02
"84","2019-02-20",10.02
"85","2019-02-21",10.02
"86","2019-02-22",10.02
"87","2019-02-25",10.02
"88","2019-02-26",10.02
"89","2019-02-27",10.02
"90","2019-02-28",10.02
"91","2019-03-01",10.02
"92","2019-03-04",10.02
"93","2019-03-05",10.02
"94","2019-03-06",10.02
"95","2019-03-07",10.02
"96","2019-03-08",9.98
"97","2019-03-11",9.98
"98","2019-03-12",9.98
"99","2019-03-13",9.98
"100","2019-03-14",10.05
"101","2019-03-15",10.05
"102","2019-03-18",10.05
"103","2019-03-19",10.05
"104","2019-03-20",10.07
"105","2019-03-21",10.07
"106","2019-03-22",10.08
"107","2019-03-25",10.12
"108","2019-03-26",10.09
"109","2019-03-27",10.09
"110","2019-03-28",10.09
"111","2019-03-29",10.09
"112","2019-04-01",10.09
"113","2019-04-02",10.09
"114","2019-04-03",10.09
"115","2019-04-04",10.09
"116","2019-04-05",10.09
"117","2019-04-08",10.09
"118","2019-04-09",10.09
"119","2019-04-10",10.09
"120","2019-04-11",10.09
"121","2019-04-12",10.09
"122","2019-04-15",10.08
"123","2019-04-16",10.08
"124","2019-04-17",10.08
"125","2019-04-18",10.08
"126","2019-04-22",10.08
"127","2019-04-23",10.08
"128","2019-04-24",10.08
"129","2019-04-25",10.08
"130","2019-04-26",10.1
"131","2019-04-29",10.1
"132","2019-04-30",10.18
"133","2019-05-01",10.2
"134","2019-05-02",10.2
"135","2019-05-03",10.2
"136","2019-05-06",10.2
"137","2019-05-07",10.21
"138","2019-05-08",10.21
"139","2019-05-09",10.21
"140","2019-05-10",10.22
"141","2019-05-13",10.22
"142","2019-05-14",10.18
"143","2019-05-15",10.18
"144","2019-05-16",10.18
"145","2019-05-17",10.18
"146","2019-05-20",10.18
"147","2019-05-21",10.18
"148","2019-05-22",10.18
"149","2019-05-23",10.18
"150","2019-05-24",10.18
"151","2019-05-28",10.2
"152","2019-05-29",10.2
"153","2019-05-30",10.2
"154","2019-05-31",10.19
"155","2019-06-03",10.19
"156","2019-06-04",10.19
"157","2019-06-05",10.19
"158","2019-06-06",10.19
"159","2019-06-07",10.18
"160","2019-06-10",10.19
"161","2019-06-11",10.19
"162","2019-06-12",10.19
"163","2019-06-13",10.19
"164","2019-06-14",10.19
"165","2019-06-17",10.19
"166","2019-06-18",10.19
"167","2019-06-19",10.19
"168","2019-06-20",10.2
"169","2019-06-21",10.2
"170","2019-06-24",10.2
"171","2019-06-25",10.2
"172","2019-06-26",10.25
"173","2019-06-27",10.25
"174","2019-06-28",10.2
"175","2019-07-01",10.2
"176","2019-07-02",10.2
"177","2019-07-03",10.2
"178","2019-07-05",10.27
"179","2019-07-08",10.27
"180","2019-07-09",10.27
"181","2019-07-10",10.27
"182","2019-07-11",10.27
"183","2019-07-12",10.27
"184","2019-07-15",10.27
"185","2019-07-16",10.27
"186","2019-07-17",10.27
"187","2019-07-18",10.27
"188","2019-07-19",10.27
"189","2019-07-22",10.27
"190","2019-07-23",10.26
"191","2019-07-24",10.26
"192","2019-07-25",10.26
"193","2019-07-26",10.26
"194","2019-07-29",10.26
"195","2019-07-30",10.26
"196","2019-07-31",10.26
"197","2019-08-01",10.25
"198","2019-08-02",10.25
"199","2019-08-05",10.25
"200","2019-08-06",10.25
"201","2019-08-07",10.25
"202","2019-08-08",10.25
"203","2019-08-09",10.25
"204","2019-08-12",10.28
"205","2019-08-13",10.28
"206","2019-08-14",10.28
"207","2019-08-15",10.28
"208","2019-08-16",10.28
"209","2019-08-19",10.28
"210","2019-08-20",10.29
"211","2019-08-21",10.29
"212","2019-08-22",10.29
"213","2019-08-23",10.29
"214","2019-08-26",10.29
"215","2019-08-27",10.29
"216","2019-08-28",10.32
"217","2019-08-29",10.32
"218","2019-08-30",10.3
"219","2019-09-03",10.3
"220","2019-09-04",10.3
"221","2019-09-05",10.3
"222","2019-09-06",10.3
"223","2019-09-09",10.3
"224","2019-09-10",10.26
"225","2019-09-11",10.26
"226","2019-09-12",10.3
