"","date","BFIN"
"1","2007-01-03",17.629999
"2","2007-01-04",17.65
"3","2007-01-05",17.48
"4","2007-01-08",17.469999
"5","2007-01-09",17.450001
"6","2007-01-10",17.42
"7","2007-01-11",17.4
"8","2007-01-12",17.5
"9","2007-01-16",17.4
"10","2007-01-17",17.360001
"11","2007-01-18",17.299999
"12","2007-01-19",17.32
"13","2007-01-22",17.23
"14","2007-01-23",17.450001
"15","2007-01-24",17.58
"16","2007-01-25",17.299999
"17","2007-01-26",17.440001
"18","2007-01-29",17.59
"19","2007-01-30",17.65
"20","2007-01-31",17.629999
"21","2007-02-01",17.620001
"22","2007-02-02",17.9
"23","2007-02-05",17.74
"24","2007-02-06",17.84
"25","2007-02-07",17.950001
"26","2007-02-08",17.709999
"27","2007-02-09",17.610001
"28","2007-02-12",17.77
"29","2007-02-13",17.85
"30","2007-02-14",17.75
"31","2007-02-15",17.610001
"32","2007-02-16",17.709999
"33","2007-02-20",17.84
"34","2007-02-21",17.9
"35","2007-02-22",17.799999
"36","2007-02-23",17.690001
"37","2007-02-26",17.66
"38","2007-02-27",17.299999
"39","2007-02-28",17.459999
"40","2007-03-01",17.35
"41","2007-03-02",17.200001
"42","2007-03-05",16.709999
"43","2007-03-06",17.040001
"44","2007-03-07",16.959999
"45","2007-03-08",16.860001
"46","2007-03-09",16.879999
"47","2007-03-12",16.77
"48","2007-03-13",16.440001
"49","2007-03-14",16.57
"50","2007-03-15",16.790001
"51","2007-03-16",16.66
"52","2007-03-19",16.709999
"53","2007-03-20",16.700001
"54","2007-03-21",16.65
"55","2007-03-22",16.6
"56","2007-03-23",16.389999
"57","2007-03-26",16.23
"58","2007-03-27",16.41
"59","2007-03-28",16.1
"60","2007-03-29",16.35
"61","2007-03-30",16.27
"62","2007-04-02",16.139999
"63","2007-04-03",16.51
"64","2007-04-04",16.370001
"65","2007-04-05",16.450001
"66","2007-04-09",16.25
"67","2007-04-10",16.389999
"68","2007-04-11",15.93
"69","2007-04-12",16.450001
"70","2007-04-13",16.25
"71","2007-04-16",16.5
"72","2007-04-17",16.450001
"73","2007-04-18",16.200001
"74","2007-04-19",16
"75","2007-04-20",16.1
"76","2007-04-23",16
"77","2007-04-24",16
"78","2007-04-25",16.049999
"79","2007-04-26",16.040001
"80","2007-04-27",16.049999
"81","2007-04-30",15.9
"82","2007-05-01",16.25
"83","2007-05-02",16.299999
"84","2007-05-03",16.18
"85","2007-05-04",16.540001
"86","2007-05-07",16.32
"87","2007-05-08",16.290001
"88","2007-05-09",16.549999
"89","2007-05-10",16.08
"90","2007-05-11",16.360001
"91","2007-05-14",16.08
"92","2007-05-15",16
"93","2007-05-16",16.290001
"94","2007-05-17",16.129999
"95","2007-05-18",16.209999
"96","2007-05-21",16.27
"97","2007-05-22",16.42
"98","2007-05-23",16.309999
"99","2007-05-24",16.26
"100","2007-05-25",16.370001
"101","2007-05-29",16.290001
"102","2007-05-30",16.35
"103","2007-05-31",16.459999
"104","2007-06-01",16.65
"105","2007-06-04",16.52
"106","2007-06-05",16.49
"107","2007-06-06",16.35
"108","2007-06-07",16.18
"109","2007-06-08",16.34
"110","2007-06-11",16.280001
"111","2007-06-12",16.129999
"112","2007-06-13",16.209999
"113","2007-06-14",16.309999
"114","2007-06-15",16.26
"115","2007-06-18",16.33
"116","2007-06-19",16.280001
"117","2007-06-20",16.059999
"118","2007-06-21",16.030001
"119","2007-06-22",16.059999
"120","2007-06-25",15.97
"121","2007-06-26",15.99
"122","2007-06-27",15.94
"123","2007-06-28",15.92
"124","2007-06-29",15.45
"125","2007-07-02",15.56
"126","2007-07-03",15.9
"127","2007-07-05",15.48
"128","2007-07-06",15.78
"129","2007-07-09",15.62
"130","2007-07-10",15.25
"131","2007-07-11",15.17
"132","2007-07-12",15.44
"133","2007-07-13",15.41
"134","2007-07-16",15.29
"135","2007-07-17",15.23
"136","2007-07-18",15.03
"137","2007-07-19",15.16
"138","2007-07-20",14.69
"139","2007-07-23",14.66
"140","2007-07-24",14.14
"141","2007-07-25",14.25
"142","2007-07-26",13.79
"143","2007-07-27",13.71
"144","2007-07-30",14.03
"145","2007-07-31",13.8
"146","2007-08-01",13.87
"147","2007-08-02",14.09
"148","2007-08-03",13.44
"149","2007-08-06",14
"150","2007-08-07",14.3
"151","2007-08-08",15.37
"152","2007-08-09",15.03
"153","2007-08-10",14.32
"154","2007-08-13",14.82
"155","2007-08-14",14.21
"156","2007-08-15",14.38
"157","2007-08-16",15.69
"158","2007-08-17",15.95
"159","2007-08-20",15.95
"160","2007-08-21",16.02
"161","2007-08-22",16.02
"162","2007-08-23",15.63
"163","2007-08-24",16
"164","2007-08-27",15.72
"165","2007-08-28",15.35
"166","2007-08-29",15.8
"167","2007-08-30",15.65
"168","2007-08-31",15.59
"169","2007-09-04",15.7
"170","2007-09-05",15.32
"171","2007-09-06",15.59
"172","2007-09-07",15.5
"173","2007-09-10",15.53
"174","2007-09-11",15.75
"175","2007-09-12",15.5
"176","2007-09-13",15.51
"177","2007-09-14",15.5
"178","2007-09-17",15.48
"179","2007-09-18",15.84
"180","2007-09-19",16.02
"181","2007-09-20",15.97
"182","2007-09-21",16.299999
"183","2007-09-24",16.040001
"184","2007-09-25",15.93
"185","2007-09-26",15.95
"186","2007-09-27",16.030001
"187","2007-09-28",15.82
"188","2007-10-01",16.290001
"189","2007-10-02",16.370001
"190","2007-10-03",16.290001
"191","2007-10-04",16.49
"192","2007-10-05",16.51
"193","2007-10-08",16.5
"194","2007-10-09",16.66
"195","2007-10-10",16.610001
"196","2007-10-11",16.5
"197","2007-10-12",16.49
"198","2007-10-15",16.120001
"199","2007-10-16",15.77
"200","2007-10-17",15.94
"201","2007-10-18",15.73
"202","2007-10-19",15.21
"203","2007-10-22",15.52
"204","2007-10-23",15.99
"205","2007-10-24",15.91
"206","2007-10-25",15.92
"207","2007-10-26",16.209999
"208","2007-10-29",16.139999
"209","2007-10-30",16
"210","2007-10-31",15.92
"211","2007-11-01",14.79
"212","2007-11-02",15.13
"213","2007-11-05",14.67
"214","2007-11-06",15.5
"215","2007-11-07",14.8
"216","2007-11-08",15.39
"217","2007-11-09",15.77
"218","2007-11-12",15.91
"219","2007-11-13",16.530001
"220","2007-11-14",16.290001
"221","2007-11-15",15.96
"222","2007-11-16",15.64
"223","2007-11-19",15.38
"224","2007-11-20",15.69
"225","2007-11-21",15.76
"226","2007-11-23",16.040001
"227","2007-11-26",15.04
"228","2007-11-27",15.63
"229","2007-11-28",16.120001
"230","2007-11-29",16.01
"231","2007-11-30",15.81
"232","2007-12-03",15.32
"233","2007-12-04",15.19
"234","2007-12-05",15.31
