"","date","XELA"
"1","2013-10-18",9.9
"2","2013-10-21",9.9
"3","2013-10-22",9.9
"4","2013-10-23",9.9
"5","2013-10-24",9.9
"6","2013-10-25",9.9
"7","2013-10-28",9.9
"8","2013-10-29",9.9
"9","2013-10-30",9.9
"10","2013-10-31",9.9
"11","2013-11-01",9.9
"12","2013-11-04",10
"13","2013-11-05",10
"14","2013-11-06",9.9
"15","2013-11-07",10
"16","2013-11-08",10
"17","2013-11-11",10
"18","2013-11-12",9.86
"19","2013-11-13",10.5
"20","2013-11-14",10.5
"21","2013-11-15",10.5
"22","2013-11-18",10.5
"23","2013-11-19",10.5
"24","2013-11-20",10.5
"25","2013-11-21",10.5
"26","2013-11-22",10.5
"27","2013-11-25",10.5
"28","2013-11-26",10.5
"29","2013-11-27",10.5
"30","2013-11-29",10.5
"31","2013-12-02",10.5
"32","2013-12-03",10.5
"33","2013-12-04",10.5
"34","2013-12-05",10.5
"35","2013-12-06",10.5
"36","2013-12-09",10.5
"37","2013-12-10",10.5
"38","2013-12-11",10.5
"39","2013-12-12",10.5
"40","2013-12-13",10.5
"41","2013-12-16",10.5
"42","2013-12-17",10.5
"43","2013-12-18",10.5
"44","2013-12-19",10.5
"45","2013-12-20",10.5
"46","2013-12-23",10.5
"47","2013-12-24",10.5
"48","2013-12-26",10.15
"49","2013-12-27",10.15
"50","2013-12-30",10.15
"51","2013-12-31",10.1
"52","2014-01-02",10.1
"53","2014-01-03",10.1
"54","2014-01-06",10.1
"55","2014-01-07",10.1
"56","2014-01-08",10.1
"57","2014-01-09",10.1
"58","2014-01-10",10.1
"59","2014-01-13",10.1
"60","2014-01-14",10.1
"61","2014-01-15",10.1
"62","2014-01-16",9.95
"63","2014-01-17",10.03
"64","2014-01-21",9.98
"65","2014-01-22",9.93
"66","2014-01-23",9.99
"67","2014-01-24",10.01
"68","2014-01-27",10
"69","2014-01-28",10.1
"70","2014-01-29",10.1
"71","2014-01-30",10.05
"72","2014-01-31",10
"73","2014-02-03",10.06
"74","2014-02-04",10.03
"75","2014-02-05",10.18
"76","2014-02-06",10.02
"77","2014-02-07",10.1
"78","2014-02-10",10.035
"79","2014-02-11",10.056
"80","2014-02-12",10.0175
"81","2014-02-13",10.02
"82","2014-02-14",10.02
"83","2014-02-18",10.0352
"84","2014-02-19",10.0352
"85","2014-02-20",10
"86","2014-02-21",10
"87","2014-02-24",9.99
"88","2014-02-25",10.03
"89","2014-02-26",10.1
"90","2014-02-27",10.1
"91","2014-02-28",10.1
"92","2014-03-03",10.1
"93","2014-03-04",10.08
"94","2014-03-05",10.08
"95","2014-03-06",10.09
"96","2014-03-07",10.09
"97","2014-03-10",10.09
"98","2014-03-11",10.0001
"99","2014-03-12",10.02
"100","2014-03-13",10.05
"101","2014-03-14",10.04
"102","2014-03-17",10.15
"103","2014-03-18",10.22
"104","2014-03-19",10.28
"105","2014-03-20",10.24
"106","2014-03-21",10.24
"107","2014-03-24",10.24
"108","2014-03-25",10.24
"109","2014-03-26",10.23
"110","2014-03-27",10.23
"111","2014-03-28",10.29
"112","2014-03-31",10.29
"113","2014-04-01",10.23
"114","2014-04-02",10.25
"115","2014-04-03",10.26
"116","2014-04-04",10.19
"117","2014-04-07",10.19
"118","2014-04-08",10.17
"119","2014-04-09",10.25
"120","2014-04-10",10.25
"121","2014-04-11",10.22
"122","2014-04-14",10.21
"123","2014-04-15",10.17
"124","2014-04-16",10.22
"125","2014-04-17",10.165
"126","2014-04-21",10.165
"127","2014-04-22",10.16
"128","2014-04-23",10.16
"129","2014-04-24",10.16
"130","2014-04-25",10.25
"131","2014-04-28",10.25
"132","2014-04-29",10.25
"133","2014-04-30",10.16
"134","2014-05-01",10.16
"135","2014-05-02",10.14
"136","2014-05-05",10.14
"137","2014-05-06",10.14
"138","2014-05-07",10.3999
"139","2014-05-08",10.2
"140","2014-05-09",10.11
"141","2014-05-12",10.11
"142","2014-05-13",10.11
"143","2014-05-14",10.11
"144","2014-05-15",10.35
"145","2014-05-16",10.35
"146","2014-05-19",10.1
"147","2014-05-20",10.12
"148","2014-05-21",10.12
"149","2014-05-22",10.23
"150","2014-05-23",10.17
"151","2014-05-27",10.269
"152","2014-05-28",10.269
"153","2014-05-29",10.269
"154","2014-05-30",10.26
"155","2014-06-02",10.2401
"156","2014-06-03",10.25
"157","2014-06-04",10.1
"158","2014-06-05",10.28
"159","2014-06-06",10.29
"160","2014-06-09",10.1
"161","2014-06-10",10.26
"162","2014-06-11",10.25
"163","2014-06-12",10.23
"164","2014-06-13",10.26
"165","2014-06-16",10.26
"166","2014-06-17",10.17
"167","2014-06-18",10.25
"168","2014-06-19",10.25
"169","2014-06-20",10.24
"170","2014-06-23",10.28
"171","2014-06-24",10.27
"172","2014-06-25",11.16
"173","2014-06-26",10.3
"174","2014-06-27",10.52
"175","2014-06-30",10.49
"176","2014-07-01",NA
"177","2014-07-02",NA
"178","2014-07-03",NA
"179","2014-07-07",NA
"180","2014-07-08",NA
"181","2014-07-09",NA
"182","2014-07-10",NA
"183","2014-07-11",NA
"184","2014-07-14",NA
"185","2014-07-15",NA
"186","2014-07-16",NA
"187","2014-07-17",NA
"188","2014-07-18",NA
"189","2014-07-21",NA
"190","2014-07-22",NA
"191","2014-07-23",NA
"192","2014-07-24",NA
"193","2014-07-25",NA
"194","2014-07-28",NA
"195","2014-07-29",NA
"196","2014-07-30",NA
"197","2014-07-31",NA
"198","2014-08-01",NA
"199","2014-08-04",NA
"200","2014-08-05",NA
"201","2014-08-06",NA
"202","2014-08-07",NA
"203","2014-08-08",NA
"204","2014-08-11",NA
"205","2014-08-12",NA
"206","2014-08-13",NA
"207","2014-08-14",NA
"208","2014-08-15",NA
"209","2014-08-18",NA
"210","2014-08-19",NA
"211","2014-08-20",NA
"212","2014-08-21",NA
"213","2014-08-22",NA
"214","2014-08-25",NA
"215","2014-08-26",NA
"216","2014-08-27",NA
"217","2014-08-28",NA
"218","2014-08-29",NA
"219","2014-09-02",NA
"220","2014-09-03",NA
"221","2014-09-04",NA
"222","2014-09-05",NA
"223","2014-09-08",NA
"224","2014-09-09",NA
"225","2014-09-10",NA
"226","2014-09-11",NA
"227","2014-09-12",NA
"228","2014-09-15",NA
"229","2014-09-16",NA
"230","2014-09-17",NA
"231","2014-09-18",NA
"232","2014-09-19",NA
"233","2014-09-22",NA
"234","2014-09-23",NA
"235","2014-09-24",NA
"236","2014-09-25",NA
"237","2014-09-26",NA
"238","2014-09-29",NA
"239","2014-09-30",NA
"240","2014-10-01",NA
"241","2014-10-02",NA
"242","2014-10-03",NA
"243","2014-10-06",NA
"244","2014-10-07",NA
"245","2014-10-08",NA
"246","2014-10-09",NA
"247","2014-10-10",NA
"248","2014-10-13",NA
"249","2014-10-14",NA
"250","2014-10-15",NA
"251","2014-10-16",NA
"252","2014-10-17",NA
"253","2014-10-20",NA
"254","2014-10-21",NA
"255","2014-10-22",NA
"256","2014-10-23",NA
"257","2014-10-24",NA
"258","2014-10-27",NA
"259","2014-10-28",NA
"260","2014-10-29",NA
"261","2014-10-30",NA
"262","2014-10-31",NA
"263","2014-11-03",NA
"264","2014-11-04",NA
"265","2014-11-05",NA
"266","2014-11-06",NA
"267","2014-11-07",NA
"268","2014-11-10",NA
"269","2014-11-11",NA
"270","2014-11-12",NA
"271","2014-11-13",NA
"272","2014-11-14",NA
"273","2014-11-17",NA
"274","2014-11-18",NA
"275","2014-11-19",NA
"276","2014-11-20",NA
"277","2014-11-21",NA
"278","2014-11-24",NA
"279","2014-11-25",NA
"280","2014-11-26",NA
"281","2014-11-28",NA
"282","2014-12-01",NA
"283","2014-12-02",NA
"284","2014-12-03",NA
"285","2014-12-04",NA
"286","2014-12-05",NA
"287","2014-12-08",NA
"288","2014-12-09",NA
"289","2014-12-10",NA
"290","2014-12-11",NA
"291","2014-12-12",NA
"292","2014-12-15",NA
"293","2014-12-16",NA
"294","2014-12-17",NA
"295","2014-12-18",NA
"296","2014-12-19",NA
"297","2014-12-22",NA
"298","2014-12-23",NA
"299","2014-12-24",NA
"300","2014-12-26",NA
"301","2014-12-29",NA
"302","2014-12-30",NA
"303","2014-12-31",NA
"304","2015-01-02",NA
"305","2015-01-05",NA
"306","2015-01-06",NA
"307","2015-01-07",NA
"308","2015-01-08",NA
"309","2015-01-09",NA
"310","2015-01-12",NA
"311","2015-01-13",NA
"312","2015-01-14",NA
"313","2015-01-15",NA
"314","2015-01-16",NA
"315","2015-01-20",NA
"316","2015-01-21",NA
"317","2015-01-22",NA
"318","2015-01-23",NA
"319","2015-01-26",NA
"320","2015-01-27",NA
"321","2015-01-28",NA
"322","2015-01-29",NA
"323","2015-01-30",NA
