"","date","CBTX"
"1","2017-11-08",28.709999
"2","2017-11-09",28.49
"3","2017-11-10",29.120001
"4","2017-11-13",28.75
"5","2017-11-14",28.475
"6","2017-11-15",28.68
"7","2017-11-16",29.299999
"8","2017-11-17",28.959999
"9","2017-11-20",28.9
"10","2017-11-21",28.93
"11","2017-11-22",28.77
"12","2017-11-24",28.440001
"13","2017-11-27",28.639999
"14","2017-11-28",28.889999
"15","2017-11-29",28.950001
"16","2017-11-30",28.709999
"17","2017-12-01",28.93
"18","2017-12-04",28.65
"19","2017-12-05",28.76
"20","2017-12-06",28.799999
"21","2017-12-07",29.26
"22","2017-12-08",28.700001
"23","2017-12-11",28.709999
"24","2017-12-12",28.610001
"25","2017-12-13",28.450001
"26","2017-12-14",28.49
"27","2017-12-15",28.27
"28","2017-12-18",28.57
"29","2017-12-19",28.870001
"30","2017-12-20",29.07
"31","2017-12-21",29.469999
"32","2017-12-22",29.52
"33","2017-12-26",29.690001
"34","2017-12-27",29.35
"35","2017-12-28",30.059999
"36","2017-12-29",29.66
"37","2018-01-02",29.59
"38","2018-01-03",29.360001
"39","2018-01-04",29.1
"40","2018-01-05",28.85
"41","2018-01-08",28.719999
"42","2018-01-09",28.889999
"43","2018-01-10",29.65
"44","2018-01-11",29.9
"45","2018-01-12",30
"46","2018-01-16",29.02
"47","2018-01-17",29.1
"48","2018-01-18",29.02
"49","2018-01-19",29.190001
"50","2018-01-22",29.040001
"51","2018-01-23",29.26
"52","2018-01-24",29.02
"53","2018-01-25",28.9
"54","2018-01-26",28.77
"55","2018-01-29",28.91
"56","2018-01-30",28.58
"57","2018-01-31",28.620001
"58","2018-02-01",28.860001
"59","2018-02-02",28.700001
"60","2018-02-05",28.620001
"61","2018-02-06",29
"62","2018-02-07",28.75
"63","2018-02-08",28.120001
"64","2018-02-09",28.360001
"65","2018-02-12",28.41
"66","2018-02-13",28.290001
"67","2018-02-14",28.15
"68","2018-02-15",28.16
"69","2018-02-16",28.049999
"70","2018-02-20",27.889999
"71","2018-02-21",28.1
"72","2018-02-22",28.09
"73","2018-02-23",27.99
"74","2018-02-26",27.91
"75","2018-02-27",27.559999
"76","2018-02-28",27.610001
"77","2018-03-01",27.83
"78","2018-03-02",28.75
"79","2018-03-05",28.49
"80","2018-03-06",28.15
"81","2018-03-07",28.309999
"82","2018-03-08",28.27
"83","2018-03-09",28.440001
"84","2018-03-12",28.92
"85","2018-03-13",28.879999
"86","2018-03-14",28.860001
"87","2018-03-15",28.85
"88","2018-03-16",29.41
"89","2018-03-19",29.559999
"90","2018-03-20",29.4
"91","2018-03-21",29.559999
"92","2018-03-22",29.030001
"93","2018-03-23",28.790001
"94","2018-03-26",29.459999
"95","2018-03-27",29
"96","2018-03-28",29.200001
"97","2018-03-29",29.440001
"98","2018-04-02",29.110001
"99","2018-04-03",29.09
"100","2018-04-04",29.42
"101","2018-04-05",29.24
"102","2018-04-06",28.700001
"103","2018-04-09",29.139999
"104","2018-04-10",29.219999
"105","2018-04-11",29.110001
"106","2018-04-12",29.209999
"107","2018-04-13",28.780001
"108","2018-04-16",29.17
