"","date","CARG"
"1","2017-10-12",27.58
"2","2017-10-13",28.530001
"3","2017-10-16",31.85
"4","2017-10-17",28.280001
"5","2017-10-18",28.139999
"6","2017-10-19",28.23
"7","2017-10-20",29.190001
"8","2017-10-23",28.92
"9","2017-10-24",29.09
"10","2017-10-25",29.01
"11","2017-10-26",30.030001
"12","2017-10-27",30.959999
"13","2017-10-30",31.74
"14","2017-10-31",32.599998
"15","2017-11-01",31.719999
"16","2017-11-02",31.790001
"17","2017-11-03",31.440001
"18","2017-11-06",30.42
"19","2017-11-07",29.76
"20","2017-11-08",28.49
"21","2017-11-09",28.35
"22","2017-11-10",28.969999
"23","2017-11-13",29.549999
"24","2017-11-14",29.82
"25","2017-11-15",31.030001
"26","2017-11-16",31.35
"27","2017-11-17",30.82
"28","2017-11-20",28.99
"29","2017-11-21",28.639999
"30","2017-11-22",28.6
"31","2017-11-24",28.66
"32","2017-11-27",29.16
"33","2017-11-28",29.969999
"34","2017-11-29",29.299999
"35","2017-11-30",29.48
"36","2017-12-01",29.299999
"37","2017-12-04",29.290001
"38","2017-12-05",30.559999
"39","2017-12-06",30.299999
"40","2017-12-07",30.860001
"41","2017-12-08",30.33
"42","2017-12-11",30.559999
"43","2017-12-12",29.799999
"44","2017-12-13",29.459999
"45","2017-12-14",30.1
"46","2017-12-15",30.629999
"47","2017-12-18",31.09
"48","2017-12-19",31.040001
"49","2017-12-20",30.1
"50","2017-12-21",29.91
"51","2017-12-22",29.940001
"52","2017-12-26",29.809999
"53","2017-12-27",29.799999
"54","2017-12-28",29.77
"55","2017-12-29",29.98
"56","2018-01-02",30.129999
"57","2018-01-03",29.85
"58","2018-01-04",30.07
"59","2018-01-05",29.959999
"60","2018-01-08",30.35
"61","2018-01-09",30.48
"62","2018-01-10",30.33
"63","2018-01-11",30.719999
"64","2018-01-12",30.629999
"65","2018-01-16",32.34
"66","2018-01-17",34.41
"67","2018-01-18",33.849998
"68","2018-01-19",36.02
"69","2018-01-22",31.620001
"70","2018-01-23",32.34
"71","2018-01-24",33.080002
"72","2018-01-25",34.009998
"73","2018-01-26",33.990002
"74","2018-01-29",34.009998
"75","2018-01-30",33.669998
"76","2018-01-31",33.5
"77","2018-02-01",32.939999
"78","2018-02-02",31.040001
"79","2018-02-05",30.34
"80","2018-02-06",29.83
"81","2018-02-07",30.530001
"82","2018-02-08",30.07
"83","2018-02-09",29.4
"84","2018-02-12",30.09
"85","2018-02-13",30.75
"86","2018-02-14",31.23
"87","2018-02-15",31.700001
"88","2018-02-16",32.330002
"89","2018-02-20",32.950001
"90","2018-02-21",32.75
"91","2018-02-22",31.92
"92","2018-02-23",31.9
"93","2018-02-26",33.82
"94","2018-02-27",32.73
"95","2018-02-28",32.279999
"96","2018-03-01",32.32
"97","2018-03-02",35.950001
"98","2018-03-05",35.720001
"99","2018-03-06",36.060001
"100","2018-03-07",35.52
"101","2018-03-08",36.450001
"102","2018-03-09",37.810001
"103","2018-03-12",38.529999
"104","2018-03-13",35.18
"105","2018-03-14",36.57
"106","2018-03-15",36.099998
"107","2018-03-16",35.5
"108","2018-03-19",34.560001
"109","2018-03-20",34.75
"110","2018-03-21",35.560001
"111","2018-03-22",35.549999
"112","2018-03-23",34
"113","2018-03-26",34.619999
"114","2018-03-27",33.720001
"115","2018-03-28",33.650002
"116","2018-03-29",38.470001
"117","2018-04-02",37.630001
"118","2018-04-03",36.57
"119","2018-04-04",36.91
"120","2018-04-05",38.029999
"121","2018-04-06",38
"122","2018-04-09",37.900002
"123","2018-04-10",38.060001
"124","2018-04-11",34
"125","2018-04-12",33.75
"126","2018-04-13",32.310001
"127","2018-04-16",32.540001
"128","2018-04-17",32.48
"129","2018-04-18",32.880001
"130","2018-04-19",32.84
"131","2018-04-20",32.98
"132","2018-04-23",32.970001
"133","2018-04-24",32.459999
"134","2018-04-25",31.809999
"135","2018-04-26",31.280001
"136","2018-04-27",30.52
"137","2018-04-30",30.92
"138","2018-05-01",31.84
