"","date","EOLS"
"1","2018-02-08",11.5
"2","2018-02-09",11.66
"3","2018-02-12",11.26
"4","2018-02-13",11.6
"5","2018-02-14",11.5
"6","2018-02-15",11.78
"7","2018-02-16",11.7
"8","2018-02-20",11.9
"9","2018-02-21",12.1
"10","2018-02-22",12.09
"11","2018-02-23",11.6
"12","2018-02-26",11.64
"13","2018-02-27",11.46
"14","2018-02-28",12.09
"15","2018-03-01",11.46
"16","2018-03-02",11.44
"17","2018-03-05",11.56
"18","2018-03-06",11.29
"19","2018-03-07",11.23
"20","2018-03-08",10.76
"21","2018-03-09",12.07
"22","2018-03-12",12.37
"23","2018-03-13",11.97
"24","2018-03-14",11.83
"25","2018-03-15",12.1
"26","2018-03-16",12.5
"27","2018-03-19",12.04
"28","2018-03-20",11.92
"29","2018-03-21",11.86
"30","2018-03-22",11.38
"31","2018-03-23",11.29
"32","2018-03-26",10.8
"33","2018-03-27",9.36
"34","2018-03-28",8.34
"35","2018-03-29",9.03
"36","2018-04-02",9.05
"37","2018-04-03",9.1
"38","2018-04-04",8.99
"39","2018-04-05",8.11
"40","2018-04-06",7.58
"41","2018-04-09",8.2
"42","2018-04-10",8.98
"43","2018-04-11",8.93
"44","2018-04-12",8.88
"45","2018-04-13",9.24
"46","2018-04-16",9.38
"47","2018-04-17",9.45
"48","2018-04-18",9.52
"49","2018-04-19",8.8
"50","2018-04-20",7.95
"51","2018-04-23",8.005
"52","2018-04-24",7.71
"53","2018-04-25",7.85
"54","2018-04-26",7.21
"55","2018-04-27",7.06
"56","2018-04-30",6.85
"57","2018-05-01",6.97
"58","2018-05-02",7.41
"59","2018-05-03",7.48
"60","2018-05-04",7.28
"61","2018-05-07",8.75
"62","2018-05-08",9.48
"63","2018-05-09",10.55
"64","2018-05-10",11.5
"65","2018-05-11",13.49
"66","2018-05-14",13.72
"67","2018-05-15",14.65
"68","2018-05-16",10.7
"69","2018-05-17",12.94
"70","2018-05-18",15.38
"71","2018-05-21",16.18
"72","2018-05-22",16.889999
"73","2018-05-23",19.360001
"74","2018-05-24",23.799999
"75","2018-05-25",22.440001
"76","2018-05-29",26.200001
"77","2018-05-30",24.59
"78","2018-05-31",24.5
"79","2018-06-01",27.280001
"80","2018-06-04",30.49
"81","2018-06-05",33.759998
"82","2018-06-06",38.490002
"83","2018-06-07",30.98
"84","2018-06-08",25.57
"85","2018-06-11",29.049999
"86","2018-06-12",27.07
"87","2018-06-13",27.959999
"88","2018-06-14",28.85
"89","2018-06-15",28.32
"90","2018-06-18",28.26
"91","2018-06-19",32.66
"92","2018-06-20",31.77
"93","2018-06-21",31.940001
"94","2018-06-22",32.939999
"95","2018-06-25",29.280001
"96","2018-06-26",30.360001
"97","2018-06-27",28.620001
"98","2018-06-28",27.32
"99","2018-06-29",27.99
"100","2018-07-02",29.82
"101","2018-07-03",27.950001
"102","2018-07-05",27.98
"103","2018-07-06",27.360001
"104","2018-07-09",26.58
"105","2018-07-10",24.059999
"106","2018-07-11",27.27
"107","2018-07-12",27.01
"108","2018-07-13",26.17
"109","2018-07-16",25.129999
"110","2018-07-17",22.33
"111","2018-07-18",21.32
"112","2018-07-19",19.75
"113","2018-07-20",20.299999
"114","2018-07-23",20.09
"115","2018-07-24",19.530001
"116","2018-07-25",20.030001
"117","2018-07-26",20.049999
"118","2018-07-27",19.57
"119","2018-07-30",19.09
"120","2018-07-31",19.66
"121","2018-08-01",18.99
"122","2018-08-02",18.73
"123","2018-08-03",20.129999
"124","2018-08-06",20.280001
