"","date","MAGS"
"1","2007-01-03",8.79
"2","2007-01-04",8.74
"3","2007-01-05",8.68
"4","2007-01-08",8.82
"5","2007-01-09",8.85
"6","2007-01-10",9.08
"7","2007-01-11",9.08
"8","2007-01-12",8.89
"9","2007-01-16",9.06
"10","2007-01-17",9
"11","2007-01-18",8.83
"12","2007-01-19",8.96
"13","2007-01-22",8.98
"14","2007-01-23",9.11
"15","2007-01-24",8.94
"16","2007-01-25",9.35
"17","2007-01-26",9.41
"18","2007-01-29",9.32
"19","2007-01-30",9.12
"20","2007-01-31",9.35
"21","2007-02-01",9.67
"22","2007-02-02",9.6
"23","2007-02-05",9.56
"24","2007-02-06",9.65
"25","2007-02-07",9.95
"26","2007-02-08",9.61
"27","2007-02-09",9.62
"28","2007-02-12",9.44
"29","2007-02-13",9.52
"30","2007-02-14",9.66
"31","2007-02-15",9.49
"32","2007-02-16",10.1
"33","2007-02-20",10.09
"34","2007-02-21",10.64
"35","2007-02-22",10.5
"36","2007-02-23",10.55
"37","2007-02-26",10.89
"38","2007-02-27",10.65
"39","2007-02-28",10.81
"40","2007-03-01",10.83
"41","2007-03-02",11.02
"42","2007-03-05",10.9
"43","2007-03-06",11.29
"44","2007-03-07",11.87
"45","2007-03-08",11.95
"46","2007-03-09",11.87
"47","2007-03-12",11.21
"48","2007-03-13",10.62
"49","2007-03-14",10.59
"50","2007-03-15",10.96
"51","2007-03-16",11.15
"52","2007-03-19",10.87
"53","2007-03-20",10.88
"54","2007-03-21",10.92
"55","2007-03-22",10.88
"56","2007-03-23",10.73
"57","2007-03-26",10.66
"58","2007-03-27",10.67
"59","2007-03-28",10.5
"60","2007-03-29",10.88
"61","2007-03-30",11.01
"62","2007-04-02",11.16
"63","2007-04-03",10.76
"64","2007-04-04",10.75
"65","2007-04-05",10.82
"66","2007-04-09",10.92
"67","2007-04-10",10.53
"68","2007-04-11",10.64
"69","2007-04-12",10.67
"70","2007-04-13",10.59
"71","2007-04-16",10.82
"72","2007-04-17",10.68
"73","2007-04-18",10.57
"74","2007-04-19",10.94
"75","2007-04-20",10.7
"76","2007-04-23",10.51
"77","2007-04-24",10.62
"78","2007-04-25",10.76
"79","2007-04-26",10.57
"80","2007-04-27",10.53
"81","2007-04-30",10.51
"82","2007-05-01",10.49
"83","2007-05-02",10.38
"84","2007-05-03",10.3
"85","2007-05-04",10.5
"86","2007-05-07",10.92
"87","2007-05-08",10.6
"88","2007-05-09",10.59
"89","2007-05-10",10.45
"90","2007-05-11",10.83
"91","2007-05-14",10.86
"92","2007-05-15",10.64
"93","2007-05-16",10.53
"94","2007-05-17",10.52
"95","2007-05-18",10.5
"96","2007-05-21",10.41
"97","2007-05-22",10.41
"98","2007-05-23",10.5
"99","2007-05-24",10.39
"100","2007-05-25",10.39
"101","2007-05-29",10.39
"102","2007-05-30",10.39
"103","2007-05-31",10.46
"104","2007-06-01",10.37
"105","2007-06-04",10.44
"106","2007-06-05",10.54
"107","2007-06-06",10.69
"108","2007-06-07",10.4
"109","2007-06-08",10.51
"110","2007-06-11",10.44
"111","2007-06-12",10.31
"112","2007-06-13",10.5
"113","2007-06-14",10.57
"114","2007-06-15",10.6
"115","2007-06-18",10.57
"116","2007-06-19",10.59
"117","2007-06-20",10.4
"118","2007-06-21",10.45
"119","2007-06-22",10.2
"120","2007-06-25",10.14
"121","2007-06-26",10.08
"122","2007-06-27",10.01
"123","2007-06-28",10.19
"124","2007-06-29",10.12
"125","2007-07-02",10.08
"126","2007-07-03",10.01
"127","2007-07-05",10.14
"128","2007-07-06",10.15
"129","2007-07-09",10.1
"130","2007-07-10",10.06
"131","2007-07-11",10.35
"132","2007-07-12",10.21
"133","2007-07-13",10.14
"134","2007-07-16",10.1
"135","2007-07-17",10
"136","2007-07-18",10.06
"137","2007-07-19",10.22
"138","2007-07-20",10.27
"139","2007-07-23",9.94
"140","2007-07-24",9.9
"141","2007-07-25",9.81
"142","2007-07-26",9.25
"143","2007-07-27",9.39
"144","2007-07-30",9.1
"145","2007-07-31",9.24
"146","2007-08-01",9.24
"147","2007-08-02",9.04
"148","2007-08-03",9.02
"149","2007-08-06",9.02
"150","2007-08-07",9
"151","2007-08-08",8.89
"152","2007-08-09",8.87
"153","2007-08-10",8.82
"154","2007-08-13",8.67
"155","2007-08-14",8.4
"156","2007-08-15",8.18
"157","2007-08-16",8.22
"158","2007-08-17",8.25
"159","2007-08-20",8.27
"160","2007-08-21",8.12
"161","2007-08-22",8.25
"162","2007-08-23",8.4
"163","2007-08-24",8.58
"164","2007-08-27",8.9
"165","2007-08-28",8.83
"166","2007-08-29",8.85
"167","2007-08-30",8.91
"168","2007-08-31",8.94
"169","2007-09-04",8.71
"170","2007-09-05",8.86
"171","2007-09-06",9.23
"172","2007-09-07",8.96
"173","2007-09-10",9.67
"174","2007-09-11",9.65
"175","2007-09-12",9.5
"176","2007-09-13",9.36
"177","2007-09-14",9.44
"178","2007-09-17",9.3
"179","2007-09-18",9.15
"180","2007-09-19",9.29
"181","2007-09-20",9.4
"182","2007-09-21",9.24
"183","2007-09-24",9.17
"184","2007-09-25",9.19
"185","2007-09-26",8.87
"186","2007-09-27",8.83
"187","2007-09-28",8.89
"188","2007-10-01",8.9
"189","2007-10-02",8.96
"190","2007-10-03",8.87
"191","2007-10-04",8.86
"192","2007-10-05",8.9
"193","2007-10-08",8.67
"194","2007-10-09",8.91
"195","2007-10-10",8.9
"196","2007-10-11",8.87
"197","2007-10-12",8.99
"198","2007-10-15",8.83
"199","2007-10-16",8.8
"200","2007-10-17",8.89
"201","2007-10-18",8.72
"202","2007-10-19",8.59
"203","2007-10-22",8.51
"204","2007-10-23",8.63
"205","2007-10-24",8.48
"206","2007-10-25",8.57
"207","2007-10-26",8.55
"208","2007-10-29",8.44
"209","2007-10-30",8.3
"210","2007-10-31",8.21
"211","2007-11-01",7.94
"212","2007-11-02",7.83
"213","2007-11-05",7.52
"214","2007-11-06",7.6
"215","2007-11-07",7.49
"216","2007-11-08",7.32
"217","2007-11-09",7.5
"218","2007-11-12",7.37
"219","2007-11-13",7.38
"220","2007-11-14",7.44
"221","2007-11-15",7.2
"222","2007-11-16",7.17
"223","2007-11-19",7.06
"224","2007-11-20",7.13
"225","2007-11-21",7.23
"226","2007-11-23",7.34
"227","2007-11-26",7.4
"228","2007-11-27",7.1
"229","2007-11-28",7.22
"230","2007-11-29",7.4
"231","2007-11-30",7.71
"232","2007-12-03",7.91
"233","2007-12-04",7.34
"234","2007-12-05",7.45
"235","2007-12-06",7.72
"236","2007-12-07",7.54
"237","2007-12-10",7.42
"238","2007-12-11",7.5
"239","2007-12-12",7.36
"240","2007-12-13",7.27
"241","2007-12-14",7.1
"242","2007-12-17",7.13
"243","2007-12-18",7.06
"244","2007-12-19",7.21
"245","2007-12-20",6.96
"246","2007-12-21",7.03
"247","2007-12-24",7.09
"248","2007-12-26",6.76
"249","2007-12-27",6.84
"250","2007-12-28",6.52
"251","2007-12-31",6.33
"252","2008-01-02",6.1
"253","2008-01-03",6.61
"254","2008-01-04",6.26
"255","2008-01-07",6.28
"256","2008-01-08",6.26
"257","2008-01-09",5.82
"258","2008-01-10",5.8
"259","2008-01-11",5.95
"260","2008-01-14",6.12
"261","2008-01-15",6.05
"262","2008-01-16",6.13
"263","2008-01-17",5.61
"264","2008-01-18",5.5
"265","2008-01-22",5.3
"266","2008-01-23",5.3
"267","2008-01-24",5.33
"268","2008-01-25",5.46
"269","2008-01-28",5.7
"270","2008-01-29",6
"271","2008-01-30",7.04
"272","2008-01-31",7.17
"273","2008-02-01",7.25
"274","2008-02-04",7.55
"275","2008-02-05",7.38
"276","2008-02-06",7.31
"277","2008-02-07",7.11
"278","2008-02-08",7.5
"279","2008-02-11",7.29
"280","2008-02-12",7.2
"281","2008-02-13",7.12
"282","2008-02-14",6.97
"283","2008-02-15",6.84
"284","2008-02-19",6.81
"285","2008-02-20",6.94
"286","2008-02-21",6.94
"287","2008-02-22",6.92
"288","2008-02-25",6.8
"289","2008-02-26",6.99
"290","2008-02-27",6.8
"291","2008-02-28",6.81
"292","2008-02-29",6.78
"293","2008-03-03",6.9
"294","2008-03-04",6.8
"295","2008-03-05",6.82
"296","2008-03-06",6.69
"297","2008-03-07",6.48
"298","2008-03-10",6.38
"299","2008-03-11",7
"300","2008-03-12",7.05
"301","2008-03-13",7.25
"302","2008-03-14",7
