"","date","QK"
"1","2019-11-05",17.639999
"2","2019-11-06",18.075001
"3","2019-11-07",19
"4","2019-11-08",19.049999
"5","2019-11-11",18.379999
"6","2019-11-12",18.139999
"7","2019-11-13",17.5
"8","2019-11-14",16.5
"9","2019-11-15",13.711
"10","2019-11-18",14.06
"11","2019-11-19",14.38
"12","2019-11-20",14.49
"13","2019-11-21",15.1
"14","2019-11-22",15.05
"15","2019-11-25",14.94
"16","2019-11-26",14.98
"17","2019-11-27",15.1
"18","2019-11-29",14.72
"19","2019-12-02",15.15
"20","2019-12-03",15.8
"21","2019-12-04",15.48
"22","2019-12-05",14.48
"23","2019-12-06",14.38
"24","2019-12-09",13.48
"25","2019-12-10",13.45
"26","2019-12-11",13.1
"27","2019-12-12",11.13
"28","2019-12-13",10.94
"29","2019-12-16",11.04
"30","2019-12-17",10.71
"31","2019-12-18",10.3
"32","2019-12-19",10.72
"33","2019-12-20",10.68
"34","2019-12-23",11
"35","2019-12-24",11.05
"36","2019-12-26",10.16
"37","2019-12-27",10.98
"38","2019-12-30",10.5
"39","2019-12-31",11
"40","2020-01-02",11.32
"41","2020-01-03",11.12
"42","2020-01-06",11.64
"43","2020-01-07",11.48
"44","2020-01-08",12.45
"45","2020-01-09",11.8
"46","2020-01-10",11.99
"47","2020-01-13",11.79
"48","2020-01-14",11.09
"49","2020-01-15",10.95
"50","2020-01-16",12.49
"51","2020-01-17",12.01
"52","2020-01-21",12.5
"53","2020-01-22",12.22
"54","2020-01-23",12
"55","2020-01-24",12.034
"56","2020-01-27",11.75
"57","2020-01-28",12.5
"58","2020-01-29",12.45
"59","2020-01-30",12.45
"60","2020-01-31",12.2
"61","2020-02-03",12.5
"62","2020-02-04",12.5
"63","2020-02-05",12.49
"64","2020-02-06",12.55
"65","2020-02-07",12.48
"66","2020-02-10",12.41
"67","2020-02-11",12.41
"68","2020-02-12",12.41
"69","2020-02-13",12.41
"70","2020-02-14",12.41
"71","2020-02-18",12.41
"72","2020-02-19",12.41
"73","2020-02-20",12.45
"74","2020-02-21",12.45
"75","2020-02-24",12.4
"76","2020-02-25",12.4
"77","2020-02-26",11.989
"78","2020-02-27",11.75
"79","2020-02-28",11.75
"80","2020-03-02",11.75
"81","2020-03-03",11.76
"82","2020-03-04",11.76
"83","2020-03-05",11.76
"84","2020-03-06",12.4
"85","2020-03-09",12.49
"86","2020-03-10",12.39
"87","2020-03-11",12.1
"88","2020-03-12",12.5
"89","2020-03-13",12.39
"90","2020-03-16",12.3
"91","2020-03-17",12.3
"92","2020-03-18",12.6
"93","2020-03-19",12.6
"94","2020-03-20",12.6
"95","2020-03-23",11.48
"96","2020-03-24",11.45
"97","2020-03-25",11
"98","2020-03-26",11
"99","2020-03-27",12.5
"100","2020-03-30",12.6
"101","2020-03-31",12.6
"102","2020-04-01",12.6
"103","2020-04-02",12.6
"104","2020-04-03",12.6
"105","2020-04-06",12.5
"106","2020-04-07",12.5
"107","2020-04-08",12.5
"108","2020-04-09",12.5
"109","2020-04-13",12.5
"110","2020-04-14",12.5
"111","2020-04-15",12.49
"112","2020-04-16",12.5
"113","2020-04-17",12.5
"114","2020-04-20",12.4
"115","2020-04-21",12.6
"116","2020-04-22",12.6
"117","2020-04-23",12.6
"118","2020-04-24",12.6
"119","2020-04-27",12.6
"120","2020-04-28",12.55
"121","2020-04-29",12.55
"122","2020-04-30",12.55
"123","2020-05-01",12.55
"124","2020-05-04",11.863
"125","2020-05-05",12.6
"126","2020-05-06",12.6
"127","2020-05-07",12.6
"128","2020-05-08",12.6
"129","2020-05-11",12.6
"130","2020-05-12",12.6
"131","2020-05-13",12.6
"132","2020-05-14",12.6
"133","2020-05-15",12.6
"134","2020-05-18",12.6
"135","2020-05-19",12.6
"136","2020-05-20",12.6
"137","2020-05-21",12.01
"138","2020-05-22",12
