"","date","WIT"
"1","2007-01-03",4.38091
"2","2007-01-04",4.370205
"3","2007-01-05",4.244425
"4","2007-01-08",4.223015
"5","2007-01-09",4.217663
"6","2007-01-10",4.214987
"7","2007-01-11",4.423729
"8","2007-01-12",4.504014
"9","2007-01-16",4.570919
"10","2007-01-17",4.747547
"11","2007-01-18",4.603033
"12","2007-01-19",4.495986
"13","2007-01-22",4.552186
"14","2007-01-23",4.54951
"15","2007-01-24",4.6405
"16","2007-01-25",4.578948
"17","2007-01-26",4.637824
"18","2007-01-29",4.560214
"19","2007-01-30",4.605709
"20","2007-01-31",4.632471
"21","2007-02-01",4.629795
"22","2007-02-02",4.694023
"23","2007-02-05",4.683319
"24","2007-02-06",4.726137
"25","2007-02-07",4.814451
"26","2007-02-08",4.819804
"27","2007-02-09",4.667262
"28","2007-02-12",4.627119
"29","2007-02-13",4.736842
"30","2007-02-14",4.795718
"31","2007-02-15",4.873327
"32","2007-02-16",4.902765
"33","2007-02-20",4.902765
"34","2007-02-21",4.884032
"35","2007-02-22",4.811775
"36","2007-02-23",4.685995
"37","2007-02-26",4.586976
"38","2007-02-27",4.308653
"39","2007-02-28",4.244425
"40","2007-03-01",4.188225
"41","2007-03-02",4.097235
"42","2007-03-05",3.963425
"43","2007-03-06",4.190901
"44","2007-03-07",4.12132
"45","2007-03-08",4.279215
"46","2007-03-09",4.279215
"47","2007-03-12",4.335415
"48","2007-03-13",4.193577
"49","2007-03-14",4.180196
"50","2007-03-15",4.21231
"51","2007-03-16",4.182872
"52","2007-03-19",4.297948
"53","2007-03-20",4.319358
"54","2007-03-21",4.434433
"55","2007-03-22",4.445138
"56","2007-03-23",4.479928
"57","2007-03-26",4.447814
"58","2007-03-27",4.38091
"59","2007-03-28",4.319358
"60","2007-03-29",4.28992
"61","2007-03-30",4.214987
"62","2007-04-02",4.08653
"63","2007-04-03",4.263158
"64","2007-04-04",4.236396
"65","2007-04-05",4.220339
"66","2007-04-09",4.354148
"67","2007-04-10",4.367529
"68","2007-04-11",4.263158
"69","2007-04-12",4.327386
"70","2007-04-13",4.434433
"71","2007-04-16",4.544157
"72","2007-04-17",4.522748
"73","2007-04-18",4.458519
"74","2007-04-19",4.512043
"75","2007-04-20",4.490633
"76","2007-04-23",4.43711
"77","2007-04-24",4.362176
"78","2007-04-25",4.413024
"79","2007-04-26",4.479928
"80","2007-04-27",4.445138
"81","2007-04-30",4.418376
"82","2007-05-01",4.43711
"83","2007-05-02",4.512043
"84","2007-05-03",4.552186
"85","2007-05-04",4.541481
"86","2007-05-07",4.43711
"87","2007-05-08",4.421052
"88","2007-05-09",4.4719
"89","2007-05-10",4.346119
"90","2007-05-11",4.423729
"91","2007-05-14",4.356824
"92","2007-05-15",4.364853
"93","2007-05-16",4.43711
"94","2007-05-17",4.469224
"95","2007-05-18",4.461195
"96","2007-05-21",4.402319
"97","2007-05-22",4.351472
"98","2007-05-23",4.300624
"99","2007-05-24",4.17752
"100","2007-05-25",4.297948
"101","2007-05-29",4.21231
"102","2007-05-30",4.335415
"103","2007-05-31",4.354148
"104","2007-06-01",4.367529
"105","2007-06-04",4.276539
"106","2007-06-05",4.297948
"107","2007-06-06",4.28992
"108","2007-06-07",4.169491
"109","2007-06-08",4.305977
"110","2007-06-11",4.276539
"111","2007-06-12",4.204282
"112","2007-06-13",4.241748
"113","2007-06-14",4.28992
"114","2007-06-15",4.314005
"115","2007-06-18",4.206958
"116","2007-06-19",4.26851
"117","2007-06-20",4.225691
"118","2007-06-21",4.231044
"119","2007-06-22",4.164139
