"","date","ASTC"
"1","2007-01-03",34.5
"2","2007-01-04",33.5
"3","2007-01-05",34
"4","2007-01-08",34.5
"5","2007-01-09",35
"6","2007-01-10",34
"7","2007-01-11",34
"8","2007-01-12",35
"9","2007-01-16",36
"10","2007-01-17",37
"11","2007-01-18",40
"12","2007-01-19",40
"13","2007-01-22",39.5
"14","2007-01-23",41.5
"15","2007-01-24",42
"16","2007-01-25",42
"17","2007-01-26",42.5
"18","2007-01-29",47
"19","2007-01-30",59
"20","2007-01-31",56.5
"21","2007-02-01",52.5
"22","2007-02-02",52
"23","2007-02-05",47
"24","2007-02-06",45.5
"25","2007-02-07",42.5
"26","2007-02-08",43
"27","2007-02-09",44.5
"28","2007-02-12",42.5
"29","2007-02-13",39
"30","2007-02-14",37.5
"31","2007-02-15",37.5
"32","2007-02-16",37
"33","2007-02-20",36
"34","2007-02-21",36
"35","2007-02-22",34
"36","2007-02-23",34
"37","2007-02-26",35
"38","2007-02-27",33.5
"39","2007-02-28",33.5
"40","2007-03-01",32.5
"41","2007-03-02",33.5
"42","2007-03-05",32.5
"43","2007-03-06",31.5
"44","2007-03-07",34.5
"45","2007-03-08",33.5
"46","2007-03-09",33
"47","2007-03-12",34
"48","2007-03-13",31.5
"49","2007-03-14",31.5
"50","2007-03-15",33.5
"51","2007-03-16",33
"52","2007-03-19",32
"53","2007-03-20",32
"54","2007-03-21",31
"55","2007-03-22",30.5
"56","2007-03-23",31
"57","2007-03-26",31
"58","2007-03-27",31
"59","2007-03-28",30.5
"60","2007-03-29",31
"61","2007-03-30",29.5
"62","2007-04-02",27
"63","2007-04-03",24
"64","2007-04-04",28
"65","2007-04-05",30.5
"66","2007-04-09",32
"67","2007-04-10",31.5
"68","2007-04-11",31.5
"69","2007-04-12",32
"70","2007-04-13",33
"71","2007-04-16",31
"72","2007-04-17",30.5
"73","2007-04-18",30.5
"74","2007-04-19",30
"75","2007-04-20",29
"76","2007-04-23",29
"77","2007-04-24",28
"78","2007-04-25",29
"79","2007-04-26",29
"80","2007-04-27",28
"81","2007-04-30",29
"82","2007-05-01",29
"83","2007-05-02",28.5
"84","2007-05-03",28
"85","2007-05-04",29.5
"86","2007-05-07",28
"87","2007-05-08",28
"88","2007-05-09",27.5
"89","2007-05-10",28
"90","2007-05-11",28.5
"91","2007-05-14",27
"92","2007-05-15",27.5
"93","2007-05-16",26
"94","2007-05-17",25
"95","2007-05-18",25.5
"96","2007-05-21",26
"97","2007-05-22",26.5
"98","2007-05-23",24
"99","2007-05-24",24
"100","2007-05-25",25
"101","2007-05-29",24.5
"102","2007-05-30",25.5
"103","2007-05-31",26.5
"104","2007-06-01",26
"105","2007-06-04",25
"106","2007-06-05",27.5
"107","2007-06-06",27
"108","2007-06-07",29
"109","2007-06-08",27
"110","2007-06-11",28
"111","2007-06-12",27
"112","2007-06-13",27
"113","2007-06-14",28
"114","2007-06-15",24.5
"115","2007-06-18",28
"116","2007-06-19",31
"117","2007-06-20",32
"118","2007-06-21",37
"119","2007-06-22",36
"120","2007-06-25",38
"121","2007-06-26",35.5
"122","2007-06-27",35
"123","2007-06-28",33.5
"124","2007-06-29",32.5
"125","2007-07-02",31.5
"126","2007-07-03",32
"127","2007-07-05",31
"128","2007-07-06",29
"129","2007-07-09",28
"130","2007-07-10",28.5
"131","2007-07-11",30
"132","2007-07-12",29
"133","2007-07-13",28
"134","2007-07-16",29
"135","2007-07-17",29
"136","2007-07-18",28
"137","2007-07-19",29
"138","2007-07-20",29
"139","2007-07-23",29
"140","2007-07-24",29.5
"141","2007-07-25",28.5
"142","2007-07-26",27
"143","2007-07-27",27.5
"144","2007-07-30",26.5
"145","2007-07-31",26.5
"146","2007-08-01",26
"147","2007-08-02",25.5
"148","2007-08-03",26.5
"149","2007-08-06",24.5
"150","2007-08-07",25.5
"151","2007-08-08",25.5
"152","2007-08-09",25.5
"153","2007-08-10",25.5
"154","2007-08-13",24.5
"155","2007-08-14",23.5
"156","2007-08-15",24.5
"157","2007-08-16",23.5
