"","date","JBGS"
"1","2017-07-06",31.813
"2","2017-07-07",34.650002
"3","2017-07-10",33.150002
"4","2017-07-11",34.880001
"5","2017-07-12",34.562
"6","2017-07-13",35.139999
"7","2017-07-14",37
"8","2017-07-17",37.23
"9","2017-07-18",37.240002
"10","2017-07-19",35.990002
"11","2017-07-20",36.369999
"12","2017-07-21",36.189999
"13","2017-07-24",35.099998
"14","2017-07-25",35
"15","2017-07-26",35.110001
"16","2017-07-27",34.959999
"17","2017-07-28",35.27
"18","2017-07-31",35.48
"19","2017-08-01",35.240002
"20","2017-08-02",35.259998
"21","2017-08-03",34.490002
"22","2017-08-04",34.099998
"23","2017-08-07",33.959999
"24","2017-08-08",33.700001
"25","2017-08-09",33.52
"26","2017-08-10",33.349998
"27","2017-08-11",33.889999
"28","2017-08-14",34.360001
"29","2017-08-15",33.709999
"30","2017-08-16",34.02
"31","2017-08-17",33.75
"32","2017-08-18",33.400002
"33","2017-08-21",33.759998
"34","2017-08-22",33.5
"35","2017-08-23",33.669998
"36","2017-08-24",33.439999
"37","2017-08-25",33.52
"38","2017-08-28",33.77
"39","2017-08-29",33.209999
"40","2017-08-30",33.07
"41","2017-08-31",32.73
"42","2017-09-01",32.669998
"43","2017-09-05",32.330002
"44","2017-09-06",32.220001
"45","2017-09-07",32.93
"46","2017-09-08",33.16
"47","2017-09-11",33.549999
"48","2017-09-12",33.700001
"49","2017-09-13",33.43
"50","2017-09-14",33.5
"51","2017-09-15",32.700001
"52","2017-09-18",32.34
"53","2017-09-19",32.389999
"54","2017-09-20",32.259998
"55","2017-09-21",32.650002
"56","2017-09-22",32.91
"57","2017-09-25",33.130001
"58","2017-09-26",33.439999
"59","2017-09-27",34
"60","2017-09-28",34.049999
"61","2017-09-29",34.209999
"62","2017-10-02",34.150002
"63","2017-10-03",33.950001
"64","2017-10-04",33.23
"65","2017-10-05",33.349998
"66","2017-10-06",32.919998
"67","2017-10-09",32.66
"68","2017-10-10",32.880001
"69","2017-10-11",32.91
"70","2017-10-12",32.919998
"71","2017-10-13",32.75
"72","2017-10-16",32.610001
"73","2017-10-17",32.470001
"74","2017-10-18",32.16
"75","2017-10-19",31.76
"76","2017-10-20",31.41
"77","2017-10-23",31.41
"78","2017-10-24",31.26
"79","2017-10-25",31.15
"80","2017-10-26",31.1
"81","2017-10-27",31.25
"82","2017-10-30",31.26
"83","2017-10-31",31.209999
"84","2017-11-01",31.35
"85","2017-11-02",31.58
"86","2017-11-03",31.549999
"87","2017-11-06",31.84
"88","2017-11-07",32.310001
"89","2017-11-08",32.599998
"90","2017-11-09",32.560001
"91","2017-11-10",32.66
"92","2017-11-13",32.360001
"93","2017-11-14",32.919998
"94","2017-11-15",32.5
"95","2017-11-16",32.549999
"96","2017-11-17",32.490002
"97","2017-11-20",32.630001
"98","2017-11-21",32.919998
"99","2017-11-22",33.09
