"","date","VALU"
"1","2007-01-03",45.75
"2","2007-01-04",46
"3","2007-01-05",45.48
"4","2007-01-08",45.200001
"5","2007-01-09",45.02
"6","2007-01-10",46.009998
"7","2007-01-11",46.470001
"8","2007-01-12",46.25
"9","2007-01-16",45.200001
"10","2007-01-17",45.009998
"11","2007-01-18",45.5
"12","2007-01-19",44.810001
"13","2007-01-22",45.650002
"14","2007-01-23",46.389999
"15","2007-01-24",46.48
"16","2007-01-25",46
"17","2007-01-26",46.259998
"18","2007-01-29",47.439999
"19","2007-01-30",47.810001
"20","2007-01-31",47.200001
"21","2007-02-01",47.759998
"22","2007-02-02",47.799999
"23","2007-02-05",47.849998
"24","2007-02-06",47.299999
"25","2007-02-07",48.02
"26","2007-02-08",46.799999
"27","2007-02-09",45.630001
"28","2007-02-12",46.360001
"29","2007-02-13",46.360001
"30","2007-02-14",45.48
"31","2007-02-15",45.279999
"32","2007-02-16",45.619999
"33","2007-02-20",46.43
"34","2007-02-21",46.740002
"35","2007-02-22",46.950001
"36","2007-02-23",46.82
"37","2007-02-26",46.970001
"38","2007-02-27",46.400002
"39","2007-02-28",44.509998
"40","2007-03-01",45.240002
"41","2007-03-02",46.68
"42","2007-03-05",45.509998
"43","2007-03-06",46.060001
"44","2007-03-07",46.84
"45","2007-03-08",46.700001
"46","2007-03-09",46.59
"47","2007-03-12",47.310001
"48","2007-03-13",45.73
"49","2007-03-14",45.599998
"50","2007-03-15",46.150002
"51","2007-03-16",46.060001
"52","2007-03-19",45.810001
"53","2007-03-20",45.459999
"54","2007-03-21",45.57
"55","2007-03-22",45.799999
"56","2007-03-23",46.02
"57","2007-03-26",48
"58","2007-03-27",48.389999
"59","2007-03-28",48.349998
"60","2007-03-29",48.279999
"61","2007-03-30",47.799999
"62","2007-04-02",47.919998
"63","2007-04-03",47.869999
"64","2007-04-04",46.709999
"65","2007-04-05",45.990002
"66","2007-04-09",45.209999
"67","2007-04-10",45.459999
"68","2007-04-11",45.689999
"69","2007-04-12",45.200001
"70","2007-04-13",45.310001
"71","2007-04-16",44.950001
"72","2007-04-17",45
"73","2007-04-18",45
"74","2007-04-19",45
"75","2007-04-20",46.16
"76","2007-04-23",48.099998
"77","2007-04-24",49.099998
"78","2007-04-25",49.150002
"79","2007-04-26",49.040001
"80","2007-04-27",48.200001
"81","2007-04-30",47.18
"82","2007-05-01",45.400002
"83","2007-05-02",46.759998
"84","2007-05-03",48.66
"85","2007-05-04",50.689999
"86","2007-05-07",51.25
"87","2007-05-08",50.150002
"88","2007-05-09",50.849998
"89","2007-05-10",50.549999
"90","2007-05-11",51.439999
