"","date","HUD"
"1","2018-02-01",17.6
"2","2018-02-02",18
"3","2018-02-05",17.360001
"4","2018-02-06",17.33
"5","2018-02-07",17.42
"6","2018-02-08",16.469999
"7","2018-02-09",16.290001
"8","2018-02-12",16.1
"9","2018-02-13",15.8
"10","2018-02-14",15.54
"11","2018-02-15",15.4
"12","2018-02-16",15.36
"13","2018-02-20",15.4
"14","2018-02-21",15.9
"15","2018-02-22",16.23
"16","2018-02-23",16.76
"17","2018-02-26",16.5
"18","2018-02-27",15.77
"19","2018-02-28",15.61
"20","2018-03-01",15
"21","2018-03-02",15.03
"22","2018-03-05",15.09
"23","2018-03-06",15.1
"24","2018-03-07",16.01
"25","2018-03-08",16.23
"26","2018-03-09",16.209999
"27","2018-03-12",16.34
"28","2018-03-13",16.25
"29","2018-03-14",16.26
"30","2018-03-15",15.9
"31","2018-03-16",15.64
"32","2018-03-19",15.31
"33","2018-03-20",14.87
"34","2018-03-21",15.42
"35","2018-03-22",15.63
"36","2018-03-23",15.79
"37","2018-03-26",15.96
"38","2018-03-27",15.49
"39","2018-03-28",15.18
"40","2018-03-29",15.91
"41","2018-04-02",15.51
"42","2018-04-03",15.21
"43","2018-04-04",14.98
"44","2018-04-05",14.81
"45","2018-04-06",14.8
"46","2018-04-09",14.78
"47","2018-04-10",14.84
"48","2018-04-11",14.94
"49","2018-04-12",15.18
"50","2018-04-13",15.16
"51","2018-04-16",15.2
"52","2018-04-17",15.41
"53","2018-04-18",15.67
"54","2018-04-19",14.89
"55","2018-04-20",14.88
"56","2018-04-23",15.1
"57","2018-04-24",14.84
"58","2018-04-25",14.39
"59","2018-04-26",14.91
"60","2018-04-27",14.77
"61","2018-04-30",14.83
"62","2018-05-01",14.63
"63","2018-05-02",14.92
"64","2018-05-03",14.99
"65","2018-05-04",14.93
"66","2018-05-07",15.14
"67","2018-05-08",16
"68","2018-05-09",16.809999
"69","2018-05-10",17.610001
"70","2018-05-11",17.4
"71","2018-05-14",16.700001
"72","2018-05-15",17.440001
"73","2018-05-16",17.5
"74","2018-05-17",17.5
"75","2018-05-18",17.459999
"76","2018-05-21",17.52
"77","2018-05-22",17.4
"78","2018-05-23",17.73
"79","2018-05-24",18.030001
"80","2018-05-25",17.57
"81","2018-05-29",17.530001
"82","2018-05-30",17.709999
"83","2018-05-31",17.52
"84","2018-06-01",17.870001
"85","2018-06-04",18.059999
"86","2018-06-05",18.32
"87","2018-06-06",18.51
"88","2018-06-07",18.469999
"89","2018-06-08",18.360001
"90","2018-06-11",18.52
"91","2018-06-12",18.68
"92","2018-06-13",18.690001
"93","2018-06-14",18.65
"94","2018-06-15",18.77
"95","2018-06-18",18.57
"96","2018-06-19",18.59
"97","2018-06-20",18.620001
"98","2018-06-21",18.23
"99","2018-06-22",18.450001
"100","2018-06-25",18.07
"101","2018-06-26",18.219999
"102","2018-06-27",17.629999
"103","2018-06-28",17.389999
"104","2018-06-29",17.49
"105","2018-07-02",17.32
"106","2018-07-03",17.18
"107","2018-07-05",18.01
"108","2018-07-06",17.889999
"109","2018-07-09",17.639999
"110","2018-07-10",17.459999
"111","2018-07-11",17.370001
"112","2018-07-12",17.32
"113","2018-07-13",17.309999
"114","2018-07-16",17.09
"115","2018-07-17",17.07
"116","2018-07-18",17.32
"117","2018-07-19",17.200001
"118","2018-07-20",17.059999
"119","2018-07-23",17.110001
"120","2018-07-24",17.23
"121","2018-07-25",17.16
"122","2018-07-26",16.940001
"123","2018-07-27",16.280001
"124","2018-07-30",16.290001
"125","2018-07-31",16.9
"126","2018-08-01",17.34
"127","2018-08-02",17.040001
"128","2018-08-03",18.66
"129","2018-08-06",18.99
"130","2018-08-07",18.93
"131","2018-08-08",18.889999
"132","2018-08-09",19.02
"133","2018-08-10",19.16
"134","2018-08-13",19.1
"135","2018-08-14",19.25
"136","2018-08-15",18.889999
"137","2018-08-16",19.059999
"138","2018-08-17",19.1
"139","2018-08-20",19.15
"140","2018-08-21",18.99
"141","2018-08-22",18.93
"142","2018-08-23",18.969999
"143","2018-08-24",18.959999
"144","2018-08-27",18.959999
"145","2018-08-28",19
"146","2018-08-29",19.700001
"147","2018-08-30",20.09
"148","2018-08-31",20.6
"149","2018-09-04",20.809999
"150","2018-09-05",21.49
"151","2018-09-06",21.469999
"152","2018-09-07",21.5
"153","2018-09-10",21.74
"154","2018-09-11",22.299999
"155","2018-09-12",22.299999
"156","2018-09-13",22.49
"157","2018-09-14",22.66
"158","2018-09-17",22.51
"159","2018-09-18",22.809999
"160","2018-09-19",22.639999
"161","2018-09-20",22.73
"162","2018-09-21",22.74
"163","2018-09-24",22.57
"164","2018-09-25",22.99
"165","2018-09-26",22.370001
"166","2018-09-27",22.58
"167","2018-09-28",22.559999
"168","2018-10-01",22.129999
"169","2018-10-02",21.950001
"170","2018-10-03",22
"171","2018-10-04",21.559999
"172","2018-10-05",21.870001
"173","2018-10-08",21.700001
"174","2018-10-09",21.459999
"175","2018-10-10",20.91
"176","2018-10-11",21.379999
"177","2018-10-12",21.709999
"178","2018-10-15",21.67
"179","2018-10-16",21.85
"180","2018-10-17",21.73
"181","2018-10-18",21.59
"182","2018-10-19",21.059999
"183","2018-10-22",21.540001
"184","2018-10-23",21.99
"185","2018-10-24",20.940001
"186","2018-10-25",21.07
"187","2018-10-26",20.82
"188","2018-10-29",20.290001
"189","2018-10-30",20.790001
"190","2018-10-31",21.139999
"191","2018-11-01",21.059999
"192","2018-11-02",20.98
"193","2018-11-05",19.809999
"194","2018-11-06",20.41
"195","2018-11-07",20.5
"196","2018-11-08",20.5
"197","2018-11-09",20.07
