"","date","MCBC"
"1","2007-01-03",19.590477
"2","2007-01-04",19.628571
"3","2007-01-05",18.857143
"4","2007-01-08",19.019047
"5","2007-01-09",19.028572
"6","2007-01-10",18.761906
"7","2007-01-11",18.742857
"8","2007-01-12",18.904762
"9","2007-01-16",19.057142
"10","2007-01-17",18.647619
"11","2007-01-18",18.580952
"12","2007-01-19",18.619047
"13","2007-01-22",18.628571
"14","2007-01-23",18.676191
"15","2007-01-24",18.857143
"16","2007-01-25",18.257143
"17","2007-01-26",18.380953
"18","2007-01-29",18.476191
"19","2007-01-30",18.780952
"20","2007-01-31",18.704762
"21","2007-02-01",18.6
"22","2007-02-02",18.590477
"23","2007-02-05",18.27619
"24","2007-02-06",18.266666
"25","2007-02-07",18.342857
"26","2007-02-08",18.314285
"27","2007-02-09",18.076191
"28","2007-02-12",18.238094
"29","2007-02-13",18.314285
"30","2007-02-14",18.057142
"31","2007-02-15",17.990477
"32","2007-02-16",18.161905
"33","2007-02-20",18.333334
"34","2007-02-21",18.333334
"35","2007-02-22",18.504763
"36","2007-02-23",18.304762
"37","2007-02-26",18.142857
"38","2007-02-27",17.619047
"39","2007-02-28",17.866667
"40","2007-03-01",17.799999
"41","2007-03-02",17.495237
"42","2007-03-05",17.190475
"43","2007-03-06",17.990477
"44","2007-03-07",17.619047
"45","2007-03-08",17.75238
"46","2007-03-09",18.095238
"47","2007-03-12",18.066668
"48","2007-03-13",17.638096
"49","2007-03-14",18
"50","2007-03-15",18.038095
"51","2007-03-16",17.895239
"52","2007-03-19",17.838095
"53","2007-03-20",17.980953
"54","2007-03-21",18.361904
"55","2007-03-22",18.200001
"56","2007-03-23",18.266666
"57","2007-03-26",18.161905
"58","2007-03-27",17.980953
"59","2007-03-28",17.619047
"60","2007-03-29",17.619047
"61","2007-03-30",17.523809
"62","2007-04-02",17.590477
"63","2007-04-03",17.714285
"64","2007-04-04",17.790476
"65","2007-04-05",17.695238
"66","2007-04-09",17.638096
"67","2007-04-10",17.390476
"68","2007-04-11",16.980953
"69","2007-04-12",17.047619
"70","2007-04-13",17.076191
"71","2007-04-16",17.619047
"72","2007-04-17",16.904762
"73","2007-04-18",16.380953
"74","2007-04-19",16.114286
"75","2007-04-20",15.904762
"76","2007-04-23",15.542857
"77","2007-04-24",15.523809
"78","2007-04-25",16.057142
"79","2007-04-26",15.942857
"80","2007-04-27",15.742857
"81","2007-04-30",15.4
"82","2007-05-01",15.371428
"83","2007-05-02",15.609524
"84","2007-05-03",15.342857
"85","2007-05-04",15.971429
"86","2007-05-07",15.609524
"87","2007-05-08",15.380953
"88","2007-05-09",15.46
"89","2007-05-10",15.01
"90","2007-05-11",15.15
"91","2007-05-14",15
"92","2007-05-15",14.94
"93","2007-05-16",14.99
"94","2007-05-17",14.85
"95","2007-05-18",15
"96","2007-05-21",15.38
"97","2007-05-22",15.41
"98","2007-05-23",15.39
"99","2007-05-24",15.24
"100","2007-05-25",15.3
"101","2007-05-29",15.59
"102","2007-05-30",15.57
"103","2007-05-31",15.66
"104","2007-06-01",15.78
"105","2007-06-04",15.49
"106","2007-06-05",15.15
"107","2007-06-06",15.17
"108","2007-06-07",14.75
"109","2007-06-08",14.99
"110","2007-06-11",14.79
"111","2007-06-12",15.03
"112","2007-06-13",15.31
"113","2007-06-14",15.35
"114","2007-06-15",15.42
"115","2007-06-18",15.34
