"","date","QRHC"
"1","2010-01-05",12
"2","2010-01-06",10.8
"3","2010-01-07",11.2
"4","2010-01-08",11.2
"5","2010-01-11",10.8
"6","2010-01-12",10.4
"7","2010-01-13",10
"8","2010-01-14",10
"9","2010-01-15",10
"10","2010-01-19",9.6
"11","2010-01-20",9.6
"12","2010-01-21",9.6
"13","2010-01-22",9.6
"14","2010-01-25",9.2
"15","2010-01-26",9.2
"16","2010-01-27",9.2
"17","2010-01-28",10
"18","2010-01-29",9.2
"19","2010-02-01",9.2
"20","2010-02-02",8.8
"21","2010-02-03",9.2
"22","2010-02-04",9.2
"23","2010-02-05",11.2
"24","2010-02-08",9.2
"25","2010-02-09",9.6
"26","2010-02-10",9.6
"27","2010-02-11",9.6
"28","2010-02-12",8.8
"29","2010-02-16",11.6
"30","2010-02-17",10
"31","2010-02-18",9.6
"32","2010-02-19",10
"33","2010-02-22",11.6
"34","2010-02-23",10.8
"35","2010-02-24",10.8
"36","2010-02-25",10.4
"37","2010-02-26",10
"38","2010-03-01",12
"39","2010-03-02",11.2
"40","2010-03-03",11.2
"41","2010-03-04",10.8
"42","2010-03-05",11.2
"43","2010-03-08",10.4
"44","2010-03-09",12
"45","2010-03-10",11.6
"46","2010-03-11",12
"47","2010-03-12",10.8
"48","2010-03-15",9.6
"49","2010-03-16",10.8
"50","2010-03-17",11.6
"51","2010-03-18",11.6
"52","2010-03-19",11.6
"53","2010-03-22",11.6
"54","2010-03-23",11.6
"55","2010-03-24",12
"56","2010-03-25",12
"57","2010-03-26",11.6
"58","2010-03-29",12
"59","2010-03-30",13.6
"60","2010-03-31",10.4
"61","2010-04-01",12
"62","2010-04-05",12
"63","2010-04-06",14
"64","2010-04-07",13.6
"65","2010-04-08",14
"66","2010-04-09",12
"67","2010-04-12",14
"68","2010-04-13",15.2
"69","2010-04-14",15.2
"70","2010-04-15",15.2
"71","2010-04-16",14
"72","2010-04-19",13.6
"73","2010-04-20",16
"74","2010-04-21",16.799999
"75","2010-04-22",16.799999
"76","2010-04-23",15.2
"77","2010-04-26",16
"78","2010-04-27",16
"79","2010-04-28",16.799999
"80","2010-04-29",14.4
"81","2010-04-30",14.4
"82","2010-05-03",14.4
"83","2010-05-04",13.2
"84","2010-05-05",13.6
"85","2010-05-06",12
"86","2010-05-07",12.8
"87","2010-05-10",11.2
"88","2010-05-11",12.8
"89","2010-05-12",12.4
"90","2010-05-13",12.8
"91","2010-05-14",15.6
"92","2010-05-17",16.799999
"93","2010-05-18",13.6
"94","2010-05-19",13.2
"95","2010-05-20",12.4
"96","2010-05-21",12.4
"97","2010-05-24",12.4
"98","2010-05-25",12.4
"99","2010-05-26",12.4
"100","2010-05-27",12
"101","2010-05-28",12
"102","2010-06-01",12.8
"103","2010-06-02",13.6
"104","2010-06-03",13.6
"105","2010-06-04",14.4
"106","2010-06-07",13.2
"107","2010-06-08",13.2
"108","2010-06-09",15.2
"109","2010-06-10",13.6
"110","2010-06-11",13.6
"111","2010-06-14",12
"112","2010-06-15",14
"113","2010-06-16",14
"114","2010-06-17",14.4
"115","2010-06-18",15.2
"116","2010-06-21",15.2
"117","2010-06-22",12
"118","2010-06-23",12
"119","2010-06-24",12
"120","2010-06-25",12
"121","2010-06-28",12
"122","2010-06-29",10
"123","2010-06-30",11.2
"124","2010-07-01",11.2
"125","2010-07-02",11.2
"126","2010-07-06",11.2
"127","2010-07-07",8.8
"128","2010-07-08",10
"129","2010-07-09",8.8
"130","2010-07-12",8.8
"131","2010-07-13",8.8
"132","2010-07-14",6.8
"133","2010-07-15",9.6
"134","2010-07-16",10
"135","2010-07-19",10
"136","2010-07-20",8
"137","2010-07-21",12
"138","2010-07-22",11.2
"139","2010-07-23",11.2
"140","2010-07-26",6.8
"141","2010-07-27",10.8
"142","2010-07-28",10.8
"143","2010-07-29",7.6
"144","2010-07-30",8.4
"145","2010-08-02",6.4
"146","2010-08-03",5.6
"147","2010-08-04",8.8
"148","2010-08-05",7.6
"149","2010-08-06",7.6
"150","2010-08-09",6.4
"151","2010-08-10",8.8
"152","2010-08-11",8.8
"153","2010-08-12",10
"154","2010-08-13",13.2
"155","2010-08-16",13.2
"156","2010-08-17",12.8
"157","2010-08-18",11.6
"158","2010-08-19",11.6
