"","date","ACHV"
"1","2007-01-03",238392
"2","2007-01-04",239184
"3","2007-01-05",236412
"4","2007-01-08",232452
"5","2007-01-09",238392
"6","2007-01-10",234432
"7","2007-01-11",235224
"8","2007-01-12",237600
"9","2007-01-16",237204
"10","2007-01-17",237996
"11","2007-01-18",236016
"12","2007-01-19",232848
"13","2007-01-22",227304
"14","2007-01-23",230868
"15","2007-01-24",229680
"16","2007-01-25",226908
"17","2007-01-26",220968
"18","2007-01-29",221760
"19","2007-01-30",221760
"20","2007-01-31",226512
"21","2007-02-01",222552
"22","2007-02-02",221364
"23","2007-02-05",212256
"24","2007-02-06",204336
"25","2007-02-07",207108
"26","2007-02-08",204336
"27","2007-02-09",211860
"28","2007-02-12",219780
"29","2007-02-13",217800
"30","2007-02-14",215028
"31","2007-02-15",217800
"32","2007-02-16",214632
"33","2007-02-20",217008
"34","2007-02-21",215820
"35","2007-02-22",215820
"36","2007-02-23",217404
"37","2007-02-26",215424
"38","2007-02-27",209484
"39","2007-02-28",212652
"40","2007-03-01",209880
"41","2007-03-02",207504
"42","2007-03-05",205128
"43","2007-03-06",205920
"44","2007-03-07",209880
"45","2007-03-08",205524
"46","2007-03-09",209484
"47","2007-03-12",201168
"48","2007-03-13",193248
"49","2007-03-14",190476
"50","2007-03-15",189684
"51","2007-03-16",186120
"52","2007-03-19",184932
"53","2007-03-20",188100
"54","2007-03-21",193644
"55","2007-03-22",198000
"56","2007-03-23",194040
"57","2007-03-26",191268
"58","2007-03-27",189684
"59","2007-03-28",188496
"60","2007-03-29",189684
"61","2007-03-30",199188
"62","2007-04-02",200772
"63","2007-04-03",203940
"64","2007-04-04",203544
"65","2007-04-05",201564
"66","2007-04-09",205128
"67","2007-04-10",215028
"68","2007-04-11",217800
"69","2007-04-12",217404
"70","2007-04-13",211464
"71","2007-04-16",210672
"72","2007-04-17",209484
"73","2007-04-18",215424
"74","2007-04-19",216216
"75","2007-04-20",215424
"76","2007-04-23",218988
"77","2007-04-24",223344
"78","2007-04-25",222948
"79","2007-04-26",225324
"80","2007-04-27",224532
"81","2007-04-30",219384
"82","2007-05-01",218196
"83","2007-05-02",217800
"84","2007-05-03",218592
"85","2007-05-04",218988
"86","2007-05-07",209880
"87","2007-05-08",211860
"88","2007-05-09",209484
"89","2007-05-10",211068
"90","2007-05-11",212652
"91","2007-05-14",213444
"92","2007-05-15",214236
"93","2007-05-16",214236
"94","2007-05-17",216612
"95","2007-05-18",209880
"96","2007-05-21",221760
"97","2007-05-22",234432
"98","2007-05-23",234828
"99","2007-05-24",227700
"100","2007-05-25",231660
"101","2007-05-29",236016
"102","2007-05-30",231264
"103","2007-05-31",227304
"104","2007-06-01",233244
"105","2007-06-04",239184
"106","2007-06-05",242748
"107","2007-06-06",241560
"108","2007-06-07",234828
"109","2007-06-08",232452
"110","2007-06-11",227700
"111","2007-06-12",223344
"112","2007-06-13",226116
"113","2007-06-14",224928
"114","2007-06-15",224928
"115","2007-06-18",229284
"116","2007-06-19",227700
"117","2007-06-20",228096
"118","2007-06-21",226116
"119","2007-06-22",217800
"120","2007-06-25",215424
"121","2007-06-26",210672
"122","2007-06-27",211464
"123","2007-06-28",208692
"124","2007-06-29",209088
"125","2007-07-02",204732
"126","2007-07-03",199584
"127","2007-07-05",208296
"128","2007-07-06",208296
"129","2007-07-09",213444
"130","2007-07-10",211464
"131","2007-07-11",207504
"132","2007-07-12",205524
"133","2007-07-13",199980
"134","2007-07-16",198000
"135","2007-07-17",197208
"136","2007-07-18",198000
"137","2007-07-19",203940
"138","2007-07-20",203940
"139","2007-07-23",202752
"140","2007-07-24",197208
"141","2007-07-25",198000
"142","2007-07-26",188892
"143","2007-07-27",197604
"144","2007-07-30",192456
"145","2007-07-31",198000
"146","2007-08-01",199980
"147","2007-08-02",204336
"148","2007-08-03",195228
"149","2007-08-06",201960
"150","2007-08-07",196812
"151","2007-08-08",196020
"152","2007-08-09",190080
"153","2007-08-10",184932
"154","2007-08-13",176616
"155","2007-08-14",166320
"156","2007-08-15",159588
"157","2007-08-16",150480
"158","2007-08-17",156816
"159","2007-08-20",152856
"160","2007-08-21",161568
"161","2007-08-22",161568
"162","2007-08-23",154440
"163","2007-08-24",154044
"164","2007-08-27",152460
"165","2007-08-28",156420
"166","2007-08-29",158400
"167","2007-08-30",158796
"168","2007-08-31",171072
"169","2007-09-04",177012
"170","2007-09-05",172656
"171","2007-09-06",171864
"172","2007-09-07",170280
"173","2007-09-10",166320
"174","2007-09-11",158400
"175","2007-09-12",153648
"176","2007-09-13",165132
"177","2007-09-14",168696
"178","2007-09-17",176616
"179","2007-09-18",172260
"180","2007-09-19",173844
"181","2007-09-20",173844
"182","2007-09-21",172260
"183","2007-09-24",27720
"184","2007-09-25",27324
"185","2007-09-26",24948
"186","2007-09-27",24552
"187","2007-09-28",24552
"188","2007-10-01",24552
"189","2007-10-02",24156
"190","2007-10-03",26928
"191","2007-10-04",25344
"192","2007-10-05",25740
"193","2007-10-08",25344
"194","2007-10-09",25344
"195","2007-10-10",24948
"196","2007-10-11",24552
"197","2007-10-12",23760
"198","2007-10-15",22968
"199","2007-10-16",22572
"200","2007-10-17",22572
"201","2007-10-18",21780
"202","2007-10-19",20196
"203","2007-10-22",20592
"204","2007-10-23",21780
"205","2007-10-24",20592
"206","2007-10-25",20196
"207","2007-10-26",20592
"208","2007-10-29",20988
"209","2007-10-30",20196
"210","2007-10-31",20592
"211","2007-11-01",19800
"212","2007-11-02",20196
"213","2007-11-05",19404
"214","2007-11-06",19800
"215","2007-11-07",19008
"216","2007-11-08",17820
"217","2007-11-09",18216
"218","2007-11-12",19800
"219","2007-11-13",16632
"220","2007-11-14",17424
"221","2007-11-15",17028
"222","2007-11-16",17424
"223","2007-11-19",16236
"224","2007-11-20",16236
"225","2007-11-21",15840
"226","2007-11-23",16632
"227","2007-11-26",17820
"228","2007-11-27",18216
"229","2007-11-28",17424
"230","2007-11-29",18612
"231","2007-11-30",22968
"232","2007-12-03",20196
"233","2007-12-04",21384
"234","2007-12-05",22176
"235","2007-12-06",22176
"236","2007-12-07",21780
"237","2007-12-10",20592
"238","2007-12-11",18612
"239","2007-12-12",19404
