"","date","SPRB"
"1","2020-10-09",17
"2","2020-10-12",17.25
"3","2020-10-13",17.4
"4","2020-10-14",17.85
"5","2020-10-15",16.6
"6","2020-10-16",15.38
"7","2020-10-19",16.25
"8","2020-10-20",16.809999
"9","2020-10-21",16.98
"10","2020-10-22",16.5
"11","2020-10-23",18.15
"12","2020-10-26",19.25
"13","2020-10-27",19.92
"14","2020-10-28",21.620001
"15","2020-10-29",21.98
"16","2020-10-30",21.889999
"17","2020-11-02",20.299999
"18","2020-11-03",19.42
"19","2020-11-04",18.469999
"20","2020-11-05",17.5
"21","2020-11-06",18
"22","2020-11-09",19.190001
"23","2020-11-10",19.120001
"24","2020-11-11",21
"25","2020-11-12",20.549999
"26","2020-11-13",22.92
"27","2020-11-16",24.99
"28","2020-11-17",24.450001
"29","2020-11-18",25.290001
"30","2020-11-19",26.549999
"31","2020-11-20",26.559999
"32","2020-11-23",26.08
"33","2020-11-24",25.879999
"34","2020-11-25",26
"35","2020-11-27",32.419998
