"","date","AIRG"
"1","2016-08-12",8
"2","2016-08-15",8.3
"3","2016-08-16",8.11
"4","2016-08-17",8.198
"5","2016-08-18",9.2
"6","2016-08-19",9.95
"7","2016-08-22",10.3
"8","2016-08-23",11.32
"9","2016-08-24",10.53
"10","2016-08-25",10.62
"11","2016-08-26",10.7
"12","2016-08-29",12.49
"13","2016-08-30",12.55
"14","2016-08-31",11.665
"15","2016-09-01",11.86
"16","2016-09-02",11.57
"17","2016-09-06",11.61
"18","2016-09-07",13.95
"19","2016-09-08",13.92
"20","2016-09-09",13.23
"21","2016-09-12",13.28
"22","2016-09-13",12.8
"23","2016-09-14",13
"24","2016-09-15",15.35
"25","2016-09-16",14.2
"26","2016-09-19",14.57
"27","2016-09-20",16.120001
"28","2016-09-21",16.049999
"29","2016-09-22",15.51
"30","2016-09-23",15.58
"31","2016-09-26",14.9
"32","2016-09-27",15.63
"33","2016-09-28",16.610001
"34","2016-09-29",15.96
"35","2016-09-30",15.76
"36","2016-10-03",15.08
"37","2016-10-04",14.11
"38","2016-10-05",13.71
"39","2016-10-06",13.19
"40","2016-10-07",13.95
"41","2016-10-10",15.19
"42","2016-10-11",14.59
"43","2016-10-12",14.87
"44","2016-10-13",14.75
"45","2016-10-14",14.64
"46","2016-10-17",13.94
"47","2016-10-18",14.35
"48","2016-10-19",14
"49","2016-10-20",14.15
"50","2016-10-21",13.94
"51","2016-10-24",14.43
"52","2016-10-25",14.24
"53","2016-10-26",14.05
"54","2016-10-27",12.99
"55","2016-10-28",12.65
"56","2016-10-31",12.51
"57","2016-11-01",12.4
"58","2016-11-02",12.24
"59","2016-11-03",11.72
"60","2016-11-04",11.98
"61","2016-11-07",12.11
"62","2016-11-08",12.76
"63","2016-11-09",14.28
"64","2016-11-10",14.28
"65","2016-11-11",15.26
"66","2016-11-14",19.450001
"67","2016-11-15",23.290001
"68","2016-11-16",22.200001
"69","2016-11-17",26.34
"70","2016-11-18",24.99
"71","2016-11-21",25.75
"72","2016-11-22",26.75
"73","2016-11-23",26.950001
"74","2016-11-25",23.309999
"75","2016-11-28",20
"76","2016-11-29",18.389999
"77","2016-11-30",19.610001
"78","2016-12-01",19.059999
"79","2016-12-02",17.959999
"80","2016-12-05",16.99
"81","2016-12-06",17.799999
"82","2016-12-07",20.75
"83","2016-12-08",18.620001
"84","2016-12-09",18.25
"85","2016-12-12",18.459999
"86","2016-12-13",18.299999
"87","2016-12-14",15.32
"88","2016-12-15",14.01
"89","2016-12-16",15.26
"90","2016-12-19",15.08
"91","2016-12-20",15.27
"92","2016-12-21",15.28
"93","2016-12-22",15.18
"94","2016-12-23",14.62
"95","2016-12-27",14.91
"96","2016-12-28",14.91
"97","2016-12-29",14.31
"98","2016-12-30",14.4
"99","2017-01-03",13.89
"100","2017-01-04",14.61
"101","2017-01-05",15.97
"102","2017-01-06",15.26
"103","2017-01-09",15.72
"104","2017-01-10",15.51
"105","2017-01-11",15.36
"106","2017-01-12",14.95
"107","2017-01-13",16.129999
"108","2017-01-17",15.85
"109","2017-01-18",15.45
"110","2017-01-19",15.6
"111","2017-01-20",17.309999
"112","2017-01-23",17.190001
"113","2017-01-24",16.59
"114","2017-01-25",16.27
"115","2017-01-26",16.1
"116","2017-01-27",15.87
"117","2017-01-30",16.32
"118","2017-01-31",17.379999
"119","2017-02-01",16.74
"120","2017-02-02",16.360001
"121","2017-02-03",16.719999
"122","2017-02-06",16.5
"123","2017-02-07",16.07
"124","2017-02-08",16.33
"125","2017-02-09",16.200001
"126","2017-02-10",16.700001
"127","2017-02-13",16.49
"128","2017-02-14",16.08
"129","2017-02-15",15.69
"130","2017-02-16",14.94
"131","2017-02-17",15.09
"132","2017-02-21",13.42
"133","2017-02-22",13.78
"134","2017-02-23",13.68
"135","2017-02-24",13.31
"136","2017-02-27",13.24
"137","2017-02-28",12.6
"138","2017-03-01",13.73
"139","2017-03-02",12.78
"140","2017-03-03",12.42
"141","2017-03-06",12.52
"142","2017-03-07",13.13
"143","2017-03-08",13.26
"144","2017-03-09",13.11
"145","2017-03-10",12.58
"146","2017-03-13",12.63
"147","2017-03-14",12.49
"148","2017-03-15",12.82
"149","2017-03-16",14.02
"150","2017-03-17",14.49
"151","2017-03-20",14.42
"152","2017-03-21",14.04
"153","2017-03-22",14.02
"154","2017-03-23",14.1
"155","2017-03-24",14.5
"156","2017-03-27",14.35
"157","2017-03-28",14.37
"158","2017-03-29",14.2
"159","2017-03-30",15.16
"160","2017-03-31",15.16
"161","2017-04-03",14.74
"162","2017-04-04",14.7
"163","2017-04-05",14.45
"164","2017-04-06",14.72
"165","2017-04-07",14.82
"166","2017-04-10",14.96
"167","2017-04-11",15.29
"168","2017-04-12",15.22
"169","2017-04-13",15.02
"170","2017-04-17",14.62
"171","2017-04-18",14.6
"172","2017-04-19",14.51
"173","2017-04-20",14.46
"174","2017-04-21",14.67
"175","2017-04-24",14.87
"176","2017-04-25",15.2
"177","2017-04-26",15.19
"178","2017-04-27",14.96
"179","2017-04-28",14.91
"180","2017-05-01",14.89
"181","2017-05-02",14.5
"182","2017-05-03",14.2
"183","2017-05-04",14.43
"184","2017-05-05",13.81
"185","2017-05-08",13.61
"186","2017-05-09",13.89
"187","2017-05-10",14.3
"188","2017-05-11",14.08
"189","2017-05-12",14
"190","2017-05-15",14.07
"191","2017-05-16",14.06
"192","2017-05-17",13.68
"193","2017-05-18",13.56
"194","2017-05-19",13.54
"195","2017-05-22",13.95
"196","2017-05-23",13.66
"197","2017-05-24",13.79
"198","2017-05-25",13.78
"199","2017-05-26",13.75
"200","2017-05-30",13.48
"201","2017-05-31",13.33
"202","2017-06-01",13.86
"203","2017-06-02",14.36
"204","2017-06-05",14.5
"205","2017-06-06",14.4
"206","2017-06-07",14.6
"207","2017-06-08",14.9
"208","2017-06-09",14.26
"209","2017-06-12",14.42
"210","2017-06-13",14.39
"211","2017-06-14",14.68
"212","2017-06-15",14.09
"213","2017-06-16",14.29
"214","2017-06-19",14.12
"215","2017-06-20",14.04
"216","2017-06-21",13.92
"217","2017-06-22",14.39
"218","2017-06-23",14.53
"219","2017-06-26",14.79
"220","2017-06-27",14.36
"221","2017-06-28",14.36
"222","2017-06-29",13.87
"223","2017-06-30",14.18
"224","2017-07-03",13.86
"225","2017-07-05",13.77
"226","2017-07-06",13.7
"227","2017-07-07",13.98
