"","date","QCRH"
"1","2007-01-03",17.450001
"2","2007-01-04",16.940001
"3","2007-01-05",17.030001
"4","2007-01-08",17.41
"5","2007-01-09",17.25
"6","2007-01-10",17.25
"7","2007-01-11",17.040001
"8","2007-01-12",17
"9","2007-01-16",16.950001
"10","2007-01-17",16.85
"11","2007-01-18",16.85
"12","2007-01-19",16.85
"13","2007-01-22",17.040001
"14","2007-01-23",17
"15","2007-01-24",17
"16","2007-01-25",17.9
"17","2007-01-26",16.85
"18","2007-01-29",16.9
"19","2007-01-30",17
"20","2007-01-31",17.030001
"21","2007-02-01",17.27
"22","2007-02-02",17.25
"23","2007-02-05",16.860001
"24","2007-02-06",17.030001
"25","2007-02-07",17.049999
"26","2007-02-08",17.049999
"27","2007-02-09",16.860001
"28","2007-02-12",16.85
"29","2007-02-13",16.860001
"30","2007-02-14",17.200001
"31","2007-02-15",17
"32","2007-02-16",16.85
"33","2007-02-20",16.85
"34","2007-02-21",17.209999
"35","2007-02-22",17.209999
"36","2007-02-23",17.049999
"37","2007-02-26",16.950001
"38","2007-02-27",16.950001
"39","2007-02-28",17
"40","2007-03-01",17
"41","2007-03-02",17
"42","2007-03-05",16.950001
"43","2007-03-06",16.85
"44","2007-03-07",17.16
"45","2007-03-08",17
"46","2007-03-09",17
"47","2007-03-12",17
"48","2007-03-13",16.75
"49","2007-03-14",17
"50","2007-03-15",17
"51","2007-03-16",16.700001
"52","2007-03-19",16.65
"53","2007-03-20",16.85
"54","2007-03-21",16.85
"55","2007-03-22",16.57
"56","2007-03-23",16.299999
"57","2007-03-26",16.09
"58","2007-03-27",15.6
"59","2007-03-28",15.84
"60","2007-03-29",15.6
"61","2007-03-30",15.46
"62","2007-04-02",15.5
"63","2007-04-03",15.4
"64","2007-04-04",15.33
"65","2007-04-05",15.58
"66","2007-04-09",15.2
"67","2007-04-10",15.21
"68","2007-04-11",15.5
"69","2007-04-12",15.56
"70","2007-04-13",15.65
"71","2007-04-16",15.77
"72","2007-04-17",15.77
"73","2007-04-18",15.74
"74","2007-04-19",15.63
"75","2007-04-20",15.17
"76","2007-04-23",15.35
"77","2007-04-24",15.92
"78","2007-04-25",16
"79","2007-04-26",16.030001
"80","2007-04-27",16.27
"81","2007-04-30",16.66
"82","2007-05-01",16.110001
"83","2007-05-02",16.5
"84","2007-05-03",17.01
"85","2007-05-04",16.82
"86","2007-05-07",16.9
"87","2007-05-08",17.32
"88","2007-05-09",17.25
"89","2007-05-10",16.610001
"90","2007-05-11",16.85
"91","2007-05-14",16.799999
"92","2007-05-15",16.870001
"93","2007-05-16",17.049999
"94","2007-05-17",17.09
"95","2007-05-18",16.889999
"96","2007-05-21",17.25
"97","2007-05-22",17.6
"98","2007-05-23",17.370001
"99","2007-05-24",17.35
"100","2007-05-25",17.35
"101","2007-05-29",17.5
"102","2007-05-30",17.26
"103","2007-05-31",17.51
"104","2007-06-01",17.540001
"105","2007-06-04",17.610001
"106","2007-06-05",17.5
"107","2007-06-06",17.5
"108","2007-06-07",17.5
"109","2007-06-08",17.07
"110","2007-06-11",17.059999
"111","2007-06-12",17.200001
