"","date","VIVO"
"1","2007-01-03",16.533333
"2","2007-01-04",16.433332
"3","2007-01-05",16.666666
"4","2007-01-08",16.646667
"5","2007-01-09",16.766666
"6","2007-01-10",17.4
"7","2007-01-11",17.700001
"8","2007-01-12",18.246666
"9","2007-01-16",17.893333
"10","2007-01-17",17.793333
"11","2007-01-18",18.073334
"12","2007-01-19",18.82
"13","2007-01-22",18.706667
"14","2007-01-23",19.08
"15","2007-01-24",19.34
"16","2007-01-25",19.413334
"17","2007-01-26",19.633333
"18","2007-01-29",19.553333
"19","2007-01-30",19.793333
"20","2007-01-31",19.766666
"21","2007-02-01",19.76
"22","2007-02-02",19.546667
"23","2007-02-05",19.66
"24","2007-02-06",19.639999
"25","2007-02-07",19.593334
"26","2007-02-08",19.5
"27","2007-02-09",19.406666
"28","2007-02-12",19.32
"29","2007-02-13",19.299999
"30","2007-02-14",19.093334
"31","2007-02-15",19.153334
"32","2007-02-16",19.146667
"33","2007-02-20",18.92
"34","2007-02-21",18.786667
"35","2007-02-22",18.719999
"36","2007-02-23",18.466667
"37","2007-02-26",18.506666
"38","2007-02-27",17.940001
"39","2007-02-28",17.906666
"40","2007-03-01",18.02
"41","2007-03-02",18
"42","2007-03-05",17.933332
"43","2007-03-06",18.32
"44","2007-03-07",18.233334
"45","2007-03-08",18.24
"46","2007-03-09",18.540001
"47","2007-03-12",18.666666
"48","2007-03-13",18.513334
"49","2007-03-14",18.540001
"50","2007-03-15",18.68
"51","2007-03-16",18.673334
"52","2007-03-19",18.946667
"53","2007-03-20",19.139999
"54","2007-03-21",19.32
"55","2007-03-22",19.219999
"56","2007-03-23",19.313334
"57","2007-03-26",19.346666
"58","2007-03-27",19.08
"59","2007-03-28",18.506666
"60","2007-03-29",18.446667
"61","2007-03-30",18.506666
"62","2007-04-02",18.606667
"63","2007-04-03",18.933332
"64","2007-04-04",18.886667
"65","2007-04-05",18.959999
"66","2007-04-09",19.219999
"67","2007-04-10",19.393333
"68","2007-04-11",19.433332
"69","2007-04-12",19.593334
