"","date","PRVB"
"1","2018-07-24",4.81
"2","2018-07-25",4.41
"3","2018-07-26",4.45
"4","2018-07-27",4.35
"5","2018-07-30",4
"6","2018-07-31",4
"7","2018-08-01",4
"8","2018-08-02",4
"9","2018-08-03",4
"10","2018-08-06",3.5
"11","2018-08-07",3.55
"12","2018-08-08",3.4
"13","2018-08-09",3.45
"14","2018-08-10",3.5
"15","2018-08-13",3.7
"16","2018-08-14",3.9
"17","2018-08-15",3.91
"18","2018-08-16",3.9
"19","2018-08-17",3.83
"20","2018-08-20",3.89
"21","2018-08-21",3.83
"22","2018-08-22",3.8
"23","2018-08-23",3.82
"24","2018-08-24",3.85
"25","2018-08-27",3.8
"26","2018-08-28",3.87
"27","2018-08-29",3.84
"28","2018-08-30",3.85
"29","2018-08-31",3.85
"30","2018-09-04",3.86
"31","2018-09-05",3.88
"32","2018-09-06",3.82
"33","2018-09-07",3.93
"34","2018-09-10",3.81
"35","2018-09-11",4
"36","2018-09-12",3.97
"37","2018-09-13",4.12
"38","2018-09-14",3.9
"39","2018-09-17",4.14
"40","2018-09-18",4.4
"41","2018-09-19",4.24
"42","2018-09-20",4.17
"43","2018-09-21",4.31
"44","2018-09-24",4.18
"45","2018-09-25",3.94
"46","2018-09-26",4
"47","2018-09-27",4.01
"48","2018-09-28",4.01
"49","2018-10-01",4
"50","2018-10-02",4
"51","2018-10-03",3.92
"52","2018-10-04",3.88
"53","2018-10-05",3.79
"54","2018-10-08",3.4
"55","2018-10-09",3.3
"56","2018-10-10",3.3
"57","2018-10-11",3.15
"58","2018-10-12",3.44
"59","2018-10-15",3.59
"60","2018-10-16",3.77
"61","2018-10-17",3.514
"62","2018-10-18",3.38
"63","2018-10-19",3.353
"64","2018-10-22",3.08
"65","2018-10-23",2.92
"66","2018-10-24",3.16
"67","2018-10-25",2.9
"68","2018-10-26",2.98
"69","2018-10-29",3.14
"70","2018-10-30",3.09
"71","2018-10-31",3.05
"72","2018-11-01",3.15
"73","2018-11-02",3.23
"74","2018-11-05",3.65
"75","2018-11-06",3.48
"76","2018-11-07",3.4
"77","2018-11-08",3.18
"78","2018-11-09",3.16
"79","2018-11-12",2.82
"80","2018-11-13",3.02
"81","2018-11-14",2.9
"82","2018-11-15",2.94
"83","2018-11-16",2.76
"84","2018-11-19",2.88
"85","2018-11-20",2.74
"86","2018-11-21",2.69
"87","2018-11-23",2.53
"88","2018-11-26",2.54
"89","2018-11-27",2.467
"90","2018-11-28",2.48
"91","2018-11-29",2.48
"92","2018-11-30",2.31
"93","2018-12-03",2.7
"94","2018-12-04",2.57
"95","2018-12-06",2.41
"96","2018-12-07",2.21
"97","2018-12-10",2.59
"98","2018-12-11",2.55
"99","2018-12-12",2.665
"100","2018-12-13",2.37
"101","2018-12-14",2.38
"102","2018-12-17",2.44
"103","2018-12-18",2.3
"104","2018-12-19",2.1
"105","2018-12-20",1.94
"106","2018-12-21",1.76
"107","2018-12-24",1.94
"108","2018-12-26",1.76
"109","2018-12-27",1.85
"110","2018-12-28",1.73
"111","2018-12-31",1.77
"112","2019-01-02",1.97
"113","2019-01-03",2.02
"114","2019-01-04",2.05
"115","2019-01-07",2.27
"116","2019-01-08",2.1
"117","2019-01-09",2.2
"118","2019-01-10",2.2
"119","2019-01-11",2.37
"120","2019-01-14",2.26
"121","2019-01-15",2.17
"122","2019-01-16",2.34
"123","2019-01-17",2.22
"124","2019-01-18",2.47
"125","2019-01-22",2.39
"126","2019-01-23",2.32
"127","2019-01-24",2.3
"128","2019-01-25",2.5
"129","2019-01-28",2.55
"130","2019-01-29",2.38
"131","2019-01-30",2.288
"132","2019-01-31",2.55
"133","2019-02-01",2.46
"134","2019-02-04",2.55
"135","2019-02-05",2.5
"136","2019-02-06",2.4
"137","2019-02-07",2.34
"138","2019-02-08",2.37
"139","2019-02-11",2.29
"140","2019-02-12",2.25
"141","2019-02-13",2.37
"142","2019-02-14",2.22
"143","2019-02-15",2.2
"144","2019-02-19",2.39
"145","2019-02-20",2.26
"146","2019-02-21",2.43
"147","2019-02-22",2.419
"148","2019-02-25",2.57
"149","2019-02-26",2.42
"150","2019-02-27",2.5
"151","2019-02-28",2.55
"152","2019-03-01",2.45
"153","2019-03-04",2.5
"154","2019-03-05",2.5
"155","2019-03-06",2.38
"156","2019-03-07",2.38
"157","2019-03-08",2.44
"158","2019-03-11",2.34
"159","2019-03-12",2.27
"160","2019-03-13",2.34
"161","2019-03-14",2.28
"162","2019-03-15",2.39
"163","2019-03-18",2.4
"164","2019-03-19",2.38
"165","2019-03-20",2.42
"166","2019-03-21",2.38
"167","2019-03-22",2.384
"168","2019-03-25",2.3
"169","2019-03-26",2.3
"170","2019-03-27",2.36
"171","2019-03-28",2.26
"172","2019-03-29",2.3
"173","2019-04-01",2.33
"174","2019-04-02",2.38
"175","2019-04-03",2.3
"176","2019-04-04",2.37
"177","2019-04-05",2.4
"178","2019-04-08",2.45
"179","2019-04-09",2.841
"180","2019-04-10",2.77
"181","2019-04-11",2.76
"182","2019-04-12",2.75
"183","2019-04-15",2.83
"184","2019-04-16",2.9
"185","2019-04-17",3.15
"186","2019-04-18",3.145
"187","2019-04-22",3.12
"188","2019-04-23",3.35
"189","2019-04-24",3.36
"190","2019-04-25",3.425
"191","2019-04-26",3.75
"192","2019-04-29",4.05
"193","2019-04-30",3.85
"194","2019-05-01",3.85
"195","2019-05-02",3.8
"196","2019-05-03",3.98
"197","2019-05-06",3.96
"198","2019-05-07",4.02
"199","2019-05-08",4.08
"200","2019-05-09",2.96
"201","2019-05-10",3.22
"202","2019-05-13",3.15
"203","2019-05-14",3.25
"204","2019-05-15",3.52
