"","date","PROS"
"1","2019-07-25",17.07
"2","2019-07-26",16.41
"3","2019-07-29",16.639999
"4","2019-07-30",17.040001
"5","2019-07-31",17.049999
"6","2019-08-01",17.48
"7","2019-08-02",17.75
"8","2019-08-05",17.35
"9","2019-08-06",17.870001
"10","2019-08-07",17.690001
"11","2019-08-08",18.120001
"12","2019-08-09",18.209999
"13","2019-08-12",18.4
"14","2019-08-13",19.5
"15","2019-08-14",19.09
"16","2019-08-15",19.049999
"17","2019-08-16",18.540001
"18","2019-08-19",19.379999
"19","2019-08-20",20.790001
"20","2019-08-21",20.85
"21","2019-08-22",19.57
"22","2019-08-23",18.9
"23","2019-08-26",19.33
"24","2019-08-27",19.639999
"25","2019-08-28",20.02
"26","2019-08-29",19.99
"27","2019-08-30",19.459999
"28","2019-09-03",19.02
"29","2019-09-04",18.76
"30","2019-09-05",18.709999
"31","2019-09-06",18.309999
"32","2019-09-09",17.41
"33","2019-09-10",16.9
"34","2019-09-11",16.389999
"35","2019-09-12",15.99
"36","2019-09-13",17.129999
"37","2019-09-16",16.93
"38","2019-09-17",17.59
"39","2019-09-18",17.719999
"40","2019-09-19",17.98
"41","2019-09-20",17.290001
"42","2019-09-23",17.709999
"43","2019-09-24",17.780001
"44","2019-09-25",18.01
"45","2019-09-26",18.5
"46","2019-09-27",18.85
"47","2019-09-30",19.360001
"48","2019-10-01",19.09
"49","2019-10-02",19.450001
"50","2019-10-03",18.57
"51","2019-10-04",18
"52","2019-10-07",17.370001
"53","2019-10-08",16.84
"54","2019-10-09",16.889999
"55","2019-10-10",16.780001
"56","2019-10-11",17.25
"57","2019-10-14",17.35
"58","2019-10-15",17.379999
"59","2019-10-16",17.1
"60","2019-10-17",17.77
"61","2019-10-18",18.33
"62","2019-10-21",17.77
"63","2019-10-22",17.860001
"64","2019-10-23",17.030001
"65","2019-10-24",16.02
"66","2019-10-25",15.6
"67","2019-10-28",15.62
"68","2019-10-29",15.51
"69","2019-10-30",16
"70","2019-10-31",15.86
"71","2019-11-01",15.95
"72","2019-11-04",16.02
"73","2019-11-05",15.73
"74","2019-11-06",16.379999
"75","2019-11-07",16.139999
"76","2019-11-08",16.450001
"77","2019-11-11",16.24
"78","2019-11-12",15.98
"79","2019-11-13",16.27
"80","2019-11-14",16.700001
"81","2019-11-15",16.84
"82","2019-11-18",16.15
"83","2019-11-19",16.09
"84","2019-11-20",16.389999
"85","2019-11-21",16.77
"86","2019-11-22",16.15
"87","2019-11-25",17.27
"88","2019-11-26",17.370001
"89","2019-11-27",17.639999
"90","2019-11-29",17.17
"91","2019-12-02",17.549999
"92","2019-12-03",17.469999
"93","2019-12-04",17.969999
"94","2019-12-05",17.190001
"95","2019-12-06",17.299999
"96","2019-12-09",17.52
"97","2019-12-10",17.16
"98","2019-12-11",17.27
"99","2019-12-12",17.200001
"100","2019-12-13",16.790001
"101","2019-12-16",16.84
"102","2019-12-17",16.67
"103","2019-12-18",16.620001
