"","date","LX"
"1","2017-12-21",1.07
"2","2017-12-22",1.42
"3","2017-12-26",14.39
"4","2017-12-27",13.53
"5","2017-12-28",12.63
"6","2017-12-29",13.9
"7","2018-01-02",17.290001
"8","2018-01-03",15.39
"9","2018-01-04",14.74
"10","2018-01-05",14.64
"11","2018-01-08",14.33
"12","2018-01-09",14.94
"13","2018-01-10",14.5
"14","2018-01-11",14.17
"15","2018-01-12",13.89
"16","2018-01-16",14.28
"17","2018-01-17",14.25
"18","2018-01-18",14.44
"19","2018-01-19",14.5
"20","2018-01-22",14.15
"21","2018-01-23",15.53
"22","2018-01-24",15.99
"23","2018-01-25",16.42
"24","2018-01-26",16.469999
"25","2018-01-29",16.18
"26","2018-01-30",15.81
"27","2018-01-31",15.83
"28","2018-02-01",15.87
"29","2018-02-02",14.8
"30","2018-02-05",13.99
"31","2018-02-06",13.95
"32","2018-02-07",14.4
"33","2018-02-08",14.09
"34","2018-02-09",13.61
"35","2018-02-12",14.15
"36","2018-02-13",14.6
"37","2018-02-14",14.88
"38","2018-02-15",15
"39","2018-02-16",15.13
"40","2018-02-20",15.28
"41","2018-02-21",15.4
"42","2018-02-22",15.15
"43","2018-02-23",15.58
"44","2018-02-26",15.59
"45","2018-02-27",15.07
"46","2018-02-28",14.82
"47","2018-03-01",14.4
"48","2018-03-02",14.89
"49","2018-03-05",15.23
"50","2018-03-06",15.58
"51","2018-03-07",15.35
"52","2018-03-08",16
"53","2018-03-09",19.09
"54","2018-03-12",18.84
"55","2018-03-13",17.639999
"56","2018-03-14",17.110001
"57","2018-03-15",16.43
"58","2018-03-16",17.33
"59","2018-03-19",18.25
"60","2018-03-20",15.98
"61","2018-03-21",15.72
"62","2018-03-22",14.7
"63","2018-03-23",14.2
"64","2018-03-26",14.63
"65","2018-03-27",14.67
"66","2018-03-28",14.59
"67","2018-03-29",14.5
"68","2018-04-02",13.32
"69","2018-04-03",13.04
"70","2018-04-04",12.94
"71","2018-04-05",12.65
"72","2018-04-06",12.03
"73","2018-04-09",13.06
"74","2018-04-10",13.32
"75","2018-04-11",13.74
"76","2018-04-12",13.34
"77","2018-04-13",13.28
"78","2018-04-16",13.58
"79","2018-04-17",13.8
"80","2018-04-18",16.08
"81","2018-04-19",16.48
"82","2018-04-20",15.42
"83","2018-04-23",16.23
"84","2018-04-24",15.76
"85","2018-04-25",15.56
"86","2018-04-26",15.62
"87","2018-04-27",16.459999
"88","2018-04-30",16.33
"89","2018-05-01",16.5
"90","2018-05-02",17.1
"91","2018-05-03",15.89
"92","2018-05-04",16.5
"93","2018-05-07",17.030001
"94","2018-05-08",17.24
"95","2018-05-09",16.709999
"96","2018-05-10",17
"97","2018-05-11",16.77
"98","2018-05-14",16.35
"99","2018-05-15",16.73
"100","2018-05-16",16.969999
"101","2018-05-17",16.690001
"102","2018-05-18",18.23
"103","2018-05-21",16.809999
"104","2018-05-22",16.790001
"105","2018-05-23",16.58
"106","2018-05-24",14.87
"107","2018-05-25",15.04
"108","2018-05-29",14.43
"109","2018-05-30",14.32
"110","2018-05-31",15.62
"111","2018-06-01",15.06
"112","2018-06-04",15.61
"113","2018-06-05",15.42
"114","2018-06-06",14.62
"115","2018-06-07",14.94
"116","2018-06-08",15.94
"117","2018-06-11",15.62
"118","2018-06-12",15.91
"119","2018-06-13",15.47
"120","2018-06-14",15.53
"121","2018-06-15",16.43
"122","2018-06-18",17.09
"123","2018-06-19",15.68
"124","2018-06-20",15.06
"125","2018-06-21",15.03
"126","2018-06-22",14.92
"127","2018-06-25",14.44
"128","2018-06-26",14.23
"129","2018-06-27",12.9
"130","2018-06-28",12.15
"131","2018-06-29",12.25
