"","date","DFFN"
"1","2008-05-23",30000
"2","2008-05-27",30000
"3","2008-05-28",30000
"4","2008-05-29",30000
"5","2008-05-30",30000
"6","2008-06-02",30000
"7","2008-06-03",30000
"8","2008-06-04",30000
"9","2008-06-05",30000
"10","2008-06-06",30000
"11","2008-06-09",30000
"12","2008-06-10",30000
"13","2008-06-11",30000
"14","2008-06-12",31500
"15","2008-06-13",31500
"16","2008-06-16",31500
"17","2008-06-17",31500
"18","2008-06-18",31500
"19","2008-06-19",31500
"20","2008-06-20",31500
"21","2008-06-23",31500
"22","2008-06-24",30000
"23","2008-06-25",30000
"24","2008-06-26",30000
"25","2008-06-27",30000
"26","2008-06-30",30000
"27","2008-07-01",30000
"28","2008-07-02",30000
"29","2008-07-03",22500
"30","2008-07-07",30000
"31","2008-07-08",31500
"32","2008-07-09",31500
"33","2008-07-10",31500
"34","2008-07-11",31500
"35","2008-07-14",31500
"36","2008-07-15",31500
"37","2008-07-16",31500
"38","2008-07-17",31500
"39","2008-07-18",31500
"40","2008-07-21",31500
"41","2008-07-22",31500
"42","2008-07-23",31500
"43","2008-07-24",31500
"44","2008-07-25",31500
"45","2008-07-28",22650
"46","2008-07-29",30000
"47","2008-07-30",30000
"48","2008-07-31",30000
"49","2008-08-01",30000
"50","2008-08-04",30000
"51","2008-08-05",30000
"52","2008-08-06",30000
"53","2008-08-07",30000
"54","2008-08-08",30000
"55","2008-08-11",30000
"56","2008-08-12",30000
"57","2008-08-13",30000
"58","2008-08-14",30000
"59","2008-08-15",30000
"60","2008-08-18",30000
"61","2008-08-19",30000
"62","2008-08-20",30000
"63","2008-08-21",30000
"64","2008-08-22",30000
"65","2008-08-25",30000
"66","2008-08-26",29850
"67","2008-08-27",29850
"68","2008-08-28",29850
"69","2008-08-29",29850
"70","2008-09-02",29850
"71","2008-09-03",29850
"72","2008-09-04",29850
"73","2008-09-05",29850
"74","2008-09-08",30000
"75","2008-09-09",30000
"76","2008-09-10",30000
"77","2008-09-11",30000
"78","2008-09-12",30000
"79","2008-09-15",30000
"80","2008-09-16",30000
"81","2008-09-17",30000
"82","2008-09-18",30000
"83","2008-09-19",30000
"84","2008-09-22",33750
"85","2008-09-23",33750
"86","2008-09-24",33750
"87","2008-09-25",33750
"88","2008-09-26",30750
"89","2008-09-29",30750
"90","2008-09-30",30750
"91","2008-10-01",30750
"92","2008-10-02",30750
"93","2008-10-03",30000
"94","2008-10-06",30000
"95","2008-10-07",30000
"96","2008-10-08",22500
"97","2008-10-09",30000
"98","2008-10-10",30000
"99","2008-10-13",29850
"100","2008-10-14",29850
"101","2008-10-15",29850
"102","2008-10-16",29850
"103","2008-10-17",29850
"104","2008-10-20",29850
"105","2008-10-21",29850
"106","2008-10-22",29850
"107","2008-10-23",29850
"108","2008-10-24",29850
"109","2008-10-27",29850
"110","2008-10-28",29850
"111","2008-10-29",29850
"112","2008-10-30",29850
"113","2008-10-31",29850
"114","2008-11-03",21450
"115","2008-11-04",21450
"116","2008-11-05",21450
"117","2008-11-06",21300
"118","2008-11-07",21300
"119","2008-11-10",21300
"120","2008-11-11",21300
"121","2008-11-12",21300
"122","2008-11-13",21450
"123","2008-11-14",21600
"124","2008-11-17",21600
"125","2008-11-18",21750
"126","2008-11-19",21600
"127","2008-11-20",21600
"128","2008-11-21",21600
"129","2008-11-24",21750
"130","2008-11-25",21900
"131","2008-11-26",22350
"132","2008-11-28",22350
"133","2008-12-01",22350
"134","2008-12-02",22350
"135","2008-12-03",22500
"136","2008-12-04",22500
"137","2008-12-05",22050
"138","2008-12-08",22350
"139","2008-12-09",22500
"140","2008-12-10",22500
"141","2008-12-11",22200
"142","2008-12-12",22200
"143","2008-12-15",22350
"144","2008-12-16",22500
"145","2008-12-17",22500
"146","2008-12-18",22650
"147","2008-12-19",22800
"148","2008-12-22",22950
"149","2008-12-23",23100
"150","2008-12-24",23250
"151","2008-12-26",23400
"152","2008-12-29",23550
"153","2008-12-30",23700
"154","2008-12-31",23850
"155","2009-01-02",24000
"156","2009-01-05",24150
"157","2009-01-06",24450
"158","2009-01-07",24600
"159","2009-01-08",24750
"160","2009-01-09",24900
"161","2009-01-12",25050
"162","2009-01-13",25050
"163","2009-01-14",25050
"164","2009-01-15",25200
"165","2009-01-16",25350
"166","2009-01-20",25500
"167","2009-01-21",25650
"168","2009-01-22",25650
"169","2009-01-23",25650
"170","2009-01-26",24750
"171","2009-01-27",20250
"172","2009-01-28",21000
"173","2009-01-29",22500
"174","2009-01-30",22500
"175","2009-02-02",22800
"176","2009-02-03",21750
"177","2009-02-04",21150
"178","2009-02-05",20250
"179","2009-02-06",25200
"180","2009-02-09",25200
"181","2009-02-10",24600
"182","2009-02-11",24000
"183","2009-02-12",24000
"184","2009-02-13",24000
"185","2009-02-17",23250
"186","2009-02-18",24000
"187","2009-02-19",23850
"188","2009-02-20",23700
"189","2009-02-23",22350
"190","2009-02-24",21750
"191","2009-02-25",21750
"192","2009-02-26",22650
"193","2009-02-27",21750
"194","2009-03-02",22500
"195","2009-03-03",22500
"196","2009-03-04",21750
"197","2009-03-05",21750
"198","2009-03-06",21000
"199","2009-03-09",22350
"200","2009-03-10",22350
"201","2009-03-11",21900
"202","2009-03-12",22200
"203","2009-03-13",21600
"204","2009-03-16",19800
"205","2009-03-17",21000
"206","2009-03-18",21750
"207","2009-03-19",21750
"208","2009-03-20",22200
"209","2009-03-23",22350
"210","2009-03-24",22050
"211","2009-03-25",22050
"212","2009-03-26",22050
"213","2009-03-27",21300
"214","2009-03-30",21900
"215","2009-03-31",21900
"216","2009-04-01",22500
"217","2009-04-02",22200
"218","2009-04-03",22200
"219","2009-04-06",22200
"220","2009-04-07",21900
"221","2009-04-08",21600
"222","2009-04-09",22650
"223","2009-04-13",22200
"224","2009-04-14",22200
"225","2009-04-15",23100
"226","2009-04-16",22200
"227","2009-04-17",22500
"228","2009-04-20",22200
"229","2009-04-21",22200
"230","2009-04-22",22500
"231","2009-04-23",22950
"232","2009-04-24",22950
"233","2009-04-27",22050
"234","2009-04-28",22950
"235","2009-04-29",23100
"236","2009-04-30",22500
"237","2009-05-01",22500
"238","2009-05-04",22650
"239","2009-05-05",22500
"240","2009-05-06",22650
"241","2009-05-07",23700
"242","2009-05-08",22650
"243","2009-05-11",23700
"244","2009-05-12",23700
"245","2009-05-13",23550
"246","2009-05-14",24150
"247","2009-05-15",24750
"248","2009-05-18",25500
"249","2009-05-19",25350
"250","2009-05-20",25500
"251","2009-05-21",25500
"252","2009-05-22",25500
"253","2009-05-26",25500
"254","2009-05-27",25500
"255","2009-05-28",26250
"256","2009-05-29",25950
