"","date","FPAY"
"1","2010-04-05",5.5
"2","2010-04-06",5.5
"3","2010-04-07",5.5
"4","2010-04-08",5.5
"5","2010-04-09",5.5
"6","2010-04-12",3.5
"7","2010-04-13",3.5
"8","2010-04-14",3.5
"9","2010-04-15",5.4
"10","2010-04-16",5.4
"11","2010-04-19",5.4
"12","2010-04-20",5.4
"13","2010-04-21",5.4
"14","2010-04-22",5.4
"15","2010-04-23",5.4
"16","2010-04-26",5.4
"17","2010-04-27",5.4
"18","2010-04-28",5.4
"19","2010-04-29",5.4
"20","2010-04-30",5.4
"21","2010-05-03",5.4
"22","2010-05-04",5.4
"23","2010-05-05",5.4
"24","2010-05-06",5.4
"25","2010-05-07",5.4
"26","2010-05-10",5.4
"27","2010-05-11",5.4
"28","2010-05-12",5.4
"29","2010-05-13",5.4
"30","2010-05-14",5.4
"31","2010-05-17",5.4
"32","2010-05-18",5.4
"33","2010-05-19",5.4
"34","2010-05-20",5.4
"35","2010-05-21",5.4
"36","2010-05-24",5.4
"37","2010-05-25",5.4
"38","2010-05-26",5.4
"39","2010-05-27",5.4
"40","2010-05-28",5.4
"41","2010-06-01",5.4
"42","2010-06-02",5.4
"43","2010-06-03",5.4
"44","2010-06-04",5.4
"45","2010-06-07",5.4
"46","2010-06-08",5.4
"47","2010-06-09",5.4
"48","2010-06-10",5.4
"49","2010-06-11",5.4
"50","2010-06-14",5.4
"51","2010-06-15",5.4
"52","2010-06-16",5.4
"53","2010-06-17",5.4
"54","2010-06-18",5.4
"55","2010-06-21",5.4
"56","2010-06-22",5.4
"57","2010-06-23",5.4
"58","2010-06-24",5
"59","2010-06-25",5
"60","2010-06-28",5
"61","2010-06-29",5
"62","2010-06-30",5
"63","2010-07-01",5
"64","2010-07-02",5
"65","2010-07-06",5
"66","2010-07-07",5
"67","2010-07-08",5
"68","2010-07-09",5
"69","2010-07-12",5
"70","2010-07-13",5
"71","2010-07-14",5
"72","2010-07-15",5
"73","2010-07-16",5
"74","2010-07-19",5
"75","2010-07-20",5
"76","2010-07-21",5
"77","2010-07-22",5
"78","2010-07-23",5
"79","2010-07-26",5
"80","2010-07-27",5
"81","2010-07-28",5
"82","2010-07-29",5
"83","2010-07-30",5
"84","2010-08-02",5
"85","2010-08-03",5
"86","2010-08-04",5
"87","2010-08-05",5
"88","2010-08-06",5
"89","2010-08-09",5
"90","2010-08-10",7.5
"91","2010-08-11",7.5
"92","2010-08-12",5
"93","2010-08-13",5
"94","2010-08-16",7.5
"95","2010-08-17",7.5
"96","2010-08-18",7.5
"97","2010-08-19",7.5
"98","2010-08-20",7.5
"99","2010-08-23",7.5
"100","2010-08-24",7.5
"101","2010-08-25",7.5
"102","2010-08-26",7.5
"103","2010-08-27",7.5
"104","2010-08-30",7.5
"105","2010-08-31",7.5
"106","2010-09-01",7.5
"107","2010-09-02",7.5
"108","2010-09-03",7.5
"109","2010-09-07",7.5
"110","2010-09-08",7.5
"111","2010-09-09",7.5
"112","2010-09-10",7.5
"113","2010-09-13",7.5
"114","2010-09-14",7.5
"115","2010-09-15",5
"116","2010-09-16",5
"117","2010-09-17",5
"118","2010-09-20",5
"119","2010-09-21",5
"120","2010-09-22",5
"121","2010-09-23",5
"122","2010-09-24",5
"123","2010-09-27",5
"124","2010-09-28",5
"125","2010-09-29",5
"126","2010-09-30",5
"127","2010-10-01",5
"128","2010-10-04",5
"129","2010-10-05",5
"130","2010-10-06",5
"131","2010-10-07",5
"132","2010-10-08",5
"133","2010-10-11",5
"134","2010-10-12",5
"135","2010-10-13",5
"136","2010-10-14",5
"137","2010-10-15",5
"138","2010-10-18",5
"139","2010-10-19",5
"140","2010-10-20",5
"141","2010-10-21",5
"142","2010-10-22",5
"143","2010-10-25",5
"144","2010-10-26",5
"145","2010-10-27",5
"146","2010-10-28",5
"147","2010-10-29",5
"148","2010-11-01",5
"149","2010-11-02",5
"150","2010-11-03",5
"151","2010-11-04",5
"152","2010-11-05",5
"153","2010-11-08",5
"154","2010-11-09",5
"155","2010-11-10",5
"156","2010-11-11",5
