"","date","SHOO"
"1","2007-01-03",7.105185
"2","2007-01-04",7.308642
"3","2007-01-05",7.122963
"4","2007-01-08",6.90963
"5","2007-01-09",6.968889
"6","2007-01-10",6.994568
"7","2007-01-11",6.87605
"8","2007-01-12",6.90963
"9","2007-01-16",6.407901
"10","2007-01-17",6.322963
"11","2007-01-18",6.281481
"12","2007-01-19",6.111605
"13","2007-01-22",5.995062
"14","2007-01-23",6.018765
"15","2007-01-24",6.218272
"16","2007-01-25",6.028642
"17","2007-01-26",6.10963
"18","2007-01-29",6.042469
"19","2007-01-30",5.902222
"20","2007-01-31",5.870617
"21","2007-02-01",6.026667
"22","2007-02-02",6.166914
"23","2007-02-05",6.129383
"24","2007-02-06",6.125432
"25","2007-02-07",6.135309
"26","2007-02-08",6.182716
"27","2007-02-09",6.028642
"28","2007-02-12",5.937778
"29","2007-02-13",5.971358
"30","2007-02-14",5.878519
"31","2007-02-15",5.850864
"32","2007-02-16",5.82321
"33","2007-02-20",5.846914
"34","2007-02-21",5.775803
"35","2007-02-22",5.742222
"36","2007-02-23",5.720494
"37","2007-02-26",5.62963
"38","2007-02-27",5.700741
"39","2007-02-28",5.839012
"40","2007-03-01",5.635556
"41","2007-03-02",5.677037
"42","2007-03-05",5.554568
"43","2007-03-06",5.894321
"44","2007-03-07",5.815309
"45","2007-03-08",5.76
"46","2007-03-09",5.805432
"47","2007-03-12",5.801481
"48","2007-03-13",5.718519
"49","2007-03-14",5.817284
"50","2007-03-15",5.935802
"51","2007-03-16",5.89037
"52","2007-03-19",5.910123
"53","2007-03-20",5.971358
"54","2007-03-21",6.010864
"55","2007-03-22",6.127408
"56","2007-03-23",6.000988
"57","2007-03-26",5.94963
"58","2007-03-27",5.835062
"59","2007-03-28",5.819259
"60","2007-03-29",5.746173
"61","2007-03-30",5.767901
"62","2007-04-02",5.825185
"63","2007-04-03",6.000988
"64","2007-04-04",5.931852
"65","2007-04-05",5.933827
"66","2007-04-09",5.880494
"67","2007-04-10",5.864691
"68","2007-04-11",5.829136
"69","2007-04-12",5.914074
"70","2007-04-13",6.034568
"71","2007-04-16",6.157037
"72","2007-04-17",6.180741
"73","2007-04-18",6.147161
"74","2007-04-19",6.168889
"75","2007-04-20",6.174815
"76","2007-04-23",6.162963
"77","2007-04-24",6.123457
"78","2007-04-25",6.149136
"79","2007-04-26",6.162963
"80","2007-04-27",6.107654
"81","2007-04-30",5.876543
"82","2007-05-01",6.222222
"83","2007-05-02",6.190617
"84","2007-05-03",6.196543
"85","2007-05-04",6.17284
"86","2007-05-07",6.095802
"87","2007-05-08",6.105679
"88","2007-05-09",6.17284
"89","2007-05-10",6.058271
"90","2007-05-11",6.089877
"91","2007-05-14",6.089877
"92","2007-05-15",6.004938
"93","2007-05-16",6.125432
"94","2007-05-17",6.11358
