"","date","HZNP"
"1","2011-07-28",9.15
"2","2011-07-29",9.04
"3","2011-08-01",9.05
"4","2011-08-02",9.05
"5","2011-08-03",9
"6","2011-08-04",9
"7","2011-08-05",8.95
"8","2011-08-08",8.8
"9","2011-08-09",8.43
"10","2011-08-10",8.35
"11","2011-08-11",8.28
"12","2011-08-12",8.16
"13","2011-08-15",8.6
"14","2011-08-16",8.37
"15","2011-08-17",8.51
"16","2011-08-18",8.52
"17","2011-08-19",7.98
"18","2011-08-22",7.91
"19","2011-08-23",8.23
"20","2011-08-24",8.48
"21","2011-08-25",8.38
"22","2011-08-26",8.1
"23","2011-08-29",7.97
"24","2011-08-30",8
"25","2011-08-31",8
"26","2011-09-01",8.13
"27","2011-09-02",8.3
"28","2011-09-06",8.01
"29","2011-09-07",8.15
"30","2011-09-08",8.74
"31","2011-09-09",8.26
"32","2011-09-12",7.9
"33","2011-09-13",8.19
"34","2011-09-14",8.12
"35","2011-09-15",8.25
"36","2011-09-16",7.71
"37","2011-09-19",8.1
"38","2011-09-20",8.02
"39","2011-09-21",8.02
"40","2011-09-22",7.9
"41","2011-09-23",8.09
"42","2011-09-26",8.25
"43","2011-09-27",8.2
"44","2011-09-28",7.91
"45","2011-09-29",7.48
"46","2011-09-30",6.99
"47","2011-10-03",6.07
"48","2011-10-04",5.74
"49","2011-10-05",5.6
"50","2011-10-06",5.49
"51","2011-10-07",5.2
"52","2011-10-10",5.2
"53","2011-10-11",4.77
"54","2011-10-12",4.83
"55","2011-10-13",5.33
"56","2011-10-14",5.48
"57","2011-10-17",5.01
"58","2011-10-18",5.24
"59","2011-10-19",5.6
"60","2011-10-20",5.94
"61","2011-10-21",7.25
"62","2011-10-24",7.6
"63","2011-10-25",7.53
"64","2011-10-26",7.75
"65","2011-10-27",8.68
"66","2011-10-28",8.8
"67","2011-10-31",8.99
"68","2011-11-01",8.38
"69","2011-11-02",8.67
"70","2011-11-03",8.8
"71","2011-11-04",8.8
"72","2011-11-07",8.53
"73","2011-11-08",8.91
"74","2011-11-09",7.6
"75","2011-11-10",7.91
"76","2011-11-11",8.24
"77","2011-11-14",8.07
"78","2011-11-15",8.15
"79","2011-11-16",7.97
"80","2011-11-17",7.93
"81","2011-11-18",7.6
"82","2011-11-21",7.6
"83","2011-11-22",7.02
"84","2011-11-23",7.13
"85","2011-11-25",6.81
"86","2011-11-28",6.13
"87","2011-11-29",5.97
"88","2011-11-30",5.21
"89","2011-12-01",5.05
"90","2011-12-02",5.06
"91","2011-12-05",5
"92","2011-12-06",4.96
"93","2011-12-07",4.96
"94","2011-12-08",4.96
"95","2011-12-09",5
"96","2011-12-12",4.75
"97","2011-12-13",4.61
"98","2011-12-14",4.75
"99","2011-12-15",4.75
"100","2011-12-16",4.75
"101","2011-12-19",4.45
"102","2011-12-20",5.25
"103","2011-12-21",4.62
"104","2011-12-22",4.5
"105","2011-12-23",4.5
"106","2011-12-27",4.5
"107","2011-12-28",4.22
"108","2011-12-29",4.19
"109","2011-12-30",4
"110","2012-01-03",4.2
"111","2012-01-04",3.96
"112","2012-01-05",4.04
"113","2012-01-06",4.08
"114","2012-01-09",3.98
"115","2012-01-10",3.7
"116","2012-01-11",3.65
"117","2012-01-12",3.62
"118","2012-01-13",3.55
"119","2012-01-17",3.35
"120","2012-01-18",3.07
"121","2012-01-19",3.29
"122","2012-01-20",3.98
"123","2012-01-23",4
"124","2012-01-24",3.84
"125","2012-01-25",3.85
"126","2012-01-26",3.64
"127","2012-01-27",3.74
"128","2012-01-30",3.91
"129","2012-01-31",3.97
"130","2012-02-01",3.81
"131","2012-02-02",3.71
"132","2012-02-03",4.07
"133","2012-02-06",3.95
"134","2012-02-07",4
"135","2012-02-08",4.02
"136","2012-02-09",4.11
"137","2012-02-10",4.2
"138","2012-02-13",4
"139","2012-02-14",3.77
"140","2012-02-15",3.8
"141","2012-02-16",3.72
"142","2012-02-17",3.36
"143","2012-02-21",3.32
"144","2012-02-22",3.13
"145","2012-02-23",3.48
"146","2012-02-24",3.5
"147","2012-02-27",3.58
"148","2012-02-28",3.59
"149","2012-02-29",3.45
