"","date","LOPE"
"1","2008-11-20",11.85
"2","2008-11-21",12.35
"3","2008-11-24",13.15
"4","2008-11-25",13.95
"5","2008-11-26",16
"6","2008-11-28",14.84
"7","2008-12-01",14.69
"8","2008-12-02",15.61
"9","2008-12-03",15.8
"10","2008-12-04",15.99
"11","2008-12-05",15.95
"12","2008-12-08",15.68
"13","2008-12-09",15.06
"14","2008-12-10",15.71
"15","2008-12-11",14.67
"16","2008-12-12",14.58
"17","2008-12-15",13.9
"18","2008-12-16",14.76
"19","2008-12-17",16.25
"20","2008-12-18",17.35
"21","2008-12-19",16.74
"22","2008-12-22",17.549999
"23","2008-12-23",17.360001
"24","2008-12-24",17.290001
"25","2008-12-26",17.17
"26","2008-12-29",18
"27","2008-12-30",18.370001
"28","2008-12-31",18.780001
"29","2009-01-02",18.98
"30","2009-01-05",18.610001
"31","2009-01-06",18.01
"32","2009-01-07",17
"33","2009-01-08",17
"34","2009-01-09",17.92
"35","2009-01-12",18.780001
"36","2009-01-13",18.5
"37","2009-01-14",18.549999
"38","2009-01-15",20.030001
"39","2009-01-16",20.190001
"40","2009-01-20",18.93
"41","2009-01-21",20
"42","2009-01-22",19.959999
"43","2009-01-23",19.9
"44","2009-01-26",18.92
"45","2009-01-27",18.75
"46","2009-01-28",17.99
"47","2009-01-29",17.799999
"48","2009-01-30",17.33
"49","2009-02-02",18.02
"50","2009-02-03",18.57
"51","2009-02-04",18.74
"52","2009-02-05",19.26
"53","2009-02-06",19.059999
"54","2009-02-09",19.92
"55","2009-02-10",18.09
"56","2009-02-11",18.49
"57","2009-02-12",17.93
"58","2009-02-13",18.139999
"59","2009-02-17",17.799999
"60","2009-02-18",17.75
"61","2009-02-19",17.129999
"62","2009-02-20",18.809999
"63","2009-02-23",19.18
"64","2009-02-24",18.809999
"65","2009-02-25",17.24
"66","2009-02-26",16.74
"67","2009-02-27",17.02
"68","2009-03-02",16.23
"69","2009-03-03",15.3
"70","2009-03-04",14.25
"71","2009-03-05",13.16
"72","2009-03-06",12.99
"73","2009-03-09",13.45
"74","2009-03-10",14.38
"75","2009-03-11",16
"76","2009-03-12",16.299999
"77","2009-03-13",15.95
"78","2009-03-16",14.81
"79","2009-03-17",15.36
"80","2009-03-18",15.41
"81","2009-03-19",15.27
"82","2009-03-20",15.29
"83","2009-03-23",15.95
"84","2009-03-24",16.25
"85","2009-03-25",16.200001
"86","2009-03-26",17.299999
"87","2009-03-27",17.18
"88","2009-03-30",17.309999
"89","2009-03-31",17.26
"90","2009-04-01",16.65
"91","2009-04-02",16.68
"92","2009-04-03",16.379999
"93","2009-04-06",16.309999
"94","2009-04-07",15.5
"95","2009-04-08",15.12
"96","2009-04-09",14.84
"97","2009-04-13",14.93
"98","2009-04-14",14.71
"99","2009-04-15",14.72
"100","2009-04-16",15.68
"101","2009-04-17",15.95
"102","2009-04-20",15
"103","2009-04-21",14.93
"104","2009-04-22",14.83
"105","2009-04-23",15.15
"106","2009-04-24",15.54
"107","2009-04-27",15.94
"108","2009-04-28",15.6
"109","2009-04-29",15.51
"110","2009-04-30",16.35
"111","2009-05-01",16.360001
"112","2009-05-04",16.35
"113","2009-05-05",15.93
"114","2009-05-06",15.73
"115","2009-05-07",14.87
"116","2009-05-08",14.84
"117","2009-05-11",14.75
"118","2009-05-12",15.34
"119","2009-05-13",14.76
"120","2009-05-14",14.19
"121","2009-05-15",14.35
"122","2009-05-18",14.4
"123","2009-05-19",14.05
"124","2009-05-20",14.14
"125","2009-05-21",14.26
"126","2009-05-22",14.26
"127","2009-05-26",14.42
"128","2009-05-27",14.4
"129","2009-05-28",13.52
"130","2009-05-29",13.56
"131","2009-06-01",14.03
"132","2009-06-02",13.5
"133","2009-06-03",13.04
"134","2009-06-04",13.26
"135","2009-06-05",13.45
"136","2009-06-08",13.42
"137","2009-06-09",13.65
"138","2009-06-10",14.49
"139","2009-06-11",14.47
"140","2009-06-12",14.72
"141","2009-06-15",14.85
"142","2009-06-16",14.83
"143","2009-06-17",15.35
"144","2009-06-18",15.57
"145","2009-06-19",16
"146","2009-06-22",15.85
"147","2009-06-23",15.71
"148","2009-06-24",15.55
"149","2009-06-25",15.95
"150","2009-06-26",16.51
"151","2009-06-29",16.030001
"152","2009-06-30",16.780001
"153","2009-07-01",16.99
"154","2009-07-02",16.75
"155","2009-07-06",16.99
"156","2009-07-07",16.700001
"157","2009-07-08",16.129999
"158","2009-07-09",15.91
"159","2009-07-10",16.09
"160","2009-07-13",16.120001
"161","2009-07-14",16.200001
"162","2009-07-15",16.639999
"163","2009-07-16",16.74
"164","2009-07-17",16.68
"165","2009-07-20",16.9
"166","2009-07-21",17.379999
"167","2009-07-22",17.959999
"168","2009-07-23",17.860001
"169","2009-07-24",17.639999
"170","2009-07-27",17.16
"171","2009-07-28",17.540001
"172","2009-07-29",17.360001
"173","2009-07-30",17.700001
"174","2009-07-31",17.51
"175","2009-08-03",17.93
"176","2009-08-04",18.65
"177","2009-08-05",18.84
"178","2009-08-06",18.700001
"179","2009-08-07",18.52
"180","2009-08-10",18.469999
"181","2009-08-11",18.48
"182","2009-08-12",18.639999
"183","2009-08-13",18.719999
"184","2009-08-14",18.219999
"185","2009-08-17",18.23
"186","2009-08-18",18.01
"187","2009-08-19",17.93
"188","2009-08-20",18.24
"189","2009-08-21",18.33
"190","2009-08-24",18.110001
"191","2009-08-25",18.58
"192","2009-08-26",18.32
"193","2009-08-27",18.059999
"194","2009-08-28",17.719999
"195","2009-08-31",17.4
"196","2009-09-01",17.49
"197","2009-09-02",17.559999
"198","2009-09-03",17.620001
"199","2009-09-04",16.950001
"200","2009-09-08",16.92
"201","2009-09-09",16.620001
"202","2009-09-10",16.35
"203","2009-09-11",16.52
"204","2009-09-14",16.5
"205","2009-09-15",17.1
"206","2009-09-16",17.030001
"207","2009-09-17",17.610001
"208","2009-09-18",18.43
"209","2009-09-21",18.879999
"210","2009-09-22",18.559999
"211","2009-09-23",18.18
"212","2009-09-24",17.700001
"213","2009-09-25",17.049999
"214","2009-09-28",17.4
"215","2009-09-29",17.559999
"216","2009-09-30",17.83
"217","2009-10-01",17.68
"218","2009-10-02",17.16
"219","2009-10-05",17.27
"220","2009-10-06",17.719999
"221","2009-10-07",17.309999
"222","2009-10-08",17.950001
"223","2009-10-09",18.459999
"224","2009-10-12",18.459999
"225","2009-10-13",18.52
"226","2009-10-14",18.559999
"227","2009-10-15",19.209999
"228","2009-10-16",19.030001
"229","2009-10-19",19.139999
"230","2009-10-20",19.26
"231","2009-10-21",19.559999
"232","2009-10-22",19.629999
"233","2009-10-23",18.58
"234","2009-10-26",18.450001
"235","2009-10-27",18.559999
