"","date","EDIT"
"1","2016-02-03",18.200001
"2","2016-02-04",18.5
"3","2016-02-05",17.6
"4","2016-02-08",15.85
"5","2016-02-09",12.81
"6","2016-02-10",13.09
"7","2016-02-11",15.77
"8","2016-02-12",15.4
"9","2016-02-16",15.94
"10","2016-02-17",16.700001
"11","2016-02-18",16.75
"12","2016-02-19",18.48
"13","2016-02-22",21.620001
"14","2016-02-23",22.620001
"15","2016-02-24",23.219999
"16","2016-02-25",23.950001
"17","2016-02-26",27.49
"18","2016-02-29",28.950001
"19","2016-03-01",28.959999
"20","2016-03-02",31.9
"21","2016-03-03",37.490002
"22","2016-03-04",35.560001
"23","2016-03-07",39.110001
"24","2016-03-08",41.990002
"25","2016-03-09",31.1
"26","2016-03-10",26.74
"27","2016-03-11",31.25
"28","2016-03-14",30.77
"29","2016-03-15",32.34
"30","2016-03-16",31.02
"31","2016-03-17",30.43
"32","2016-03-18",29.360001
"33","2016-03-21",29.959999
"34","2016-03-22",29.879999
"35","2016-03-23",30.450001
"36","2016-03-24",31.309999
"37","2016-03-28",30.530001
"38","2016-03-29",32.610001
"39","2016-03-30",31.190001
"40","2016-03-31",34.540001
"41","2016-04-01",36.900002
"42","2016-04-04",39.580002
"43","2016-04-05",42.040001
"44","2016-04-06",41.830002
"45","2016-04-07",39.860001
"46","2016-04-08",40.450001
"47","2016-04-11",37.869999
"48","2016-04-12",37.110001
"49","2016-04-13",38.189999
"50","2016-04-14",39.73
"51","2016-04-15",39.869999
"52","2016-04-18",40.360001
"53","2016-04-19",39.59
"54","2016-04-20",40.639999
"55","2016-04-21",40.23
"56","2016-04-22",38.099998
"57","2016-04-25",38.709999
"58","2016-04-26",37
"59","2016-04-27",36.369999
"60","2016-04-28",34.139999
"61","2016-04-29",33.049999
"62","2016-05-02",33.509998
"63","2016-05-03",30.99
"64","2016-05-04",30.200001
"65","2016-05-05",31.99
"66","2016-05-06",30.129999
"67","2016-05-09",30.299999
"68","2016-05-10",30.610001
"69","2016-05-11",30.389999
"70","2016-05-12",28.540001
"71","2016-05-13",30.09
"72","2016-05-16",34
"73","2016-05-17",32.200001
"74","2016-05-18",33.34
"75","2016-05-19",32.849998
"76","2016-05-20",33.25
"77","2016-05-23",33.779999
"78","2016-05-24",35.75
"79","2016-05-25",36.02
"80","2016-05-26",35.389999
"81","2016-05-27",35.220001
"82","2016-05-31",37.09
"83","2016-06-01",36.790001
"84","2016-06-02",34.84
"85","2016-06-03",33.709999
"86","2016-06-06",32.889999
"87","2016-06-07",33.57
"88","2016-06-08",34.470001
"89","2016-06-09",32.389999
"90","2016-06-10",30.540001
"91","2016-06-13",30.030001
"92","2016-06-14",30.870001
"93","2016-06-15",32.529999
"94","2016-06-16",31.299999
"95","2016-06-17",29.690001
"96","2016-06-20",29.68
"97","2016-06-21",27.59
"98","2016-06-22",28.08
"99","2016-06-23",28.35
"100","2016-06-24",26.07
"101","2016-06-27",23.860001
"102","2016-06-28",24.809999
"103","2016-06-29",25.18
"104","2016-06-30",24.4
"105","2016-07-01",25.450001
"106","2016-07-05",25.200001
"107","2016-07-06",25.5
"108","2016-07-07",25.620001
"109","2016-07-08",25.32
"110","2016-07-11",25.24
"111","2016-07-12",25.639999
"112","2016-07-13",25.370001
"113","2016-07-14",24.77
"114","2016-07-15",24.73
"115","2016-07-18",24.559999
"116","2016-07-19",24.58
"117","2016-07-20",25.48
"118","2016-07-21",25.84
"119","2016-07-22",27.110001
"120","2016-07-25",26.450001
"121","2016-07-26",27.08
"122","2016-07-27",28.200001
"123","2016-07-28",27.280001
"124","2016-07-29",25.719999
"125","2016-08-01",25.700001
"126","2016-08-02",24.969999
"127","2016-08-03",25.059999
"128","2016-08-04",24.99
"129","2016-08-05",24.870001
"130","2016-08-08",23.700001
"131","2016-08-09",23.280001
"132","2016-08-10",21.5
"133","2016-08-11",20.74
"134","2016-08-12",20.110001
"135","2016-08-15",20.360001
"136","2016-08-16",19.940001
"137","2016-08-17",19.059999
"138","2016-08-18",17.76
"139","2016-08-19",18.67
"140","2016-08-22",19.42
"141","2016-08-23",20.129999
"142","2016-08-24",18.35
"143","2016-08-25",18.35
"144","2016-08-26",18.33
"145","2016-08-29",17.42
"146","2016-08-30",17.709999
"147","2016-08-31",16.82
"148","2016-09-01",16.74
"149","2016-09-02",16.110001
"150","2016-09-06",16.02
"151","2016-09-07",16.610001
"152","2016-09-08",17.209999
"153","2016-09-09",16.51
"154","2016-09-12",16.57
"155","2016-09-13",15.54
"156","2016-09-14",14.97
"157","2016-09-15",15.06
"158","2016-09-16",14.49
"159","2016-09-19",14.75
"160","2016-09-20",14.9
"161","2016-09-21",14.94
"162","2016-09-22",14.8
"163","2016-09-23",14.46
"164","2016-09-26",14.12
"165","2016-09-27",14.12
"166","2016-09-28",13.92
"167","2016-09-29",13.54
"168","2016-09-30",13.48
"169","2016-10-03",13.49
"170","2016-10-04",14.92
"171","2016-10-05",15.48
"172","2016-10-06",15.01
"173","2016-10-07",14.06
"174","2016-10-10",14.51
"175","2016-10-11",14.05
"176","2016-10-12",13.14
"177","2016-10-13",13.77
"178","2016-10-14",13.44
"179","2016-10-17",13.26
"180","2016-10-18",13.81
"181","2016-10-19",13.91
"182","2016-10-20",14.7
"183","2016-10-21",15.32
"184","2016-10-24",16.280001
"185","2016-10-25",14.64
"186","2016-10-26",14
"187","2016-10-27",13.22
"188","2016-10-28",13.1
"189","2016-10-31",14.14
"190","2016-11-01",13.99
"191","2016-11-02",13.1
"192","2016-11-03",12.46
"193","2016-11-04",13.23
"194","2016-11-07",13.46
"195","2016-11-08",13.9
"196","2016-11-09",14.46
"197","2016-11-10",15.11
"198","2016-11-11",16.35
"199","2016-11-14",17
"200","2016-11-15",16.49
"201","2016-11-16",15.6
"202","2016-11-17",15.66
"203","2016-11-18",15.21
"204","2016-11-21",15.66
"205","2016-11-22",15.73
"206","2016-11-23",15.68
"207","2016-11-25",15.29
"208","2016-11-28",15.03
"209","2016-11-29",14.02
"210","2016-11-30",14.27
"211","2016-12-01",13.99
"212","2016-12-02",15.54
"213","2016-12-05",15.76
"214","2016-12-06",15.98
"215","2016-12-07",15.8
"216","2016-12-08",16.700001
"217","2016-12-09",15.96
"218","2016-12-12",15.57
"219","2016-12-13",15.88
"220","2016-12-14",16.76
"221","2016-12-15",16.940001
"222","2016-12-16",17.01
"223","2016-12-19",16.780001
