"","date","WMG"
"1","2020-06-03",30.120001
"2","2020-06-04",30
"3","2020-06-05",29.940001
"4","2020-06-08",31
"5","2020-06-09",32
"6","2020-06-10",31.049999
"7","2020-06-11",29.99
"8","2020-06-12",30.77
"9","2020-06-15",32.09
"10","2020-06-16",31.98
"11","2020-06-17",32.560001
"12","2020-06-18",32.720001
"13","2020-06-19",32.860001
"14","2020-06-22",31.99
"15","2020-06-23",31.35
"16","2020-06-24",31.33
"17","2020-06-25",30.6
"18","2020-06-26",30.469999
"19","2020-06-29",31.43
"20","2020-06-30",29.5
"21","2020-07-01",29.450001
"22","2020-07-02",29.35
"23","2020-07-06",29.790001
"24","2020-07-07",29.639999
"25","2020-07-08",29.98
"26","2020-07-09",30
"27","2020-07-10",30.879999
"28","2020-07-13",30.09
"29","2020-07-14",29.639999
"30","2020-07-15",29.629999
"31","2020-07-16",29.690001
"32","2020-07-17",29.42
"33","2020-07-20",28.950001
"34","2020-07-21",28.495001
"35","2020-07-22",27.82
"36","2020-07-23",28.33
"37","2020-07-24",28.34
"38","2020-07-27",28.65
"39","2020-07-28",29.52
"40","2020-07-29",30.01
"41","2020-07-30",29.91
"42","2020-07-31",30.15
"43","2020-08-03",29.940001
"44","2020-08-04",28.950001
"45","2020-08-05",28.639999
"46","2020-08-06",28.870001
"47","2020-08-07",28.51
"48","2020-08-10",29.16
"49","2020-08-11",28.514999
"50","2020-08-12",29.450001
"51","2020-08-13",29.639999
"52","2020-08-14",30.299999
"53","2020-08-17",31.02
"54","2020-08-18",30.620001
"55","2020-08-19",30.530001
"56","2020-08-20",30.379999
"57","2020-08-21",30.059999
"58","2020-08-24",30.1
"59","2020-08-25",29.465
"60","2020-08-26",29.42
"61","2020-08-27",28.84
"62","2020-08-28",29.459999
"63","2020-08-31",29.66
"64","2020-09-01",29.879999
"65","2020-09-02",29.030001
"66","2020-09-03",28.6
"67","2020-09-04",29.09
"68","2020-09-08",28.450001
"69","2020-09-09",28.66
"70","2020-09-10",28.51
"71","2020-09-11",29.01
"72","2020-09-14",28.82
"73","2020-09-15",28.200001
"74","2020-09-16",28.530001
"75","2020-09-17",27.639999
"76","2020-09-18",28.48
"77","2020-09-21",27.83
"78","2020-09-22",28.23
"79","2020-09-23",27.950001
"80","2020-09-24",28.15
"81","2020-09-25",27.01
"82","2020-09-28",28.01
"83","2020-09-29",28.209999
"84","2020-09-30",28.74
"85","2020-10-01",28.17
"86","2020-10-02",27.99
"87","2020-10-05",28.33
"88","2020-10-06",27.82
"89","2020-10-07",28
"90","2020-10-08",27.780001
"91","2020-10-09",27.93
"92","2020-10-12",28.32
"93","2020-10-13",29.15
"94","2020-10-14",28.9
"95","2020-10-15",29.67
"96","2020-10-16",29.309999
"97","2020-10-19",29.26
"98","2020-10-20",29.110001
"99","2020-10-21",28.639999
"100","2020-10-22",29.27
"101","2020-10-23",29.5
"102","2020-10-26",28.360001
"103","2020-10-27",27.879999
"104","2020-10-28",27.129999
"105","2020-10-29",27.290001
"106","2020-10-30",26.530001
"107","2020-11-02",26.24
"108","2020-11-03",26.65
"109","2020-11-04",27.57
"110","2020-11-05",27.07
"111","2020-11-06",27.01
"112","2020-11-09",28.700001
"113","2020-11-10",29.25
"114","2020-11-11",29.290001
"115","2020-11-12",28.540001
"116","2020-11-13",29.35
"117","2020-11-16",29.85
"118","2020-11-17",29.76
"119","2020-11-18",29.389999
"120","2020-11-19",29.23
"121","2020-11-20",29.08
"122","2020-11-23",28.01
"123","2020-11-24",29.25
"124","2020-11-25",28.85
"125","2020-11-27",28.35
